Year,totprop_biomass_polluted,momb_score,Komnum_new,Kommune_new,momb_gapfilled,gapfilled
2013,0,1,1841,Fauske,1,n
2015,0,1,1841,Fauske,1,n
2017,0,1,1841,Fauske,1,n
2018,0,NA,1841,Fauske,1,y
2005,NA,NA,1841,Fauske,1,y
2006,NA,NA,1841,Fauske,1,y
2007,NA,NA,1841,Fauske,1,y
2008,NA,NA,1841,Fauske,1,y
2009,NA,NA,1841,Fauske,1,y
2010,NA,NA,1841,Fauske,1,y
2012,NA,NA,1841,Fauske,1,y
2014,NA,NA,1841,Fauske,1,y
2016,NA,NA,1841,Fauske,1,y
2010,0,NA,1838,Gildeskal,1,y
2011,0,1,1838,Gildeskal,1,n
2012,0,1,1838,Gildeskal,1,n
2013,0,1,1838,Gildeskal,1,n
2014,0,1,1838,Gildeskal,1,n
2015,0,1,1838,Gildeskal,1,n
2017,0,1,1838,Gildeskal,1,n
2018,0,NA,1838,Gildeskal,1,y
2005,NA,NA,1838,Gildeskal,1,y
2006,NA,NA,1838,Gildeskal,1,y
2007,NA,NA,1838,Gildeskal,1,y
2008,NA,NA,1838,Gildeskal,1,y
2009,NA,NA,1838,Gildeskal,1,y
2016,NA,NA,1838,Gildeskal,1,y
2013,0,NA,1919,Gratangen,0.9817073170731707,y
2014,0,1,1919,Gratangen,1,n
2015,0,1,1919,Gratangen,1,n
2017,0,0.9451219512195123,1919,Gratangen,0.9451219512195123,n
2018,0.16463414634146342,NA,1919,Gratangen,0.9817073170731707,y
2005,NA,NA,1919,Gratangen,0.9817073170731707,y
2006,NA,NA,1919,Gratangen,0.9817073170731707,y
2007,NA,NA,1919,Gratangen,0.9817073170731707,y
2008,NA,NA,1919,Gratangen,0.9817073170731707,y
2009,NA,NA,1919,Gratangen,0.9817073170731707,y
2010,NA,NA,1919,Gratangen,0.9817073170731707,y
2011,NA,NA,1919,Gratangen,0.9817073170731707,y
2012,NA,NA,1919,Gratangen,0.9817073170731707,y
2016,NA,NA,1919,Gratangen,0.9817073170731707,y
2010,0.7272727272727273,NA,1866,Hadsel,0.8260252292510357,y
2011,0,0.712121212121212,1866,Hadsel,0.712121212121212,n
2012,0.13636363636363635,0.8506493506493507,1866,Hadsel,0.8506493506493507,n
2013,0.3116883116883117,0.7597402597402597,1866,Hadsel,0.7597402597402597,n
2014,0.2727272727272727,0.7783130847646976,1866,Hadsel,0.7783130847646976,n
2015,0.08064516129032258,0.8822091886608016,1866,Hadsel,0.8822091886608016,n
2017,0,0.9731182795698924,1866,Hadsel,0.9731182795698924,n
2018,0,NA,1866,Hadsel,0.8260252292510357,y
2005,NA,NA,1866,Hadsel,0.8260252292510357,y
2006,NA,NA,1866,Hadsel,0.8260252292510357,y
2007,NA,NA,1866,Hadsel,0.8260252292510357,y
2008,NA,NA,1866,Hadsel,0.8260252292510357,y
2009,NA,NA,1866,Hadsel,0.8260252292510357,y
2016,NA,NA,1866,Hadsel,0.8260252292510357,y
2010,1,NA,1849,Hamaroy,0.6944444444444444,y
2011,0,0.5,1849,Hamaroy,0.5,n
2012,0.5,0.6007751937984497,1849,Hamaroy,0.6007751937984497,n
2013,0.6976744186046512,0.6007751937984497,1849,Hamaroy,0.6007751937984497,n
2014,0,0.6666666666666666,1849,Hamaroy,0.6666666666666666,n
2015,0.3023255813953488,0.8992248062015503,1849,Hamaroy,0.8992248062015503,n
2017,0,0.8992248062015503,1849,Hamaroy,0.8992248062015503,n
2018,0,NA,1849,Hamaroy,0.6944444444444444,y
2005,NA,NA,1849,Hamaroy,0.6944444444444444,y
2006,NA,NA,1849,Hamaroy,0.6944444444444444,y
2007,NA,NA,1849,Hamaroy,0.6944444444444444,y
2008,NA,NA,1849,Hamaroy,0.6944444444444444,y
2009,NA,NA,1849,Hamaroy,0.6944444444444444,y
2016,NA,NA,1849,Hamaroy,0.6944444444444444,y
2010,0,NA,2004,Hammerfest,0.9868247694334651,y
2011,0.11857707509881422,0.9604743083003952,2004,Hammerfest,0.9604743083003952,n
2012,0,0.9604743083003952,2004,Hammerfest,0.9604743083003952,n
2013,0,1,2004,Hammerfest,1,n
2014,0,1,2004,Hammerfest,1,n
2015,0,1,2004,Hammerfest,1,n
2017,0,1,2004,Hammerfest,1,n
2018,0,NA,2004,Hammerfest,0.9868247694334651,y
2005,NA,NA,2004,Hammerfest,0.9868247694334651,y
2006,NA,NA,2004,Hammerfest,0.9868247694334651,y
2007,NA,NA,2004,Hammerfest,0.9868247694334651,y
2008,NA,NA,2004,Hammerfest,0.9868247694334651,y
2009,NA,NA,2004,Hammerfest,0.9868247694334651,y
2016,NA,NA,2004,Hammerfest,0.9868247694334651,y
2010,0,NA,1903,Harstad,0.6864470944539087,y
2011,1,0.3333333333333333,1903,Harstad,0.3333333333333333,n
2012,1,0.26178307779670645,1903,Harstad,0.26178307779670645,n
2013,0.21465076660988075,0.5951164111300398,1903,Harstad,0.5951164111300398,n
2014,0,0.9284497444633731,1903,Harstad,0.9284497444633731,n
2015,0,1,1903,Harstad,1,n
2017,0,1,1903,Harstad,1,n
2018,0,NA,1903,Harstad,0.6864470944539087,y
2005,NA,NA,1903,Harstad,0.6864470944539087,y
2006,NA,NA,1903,Harstad,0.6864470944539087,y
2007,NA,NA,1903,Harstad,0.6864470944539087,y
2008,NA,NA,1903,Harstad,0.6864470944539087,y
2009,NA,NA,1903,Harstad,0.6864470944539087,y
2016,NA,NA,1903,Harstad,0.6864470944539087,y
2010,0,NA,1818,Heroy,0.961,y
2011,0,1,1818,Heroy,1,n
2012,0,1,1818,Heroy,1,n
2013,0,1,1818,Heroy,1,n
2014,0,1,1818,Heroy,1,n
2015,0,0.883,1818,Heroy,0.883,n
2017,0.35100000000000003,0.883,1818,Heroy,0.883,n
2018,0,NA,1818,Heroy,0.961,y
2005,NA,NA,1818,Heroy,0.961,y
2006,NA,NA,1818,Heroy,0.961,y
2007,NA,NA,1818,Heroy,0.961,y
2008,NA,NA,1818,Heroy,0.961,y
2009,NA,NA,1818,Heroy,0.961,y
2016,NA,NA,1818,Heroy,0.961,y
2011,0,NA,1917,Ibestad,1,y
2012,0,1,1917,Ibestad,1,n
2013,0,1,1917,Ibestad,1,n
2014,0,1,1917,Ibestad,1,n
2015,0,1,1917,Ibestad,1,n
2017,0,1,1917,Ibestad,1,n
2018,0,NA,1917,Ibestad,1,y
2005,NA,NA,1917,Ibestad,1,y
2006,NA,NA,1917,Ibestad,1,y
2007,NA,NA,1917,Ibestad,1,y
2008,NA,NA,1917,Ibestad,1,y
2009,NA,NA,1917,Ibestad,1,y
2010,NA,NA,1917,Ibestad,1,y
2016,NA,NA,1917,Ibestad,1,y
2011,0,NA,1940,Kafjord,1,y
2012,0,1,1940,Kafjord,1,n
2013,0,1,1940,Kafjord,1,n
2014,0,1,1940,Kafjord,1,n
2015,0,1,1940,Kafjord,1,n
2017,0,1,1940,Kafjord,1,n
2018,0,NA,1940,Kafjord,1,y
2005,NA,NA,1940,Kafjord,1,y
2006,NA,NA,1940,Kafjord,1,y
2007,NA,NA,1940,Kafjord,1,y
2008,NA,NA,1940,Kafjord,1,y
2009,NA,NA,1940,Kafjord,1,y
2010,NA,NA,1940,Kafjord,1,y
2016,NA,NA,1940,Kafjord,1,y
2010,0,NA,1936,Karlsoy,0.961352657004831,y
2011,0.34782608695652173,0.8840579710144928,1936,Karlsoy,0.8840579710144928,n
2012,0,0.8840579710144928,1936,Karlsoy,0.8840579710144928,n
2013,0,1,1936,Karlsoy,1,n
2014,0,1,1936,Karlsoy,1,n
2015,0,1,1936,Karlsoy,1,n
2017,0,1,1936,Karlsoy,1,n
2018,0,NA,1936,Karlsoy,0.961352657004831,y
2005,NA,NA,1936,Karlsoy,0.961352657004831,y
2006,NA,NA,1936,Karlsoy,0.961352657004831,y
2007,NA,NA,1936,Karlsoy,0.961352657004831,y
2008,NA,NA,1936,Karlsoy,0.961352657004831,y
2009,NA,NA,1936,Karlsoy,0.961352657004831,y
2016,NA,NA,1936,Karlsoy,0.961352657004831,y
2010,0,NA,1911,Kvaefjord,0.8646758138283562,y
2011,0,0.8333333333333334,1911,Kvaefjord,0.8333333333333334,n
2012,0.5,0.8333333333333334,1911,Kvaefjord,0.8333333333333334,n
2013,0,0.8333333333333334,1911,Kvaefjord,0.8333333333333334,n
2014,0,1,1911,Kvaefjord,1,n
2015,0,0.8440274414850686,1911,Kvaefjord,0.8440274414850686,n
2017,0.46791767554479413,0.8440274414850686,1911,Kvaefjord,0.8440274414850686,n
2018,0,NA,1911,Kvaefjord,0.8646758138283562,y
2005,NA,NA,1911,Kvaefjord,0.8646758138283562,y
2006,NA,NA,1911,Kvaefjord,0.8646758138283562,y
2007,NA,NA,1911,Kvaefjord,0.8646758138283562,y
2008,NA,NA,1911,Kvaefjord,0.8646758138283562,y
2009,NA,NA,1911,Kvaefjord,0.8646758138283562,y
2016,NA,NA,1911,Kvaefjord,0.8646758138283562,y
2010,0,NA,1943,Kvaenangen,0.9506172839506173,y
2011,0,1,1943,Kvaenangen,1,n
2012,0,1,1943,Kvaenangen,1,n
2013,0,1,1943,Kvaenangen,1,n
2014,0,1,1943,Kvaenangen,1,n
2015,0,0.8518518518518517,1943,Kvaenangen,0.8518518518518517,n
2017,0.4444444444444444,0.8518518518518517,1943,Kvaenangen,0.8518518518518517,n
2018,0,NA,1943,Kvaenangen,0.9506172839506173,y
2005,NA,NA,1943,Kvaenangen,0.9506172839506173,y
2006,NA,NA,1943,Kvaenangen,0.9506172839506173,y
2007,NA,NA,1943,Kvaenangen,0.9506172839506173,y
2008,NA,NA,1943,Kvaenangen,0.9506172839506173,y
2009,NA,NA,1943,Kvaenangen,0.9506172839506173,y
2016,NA,NA,1943,Kvaenangen,0.9506172839506173,y
2010,0,NA,2017,Kvalsund,1,y
2011,0,1,2017,Kvalsund,1,n
2012,0,1,2017,Kvalsund,1,n
2013,0,1,2017,Kvalsund,1,n
2014,0,1,2017,Kvalsund,1,n
2015,0,1,2017,Kvalsund,1,n
2017,0,1,2017,Kvalsund,1,n
2018,0,NA,2017,Kvalsund,1,y
2005,NA,NA,2017,Kvalsund,1,y
2006,NA,NA,2017,Kvalsund,1,y
2007,NA,NA,2017,Kvalsund,1,y
2008,NA,NA,2017,Kvalsund,1,y
2009,NA,NA,2017,Kvalsund,1,y
2016,NA,NA,2017,Kvalsund,1,y
2010,0,NA,1920,Lavangen,0.9166666666666666,y
2012,0,1,1920,Lavangen,1,n
2013,0,1,1920,Lavangen,1,n
2014,0,1,1920,Lavangen,1,n
2017,0,0.6666666666666666,1920,Lavangen,0.6666666666666666,n
2018,1,NA,1920,Lavangen,0.9166666666666666,y
2005,NA,NA,1920,Lavangen,0.9166666666666666,y
2006,NA,NA,1920,Lavangen,0.9166666666666666,y
2007,NA,NA,1920,Lavangen,0.9166666666666666,y
2008,NA,NA,1920,Lavangen,0.9166666666666666,y
2009,NA,NA,1920,Lavangen,0.9166666666666666,y
2011,NA,NA,1920,Lavangen,0.9166666666666666,y
2015,NA,NA,1920,Lavangen,0.9166666666666666,y
2016,NA,NA,1920,Lavangen,0.9166666666666666,y
2010,0,NA,2022,Lebesby,0.7548548613828384,y
2011,0,1,2022,Lebesby,1,n
2012,0,1,2022,Lebesby,1,n
2013,0,0.8137254901960785,2022,Lebesby,0.8137254901960785,n
2014,0.5588235294117647,0.6511238641798183,2022,Lebesby,0.6511238641798183,n
2015,0.4878048780487805,0.4390026520586061,2022,Lebesby,0.4390026520586061,n
2017,0.6363636363636364,0.6252771618625278,2022,Lebesby,0.6252771618625278,n
2018,0,NA,2022,Lebesby,0.7548548613828384,y
2005,NA,NA,2022,Lebesby,0.7548548613828384,y
2006,NA,NA,2022,Lebesby,0.7548548613828384,y
2007,NA,NA,2022,Lebesby,0.7548548613828384,y
2008,NA,NA,2022,Lebesby,0.7548548613828384,y
2009,NA,NA,2022,Lebesby,0.7548548613828384,y
2016,NA,NA,2022,Lebesby,0.7548548613828384,y
2011,0,NA,1931,Lenvik,0.8037926235212247,y
2012,0.25,0.9166666666666666,1931,Lenvik,0.9166666666666666,n
2013,0,0.6944444444444445,1931,Lenvik,0.6944444444444445,n
2014,0.6666666666666666,0.7285432614242634,1931,Lenvik,0.7285432614242634,n
2015,0.1477035490605428,0.7285432614242634,1931,Lenvik,0.7285432614242634,n
2017,0,0.9507654836464857,1931,Lenvik,0.9507654836464857,n
2018,0,NA,1931,Lenvik,0.8037926235212247,y
2005,NA,NA,1931,Lenvik,0.8037926235212247,y
2006,NA,NA,1931,Lenvik,0.8037926235212247,y
2007,NA,NA,1931,Lenvik,0.8037926235212247,y
2008,NA,NA,1931,Lenvik,0.8037926235212247,y
2009,NA,NA,1931,Lenvik,0.8037926235212247,y
2010,NA,NA,1931,Lenvik,0.8037926235212247,y
2016,NA,NA,1931,Lenvik,0.8037926235212247,y
2011,0,NA,1851,Lodingen,0.8805555555555556,y
2012,0,1,1851,Lodingen,1,n
2013,0,0.8148148148148149,1851,Lodingen,0.8148148148148149,n
2014,0.5555555555555556,0.8148148148148149,1851,Lodingen,0.8148148148148149,n
2015,0,0.8148148148148149,1851,Lodingen,0.8148148148148149,n
2017,0,0.9583333333333334,1851,Lodingen,0.9583333333333334,n
2018,0.125,NA,1851,Lodingen,0.8805555555555556,y
2005,NA,NA,1851,Lodingen,0.8805555555555556,y
2006,NA,NA,1851,Lodingen,0.8805555555555556,y
2007,NA,NA,1851,Lodingen,0.8805555555555556,y
2008,NA,NA,1851,Lodingen,0.8805555555555556,y
2009,NA,NA,1851,Lodingen,0.8805555555555556,y
2010,NA,NA,1851,Lodingen,0.8805555555555556,y
2016,NA,NA,1851,Lodingen,0.8805555555555556,y
2010,0.6218487394957983,NA,2014,Loppa,0.8303400774582226,y
2011,0.15901060070671377,0.7397135532658293,2014,Loppa,0.7397135532658293,n
2012,0,0.8831798617222976,2014,Loppa,0.8831798617222976,n
2013,0.19144981412639406,0.9361833952912021,2014,Loppa,0.9361833952912021,n
2014,0,0.8592603183681251,2014,Loppa,0.8592603183681251,n
2015,0.23076923076923078,0.8018525569793375,2014,Loppa,0.8018525569793375,n
2017,0.36367309829275685,0.7618507791225438,2014,Loppa,0.7618507791225438,n
2018,0.1200053335703809,NA,2014,Loppa,0.8303400774582226,y
2005,NA,NA,2014,Loppa,0.8303400774582226,y
2006,NA,NA,2014,Loppa,0.8303400774582226,y
2007,NA,NA,2014,Loppa,0.8303400774582226,y
2008,NA,NA,2014,Loppa,0.8303400774582226,y
2009,NA,NA,2014,Loppa,0.8303400774582226,y
2016,NA,NA,2014,Loppa,0.8303400774582226,y
2010,0,NA,1834,Luroy,1,y
2011,0,1,1834,Luroy,1,n
2012,0,1,1834,Luroy,1,n
2013,0,1,1834,Luroy,1,n
2014,0,1,1834,Luroy,1,n
2015,0,1,1834,Luroy,1,n
2017,0,1,1834,Luroy,1,n
2018,0,NA,1834,Luroy,1,y
2005,NA,NA,1834,Luroy,1,y
2006,NA,NA,1834,Luroy,1,y
2007,NA,NA,1834,Luroy,1,y
2008,NA,NA,1834,Luroy,1,y
2009,NA,NA,1834,Luroy,1,y
2016,NA,NA,1834,Luroy,1,y
2011,0,NA,1938,Lyngen,0.9444444444444444,y
2013,0,1,1938,Lyngen,1,n
2015,0,1,1938,Lyngen,1,n
2017,0,0.8333333333333334,1938,Lyngen,0.8333333333333334,n
2018,0.5,NA,1938,Lyngen,0.9444444444444444,y
2005,NA,NA,1938,Lyngen,0.9444444444444444,y
2006,NA,NA,1938,Lyngen,0.9444444444444444,y
2007,NA,NA,1938,Lyngen,0.9444444444444444,y
2008,NA,NA,1938,Lyngen,0.9444444444444444,y
2009,NA,NA,1938,Lyngen,0.9444444444444444,y
2010,NA,NA,1938,Lyngen,0.9444444444444444,y
2012,NA,NA,1938,Lyngen,0.9444444444444444,y
2014,NA,NA,1938,Lyngen,0.9444444444444444,y
2016,NA,NA,1938,Lyngen,0.9444444444444444,y
2010,0,NA,2018,Masoy,1,y
2012,0,1,2018,Masoy,1,n
2013,0,1,2018,Masoy,1,n
2014,0,1,2018,Masoy,1,n
2015,0,1,2018,Masoy,1,n
2017,0,1,2018,Masoy,1,n
2018,0,NA,2018,Masoy,1,y
2005,NA,NA,2018,Masoy,1,y
2006,NA,NA,2018,Masoy,1,y
2007,NA,NA,2018,Masoy,1,y
2008,NA,NA,2018,Masoy,1,y
2009,NA,NA,2018,Masoy,1,y
2011,NA,NA,2018,Masoy,1,y
2016,NA,NA,2018,Masoy,1,y
2010,0,NA,1837,Meloy,0.8405309346768659,y
2011,0,0.8214285714285715,1837,Meloy,0.8214285714285715,n
2012,0.5357142857142857,0.8214285714285715,1837,Meloy,0.8214285714285715,n
2013,0,0.8214285714285715,1837,Meloy,0.8214285714285715,n
2014,0,0.8968692449355432,1837,Meloy,0.8968692449355432,n
2015,0.30939226519337015,0.8410153244199687,1837,Meloy,0.8410153244199687,n
2017,0.16756176154672395,0.8410153244199687,1837,Meloy,0.8410153244199687,n
2018,0,NA,1837,Meloy,0.8405309346768659,y
2005,NA,NA,1837,Meloy,0.8405309346768659,y
2006,NA,NA,1837,Meloy,0.8405309346768659,y
2007,NA,NA,1837,Meloy,0.8405309346768659,y
2008,NA,NA,1837,Meloy,0.8405309346768659,y
2009,NA,NA,1837,Meloy,0.8405309346768659,y
2016,NA,NA,1837,Meloy,0.8405309346768659,y
2012,1,NA,1805,Narvik,0.7777777777777778,y
2013,0.5,0.5,1805,Narvik,0.5,n
2014,0,0.8333333333333334,1805,Narvik,0.8333333333333334,n
2015,0,1,1805,Narvik,1,n
2018,0,NA,1805,Narvik,0.7777777777777778,y
2005,NA,NA,1805,Narvik,0.7777777777777778,y
2006,NA,NA,1805,Narvik,0.7777777777777778,y
2007,NA,NA,1805,Narvik,0.7777777777777778,y
2008,NA,NA,1805,Narvik,0.7777777777777778,y
2009,NA,NA,1805,Narvik,0.7777777777777778,y
2010,NA,NA,1805,Narvik,0.7777777777777778,y
2011,NA,NA,1805,Narvik,0.7777777777777778,y
2016,NA,NA,1805,Narvik,0.7777777777777778,y
2017,NA,NA,1805,Narvik,0.7777777777777778,y
2010,0,NA,1828,Nesna,0.9166666666666667,y
2011,0,1,1828,Nesna,1,n
2012,0,0.8333333333333334,1828,Nesna,0.8333333333333334,n
2013,0.5,0.8333333333333334,1828,Nesna,0.8333333333333334,n
2014,0,0.8333333333333334,1828,Nesna,0.8333333333333334,n
2015,0,1,1828,Nesna,1,n
2017,0,1,1828,Nesna,1,n
2018,0,NA,1828,Nesna,0.9166666666666667,y
2005,NA,NA,1828,Nesna,0.9166666666666667,y
2006,NA,NA,1828,Nesna,0.9166666666666667,y
2007,NA,NA,1828,Nesna,0.9166666666666667,y
2008,NA,NA,1828,Nesna,0.9166666666666667,y
2009,NA,NA,1828,Nesna,0.9166666666666667,y
2016,NA,NA,1828,Nesna,0.9166666666666667,y
2011,0,NA,2027,Nesseby,0.6685499058380414,y
2013,0.5,0.8333333333333334,2027,Nesseby,0.8333333333333334,n
2015,0,0.6694915254237288,2027,Nesseby,0.6694915254237288,n
2017,0.4915254237288136,0.5028248587570622,2027,Nesseby,0.5028248587570622,n
2018,1,NA,2027,Nesseby,0.6685499058380414,y
2005,NA,NA,2027,Nesseby,0.6685499058380414,y
2006,NA,NA,2027,Nesseby,0.6685499058380414,y
2007,NA,NA,2027,Nesseby,0.6685499058380414,y
2008,NA,NA,2027,Nesseby,0.6685499058380414,y
2009,NA,NA,2027,Nesseby,0.6685499058380414,y
2010,NA,NA,2027,Nesseby,0.6685499058380414,y
2012,NA,NA,2027,Nesseby,0.6685499058380414,y
2014,NA,NA,2027,Nesseby,0.6685499058380414,y
2016,NA,NA,2027,Nesseby,0.6685499058380414,y
2010,0.2795031055900621,NA,2019,Nordkapp,0.746855953891621,y
2011,0,0.906832298136646,2019,Nordkapp,0.906832298136646,n
2012,0,0.7932263814616757,2019,Nordkapp,0.7932263814616757,n
2013,0.6203208556149733,0.5892033929559285,2019,Nordkapp,0.5892033929559285,n
2014,0.6120689655172413,0.5892033929559285,2019,Nordkapp,0.5892033929559285,n
2015,0,0.6993236346669001,2019,Nordkapp,0.6993236346669001,n
2017,0.2899601304820587,0.9033466231726471,2019,Nordkapp,0.9033466231726471,n
2018,0,NA,2019,Nordkapp,0.746855953891621,y
2005,NA,NA,2019,Nordkapp,0.746855953891621,y
2006,NA,NA,2019,Nordkapp,0.746855953891621,y
2007,NA,NA,2019,Nordkapp,0.746855953891621,y
