"year","municip_name","municip_number","county","efcr","prr_index","prr_score"
2005,"Alstahaug","1820","Nordland",1.46120363696374,0.325074471472718,0.820895129981612
2005,"Alta","2012","Finnmark",1.2,0.395833333333333,0.999579124579124
2005,"Andoy","1871","Nordland",1.23884065114008,0.383423000821668,0.968239901064817
2005,"Ballangen","1854","Nordland",1.84470200050621,0.257494164298436,0.650237788632415
2005,"Balsfjord","1933","Troms",1.271004600228,0.373720126516294,0.943737693222965
2005,"Berg","1929","Troms",1.35336665466264,0.350976580044678,0.886304495062319
2005,"Bindal","1811","Nordland",1.46549340772086,0.324122918259129,0.818492217826084
2005,"Bo","1867","Nordland",1.23715295315297,0.383946058399189,0.969560753533306
2005,"Bodo","1804","Nordland",1.40184873723768,0.338838269338517,0.855652195299286
2005,"Bronnoy","1813","Nordland",1.79092736335327,0.265225720327722,0.669761920019501
2005,"Donna","1827","Nordland",1.61865372145227,0.293453747212731,0.741044816193765
2005,"Dyroy","1926","Troms",1.2,0.395833333333333,0.999579124579124
2005,"Evenes","1853","Nordland",1.2,0.395833333333333,0.999579124579124
2005,"Fauske","1841","Nordland",1.47484367149822,0.322068032822402,0.813303113187884
2005,"Flakstad","1859","Nordland",1.65383045885064,0.287212027966947,0.725282898906432
2005,"Gamvik","2023","Finnmark",1.2,0.395833333333333,0.999579124579124
2005,"Gildeskal","1838","Nordland",1.55887608547862,0.304706707880609,0.76946138353689
2005,"Gratangen","1919","Troms",1.2,0.395833333333333,0.999579124579124
2005,"Hadsel","1866","Nordland",1.38574318568964,0.342776356330128,0.865596859419516
2005,"Hamaroy","1849","Nordland",1.33189496007698,0.356634730393863,0.900592753519856
2005,"Hammerfest","2004","Finnmark",1.2,0.395833333333333,0.999579124579124
2005,"Harstad","1903","Troms",1.23196767061222,0.385562065735015,0.973641580138925
2005,"Hasvik","2015","Finnmark",1.4232575683046,0.333741418684901,0.842781360315406
2005,"Hemnes","1832","Nordland",1.2,0.395833333333333,0.999579124579124
2005,"Heroy","1818","Nordland",1.43419953099982,0.331195199644825,0.836351514254609
2005,"Ibestad","1917","Troms",1.2,0.395833333333333,0.999579124579124
2005,"Kafjord","1940","Troms",1.67070768343672,0.284310657519036,0.717956205856151
2005,"Karlsoy","1936","Troms",1.31893733098902,0.360138415101055,0.909440442174382
2005,"Kvaefjord","1911","Troms",1.36629612316225,0.347655235162805,0.877917260512134
2005,"Kvaenangen","1943","Troms",1.2,0.395833333333333,0.999579124579124
2005,"Kvalsund","2017","Finnmark",1.2,0.395833333333333,0.999579124579124
2005,"Lavangen","1920","Troms",1.2,0.395833333333333,0.999579124579124
2005,"Lebesby","2022","Finnmark",1.2,0.395833333333333,0.999579124579124
2005,"Leirfjord","1822","Nordland",1.2,0.395833333333333,0.999579124579124
2005,"Lenvik","1931","Troms",1.37029355785673,0.346641051675777,0.875356191100448
2005,"Lodingen","1851","Nordland",1.58537558745321,0.299613545054679,0.756599861249189
2005,"Loppa","2014","Finnmark",1.2,0.395833333333333,0.999579124579124
2005,"Luroy","1834","Nordland",1.54893365379527,0.306662586119252,0.774400469998111
2005,"Lyngen","1938","Troms",1.2,0.395833333333333,0.999579124579124
2005,"Malselv","1924","Troms",1.2,0.395833333333333,0.999579124579124
