"year","county","municip_number","municip","production_final","feed_kg","gapfilled"
2016,"Nordland",1837,"Meloy",12038234.79576,15424097,"n"
2017,"Nordland",1837,"Meloy",10179489.45696,13872132,"n"
2018,"Nordland",1837,"Meloy",10793296.87328,13621327,"n"
2005,"Nordland",1837,"Meloy",6663635.97336,8881568,"n"
2015,"Nordland",1874,"Moskenes",420456.6608,1008750,"n"
2014,"Nordland",1874,"Moskenes",162845.4212,235400,"n"
2012,"Nordland",1805,"Narvik",3292636.6396,4598218,"n"
2013,"Nordland",1805,"Narvik",271308.57248,379804,"n"
2014,"Nordland",1805,"Narvik",1608724.64328,1887047,"n"
2015,"Nordland",1805,"Narvik",2873060.81568,6079014,"n"
2016,"Nordland",1805,"Narvik",366912.49848,740666,"n"
2018,"Nordland",1805,"Narvik",1344095.1068,1546760,"n"
2011,"Nordland",1805,"Narvik",520516.54536,312503,"n"
2006,"Nordland",1828,"Nesna",866454.71992,1046825,"n"
2007,"Nordland",1828,"Nesna",1162891.31872,1505050,"n"
2008,"Nordland",1828,"Nesna",955166.16368,1373650,"n"
2009,"Nordland",1828,"Nesna",1296653.62808,1466500,"n"
2010,"Nordland",1828,"Nesna",1173416.74024,1906353,"n"
2011,"Nordland",1828,"Nesna",4078222.61624,4086741,"n"
2012,"Nordland",1828,"Nesna",4301866.60264,5277573,"n"
2013,"Nordland",1828,"Nesna",3206655.87384,5302652,"n"
2014,"Nordland",1828,"Nesna",3130767.95168,3948329,"n"
2015,"Nordland",1828,"Nesna",4477917.4176,6008746,"n"
2016,"Nordland",1828,"Nesna",2163269.51312,2330013,"n"
2017,"Nordland",1828,"Nesna",1847443.15008,1939509,"n"
2018,"Nordland",1828,"Nesna",1664445.03224,2241404,"n"
2005,"Nordland",1828,"Nesna",1156231.64936,1441950,"n"
2006,"Finnmark",2019,"Nordkapp",99961.98976,123468,"n"
2007,"Finnmark",2019,"Nordkapp",822503.0628,1146273,"n"
2008,"Finnmark",2019,"Nordkapp",2933190.83656,3824147,"n"
2009,"Finnmark",2019,"Nordkapp",4028537.062,7145946,"n"
2010,"Finnmark",2019,"Nordkapp",2306110.686,2900965,"n"
2011,"Finnmark",2019,"Nordkapp",1633030.7384,2092582,"n"
2012,"Finnmark",2019,"Nordkapp",3947599.622,5625932,"n"
2013,"Finnmark",2019,"Nordkapp",5659616.33272,7414668,"n"
2014,"Finnmark",2019,"Nordkapp",4566995.27088,4630811,"n"
2015,"Finnmark",2019,"Nordkapp",3376741.48232,5715692,"n"
2016,"Finnmark",2019,"Nordkapp",5383485.88432,7583389,"n"
2017,"Finnmark",2019,"Nordkapp",6338559.93752,10569232,"n"
2018,"Finnmark",2019,"Nordkapp",4136698.1088,6207462,"n"
2005,"Finnmark",2019,"Nordkapp",202032.16,25304,"n"
2006,"Troms",1942,"Nordreisa",4267807.95552,6297215,"n"
2007,"Troms",1942,"Nordreisa",4147402.09992,5793586,"n"
2008,"Troms",1942,"Nordreisa",4631584.74416,6873456,"n"
2009,"Troms",1942,"Nordreisa",4932062.916,7031097,"n"
2010,"Troms",1942,"Nordreisa",5196990.17112,6516617,"n"
2011,"Troms",1942,"Nordreisa",1306053.24824,1827092,"n"
2012,"Troms",1942,"Nordreisa",7400412.7356,8499392,"n"
2013,"Troms",1942,"Nordreisa",5414529.69464,8519212,"n"
2014,"Troms",1942,"Nordreisa",2255153.9112,3130493,"n"
2015,"Troms",1942,"Nordreisa",9519373.95816,12110553,"n"
2016,"Troms",1942,"Nordreisa",635427.05072,1031582,"n"
2017,"Troms",1942,"Nordreisa",2599977.89744,3530498,"n"
2018,"Troms",1942,"Nordreisa",6450896.88144,8899699,"n"
2005,"Troms",1942,"Nordreisa",2824532.74528,4675202,"n"
2006,"Nordland",1868,"Oksnes",5918049.7844,10403192,"n"
2007,"Nordland",1868,"Oksnes",7296587.88864,11477917,"n"
2008,"Nordland",1868,"Oksnes",8688305.84432,12166894,"n"
2009,"Nordland",1868,"Oksnes",9323243.63176,12746870,"n"
2010,"Nordland",1868,"Oksnes",8468932.40544,11759696,"n"
2011,"Nordland",1868,"Oksnes",9671245.96016,13638303,"n"
2012,"Nordland",1868,"Oksnes",7564343.1052,11217280,"n"
2013,"Nordland",1868,"Oksnes",7988469.23536,11648992,"n"
2014,"Nordland",1868,"Oksnes",6696500.33816,11204963,"n"
2015,"Nordland",1868,"Oksnes",5713957.0244,7983674,"n"
2016,"Nordland",1868,"Oksnes",7225399.06272,9771825,"n"
2017,"Nordland",1868,"Oksnes",8761947.688,11670849,"n"
2018,"Nordland",1868,"Oksnes",9318586.83264,13146192,"n"
2005,"Nordland",1868,"Oksnes",8336878.2604,11016155,"n"
2006,"Nordland",1833,"Rana",746864.63056,1127500,"n"
2007,"Nordland",1833,"Rana",2541162.90824,3528000,"n"
2008,"Nordland",1833,"Rana",144967.07656,195635,"n"
2009,"Nordland",1833,"Rana",2862531.0428,3569432,"n"
2010,"Nordland",1833,"Rana",760337.06584,1185366,"n"
2011,"Nordland",1833,"Rana",2904816.32232,3604704,"n"
2012,"Nordland",1833,"Rana",1645980.6948,1973057,"n"
2013,"Nordland",1833,"Rana",4624543.4004,5685427,"n"
2014,"Nordland",1833,"Rana",1282145.41296,1282470,"n"
2015,"Nordland",1833,"Rana",3375670.17568,4209007,"n"
2016,"Nordland",1833,"Rana",2505378.89232,2608686,"n"
2017,"Nordland",1833,"Rana",6284954.84936,8142254,"n"
2018,"Nordland",1833,"Rana",4130902.83496,4229532,"n"
2005,"Nordland",1833,"Rana",2213665.87112,3016500,"n"
2006,"Nordland",1836,"Rodoy",11853991.4692,15691520,"n"
2007,"Nordland",1836,"Rodoy",8313294.31728,10459464,"n"
2008,"Nordland",1836,"Rodoy",11068686.02672,17302653,"n"
2009,"Nordland",1836,"Rodoy",8120992.34352,10137821,"n"
2010,"Nordland",1836,"Rodoy",12649327.97448,16943547,"n"
2011,"Nordland",1836,"Rodoy",10109872.6292,13163485,"n"
2012,"Nordland",1836,"Rodoy",23416029.30928,27512273,"n"
2013,"Nordland",1836,"Rodoy",16459279.22432,21492650,"n"
2014,"Nordland",1836,"Rodoy",23737752.56344,30094033,"n"
2015,"Nordland",1836,"Rodoy",20733657.11744,27137914,"n"
2016,"Nordland",1836,"Rodoy",8380603.33672,14757621,"n"
2017,"Nordland",1836,"Rodoy",11247430.0876,14753962,"n"
2018,"Nordland",1836,"Rodoy",29380473.10128,40212446,"n"
2005,"Nordland",1836,"Rodoy",10843342.46408,14143170,"n"
2006,"Nordland",1840,"Saltdal",204918.62056,305514,"n"
2007,"Nordland",1840,"Saltdal",2929813.57304,2692144,"n"
2008,"Nordland",1840,"Saltdal",2173963.56848,4169200,"n"
2009,"Nordland",1840,"Saltdal",1121870.67408,1678200,"n"
2010,"Nordland",1840,"Saltdal",2629836.97152,3426250,"n"
2011,"Nordland",1840,"Saltdal",886598.89392,1679616,"n"
2012,"Nordland",1840,"Saltdal",3741695.4652,4113487,"n"
2013,"Nordland",1840,"Saltdal",1163297.94584,2365000,"n"
2014,"Nordland",1840,"Saltdal",958065.14216,3610554,"n"
2015,"Nordland",1840,"Saltdal",4006886.60856,2572936,"n"
2016,"Nordland",1840,"Saltdal",4140669.5264,5037132,"n"
2017,"Nordland",1840,"Saltdal",1960886.30192,3532567,"n"
2018,"Nordland",1840,"Saltdal",3782316.9852,4926147,"n"
2005,"Nordland",1840,"Saltdal",718322.10648,1115320,"n"
2006,"Troms",1913,"Skanland",5453629.4608,8432735,"n"
2007,"Troms",1913,"Skanland",5008334.576,6554603,"n"
2008,"Troms",1913,"Skanland",3276819.2468,4606944,"n"
2009,"Troms",1913,"Skanland",1764429.412,2248663,"n"
2010,"Troms",1913,"Skanland",4592019.2276,6919361,"n"
2011,"Troms",1913,"Skanland",1312260.5584,1815472,"n"
2012,"Troms",1913,"Skanland",2534992.2368,3547117,"n"
2013,"Troms",1913,"Skanland",4634014.924,6453582,"n"
2014,"Troms",1913,"Skanland",3156532.53728,4106141,"n"
2015,"Troms",1913,"Skanland",9940427.61976,14088294,"n"
2016,"Troms",1913,"Skanland",3409422.40248,5382072,"n"
2017,"Troms",1913,"Skanland",11027479.8524,14847599,"n"
2018,"Troms",1913,"Skanland",3216492.74216,4181092,"n"
2005,"Troms",1913,"Skanland",2030020.0316,2185223,"n"
2006,"Troms",1941,"Skjervoy",8433260.29208,9411090,"n"
2007,"Troms",1941,"Skjervoy",6424503.16536,5899888,"n"
2008,"Troms",1941,"Skjervoy",7408804.99072,9297623,"n"
2009,"Troms",1941,"Skjervoy",6035612.05256,6236358,"n"
2010,"Troms",1941,"Skjervoy",9427791.8568,11668810,"n"
2011,"Troms",1941,"Skjervoy",6359669.86984,7202664,"n"
2012,"Troms",1941,"Skjervoy",12144524.37488,14242757,"n"
2013,"Troms",1941,"Skjervoy",10737430.20584,12513237,"n"
2014,"Troms",1941,"Skjervoy",11609967.26,12965070,"n"
2015,"Troms",1941,"Skjervoy",6174973.22904,7894308,"n"
2016,"Troms",1941,"Skjervoy",18881165.35264,23898603,"n"
2017,"Troms",1941,"Skjervoy",16152639.99248,17576525,"n"
2018,"Troms",1941,"Skjervoy",23702599.416,24006539,"n"
2005,"Troms",1941,"Skjervoy",5742368.988,5409717,"n"
2006,"Nordland",1812,"Somna",3239827.67688,4093839,"n"
2007,"Nordland",1812,"Somna",2294003.38832,3415278,"n"
2008,"Nordland",1812,"Somna",5772980.51776,5954146,"n"
2009,"Nordland",1812,"Somna",9068757.4484,10336393,"n"
2010,"Nordland",1812,"Somna",6275747.17264,5416887,"n"
2011,"Nordland",1812,"Somna",398191.88376,1024254,"n"
2012,"Nordland",1812,"Somna",401133.33856,520688,"n"
2013,"Nordland",1812,"Somna",7124796.15144,7117775,"n"
2014,"Nordland",1812,"Somna",1708037.1,2708777,"n"
2016,"Nordland",1812,"Somna",568599.29232,703893,"n"
2017,"Nordland",1812,"Somna",5227229.62432,7178839,"n"
2018,"Nordland",1812,"Somna",1485536.09104,2487705,"n"
2005,"Nordland",1812,"Somna",3745403.20304,5298452,"n"
2006,"Nordland",1845,"Sorfold",6586442.09216,6623002,"n"
2007,"Nordland",1845,"Sorfold",5625091.53928,6888438,"n"
2008,"Nordland",1845,"Sorfold",9224739.55328,11642144,"n"
2009,"Nordland",1845,"Sorfold",12174776.30136,13623828,"n"
2010,"Nordland",1845,"Sorfold",12596831.5584,14572542,"n"
2011,"Nordland",1845,"Sorfold",7894255.87152,10261010,"n"
2012,"Nordland",1845,"Sorfold",10974517.22416,12043026,"n"
2013,"Nordland",1845,"Sorfold",11904857.13168,15747480,"n"
2014,"Nordland",1845,"Sorfold",15430333.73976,16371273,"n"
2015,"Nordland",1845,"Sorfold",9853351.45384,13786991,"n"
2016,"Nordland",1845,"Sorfold",10914916.42352,9717752,"n"
2017,"Nordland",1845,"Sorfold",8076095.26568,13756374,"n"
2018,"Nordland",1845,"Sorfold",14940176.33728,14541634,"n"
2005,"Nordland",1845,"Sorfold",6143572.66304,6672959,"n"
2012,"Troms",1925,"Sorreisa",2038524.83824,4325418,"n"
2013,"Troms",1925,"Sorreisa",942595.80696,2282545,"n"
2014,"Troms",1925,"Sorreisa",3381474.49288,4138110,"n"
2011,"Troms",1925,"Sorreisa",812816.33888,1351737,"n"
2006,"Nordland",1870,"Sortland",3797889.53016,5005755,"n"
2007,"Nordland",1870,"Sortland",3025872.83648,4096920,"n"
2008,"Nordland",1870,"Sortland",1896898.03792,2302037,"n"
2009,"Nordland",1870,"Sortland",3860749.09032,5295257,"n"
2010,"Nordland",1870,"Sortland",2020954.13904,2779833,"n"
2011,"Nordland",1870,"Sortland",4758758.80328,6685559,"n"
2012,"Nordland",1870,"Sortland",5192984.20176,6883068,"n"
2013,"Nordland",1870,"Sortland",5021250.25392,7296319,"n"
2014,"Nordland",1870,"Sortland",7090903.34,9663839,"n"
2015,"Nordland",1870,"Sortland",7590418.04104,9573828,"n"
2016,"Nordland",1870,"Sortland",5080820.55936,6126124,"n"
2017,"Nordland",1870,"Sortland",7335905.71632,9393793,"n"
2018,"Nordland",1870,"Sortland",9099185.75632,11746739,"n"
2005,"Nordland",1870,"Sortland",3069241.3764,4056850,"n"
2006,"Nordland",1848,"Steigen",10522818.44376,12818904,"n"
2007,"Nordland",1848,"Steigen",9499445.07912,12903835,"n"
2008,"Nordland",1848,"Steigen",13415292.4544,16507492,"n"
2009,"Nordland",1848,"Steigen",13498758.73984,18790675,"n"
2010,"Nordland",1848,"Steigen",13521930.8272,18394694,"n"
2011,"Nordland",1848,"Steigen",16807882.70552,21730258,"n"
2012,"Nordland",1848,"Steigen",16143339.33056,20180700,"n"
2013,"Nordland",1848,"Steigen",14637055.44544,19408371,"n"
2014,"Nordland",1848,"Steigen",21669260.61624,25587002,"n"
2015,"Nordland",1848,"Steigen",18045074.408,25027092,"n"
2016,"Nordland",1848,"Steigen",18583967.34008,21981266,"n"
2017,"Nordland",1848,"Steigen",20305368.42496,25926989,"n"
2018,"Nordland",1848,"Steigen",16282222.8308,18885320,"n"
2005,"Nordland",1848,"Steigen",6107602.04312,8981990,"n"
2017,"Nordland",1852,"Tjeldsund",2453766.3964,3457390,"n"
2018,"Nordland",1852,"Tjeldsund",1286072.35248,1520046,"n"
2016,"Nordland",1852,"Tjeldsund",1243416.93544,1653018,"n"
2006,"Troms",1928,"Torsken",7911249.72752,8518966,"n"
2007,"Troms",1928,"Torsken",5811369.03264,7316969,"n"
2008,"Troms",1928,"Torsken",8524685.78096,9442350,"n"
2009,"Troms",1928,"Torsken",7808163.23264,8461468,"n"
2010,"Troms",1928,"Torsken",9994716.11368,11493670,"n"
2011,"Troms",1928,"Torsken",11801104.34976,12077677,"n"
2012,"Troms",1928,"Torsken",9693225.98192,7240945,"n"
2013,"Troms",1928,"Torsken",9193911.34984,11120968,"n"
2014,"Troms",1928,"Torsken",18276034.78272,21081355,"n"
2015,"Troms",1928,"Torsken",4137057.92856,5976835,"n"
2016,"Troms",1928,"Torsken",10364415.71352,11333225,"n"
2017,"Troms",1928,"Torsken",12488533.31968,14339997,"n"
2018,"Troms",1928,"Torsken",4254623.34552,3911813,"n"
2005,"Troms",1928,"Torsken",3158253.66768,4219510,"n"
2006,"Nordland",1835,"Traena",515000.34328,1474500,"n"
2007,"Nordland",1835,"Traena",1736422.89128,2171500,"n"
2008,"Nordland",1835,"Traena",1410598.9056,1702700,"n"
2009,"Nordland",1835,"Traena",1344212.5,1834000,"n"
2010,"Nordland",1835,"Traena",1557380.13096,1896500,"n"
2011,"Nordland",1835,"Traena",2050193.48136,2829498,"n"
2012,"Nordland",1835,"Traena",2255451.93984,2792000,"n"
2013,"Nordland",1835,"Traena",1266344.09848,1469500,"n"
2014,"Nordland",1835,"Traena",2378963.81536,3041500,"n"
2015,"Nordland",1835,"Traena",1272450.66824,1670000,"n"
2016,"Nordland",1835,"Traena",2227714.54752,2818624,"n"
2017,"Nordland",1835,"Traena",2274448.5632,2665350,"n"
2018,"Nordland",1835,"Traena",1607598.31624,2158241,"n"
2005,"Nordland",1835,"Traena",1515884.364,2197500,"n"
2006,"Troms",1927,"Tranoy",3738925.298,5629887,"n"
2007,"Troms",1927,"Tranoy",8740518.24152,11755458,"n"
2008,"Troms",1927,"Tranoy",2381553.884,3859978,"n"
2009,"Troms",1927,"Tranoy",10627669.41552,14730275,"n"
2010,"Troms",1927,"Tranoy",7896993.6236,11170930,"n"
2011,"Troms",1927,"Tranoy",12375503.01296,13771834,"n"
2012,"Troms",1927,"Tranoy",12366675.32624,17537268,"n"
2013,"Troms",1927,"Tranoy",16271103.5568,19595538,"n"
2014,"Troms",1927,"Tranoy",9633661.58088,13365515,"n"
2015,"Troms",1927,"Tranoy",11993040.47448,16555724,"n"
2016,"Troms",1927,"Tranoy",16905526.33968,22753828,"n"
2017,"Troms",1927,"Tranoy",4561878.58072,6499042,"n"
2018,"Troms",1927,"Tranoy",18740139.43688,23152572,"n"
2005,"Troms",1927,"Tranoy",5056359.48808,6777617,"n"
2006,"Troms",1902,"Tromso",3973506.41296,6188515,"n"
2007,"Troms",1902,"Tromso",6555547.9752,8165682,"n"
2008,"Troms",1902,"Tromso",5349495.41944,7405534,"n"
2009,"Troms",1902,"Tromso",6956121.56112,9575754,"n"
2010,"Troms",1902,"Tromso",9631354.87984,12723576,"n"
2011,"Troms",1902,"Tromso",7148188.93464,10728430,"n"
2012,"Troms",1902,"Tromso",7701656.26304,9341699,"n"
2013,"Troms",1902,"Tromso",11500688.208,15028995,"n"
2014,"Troms",1902,"Tromso",9703238.95712,13323579,"n"
2015,"Troms",1902,"Tromso",12921535.58376,16432849,"n"
2016,"Troms",1902,"Tromso",19671699.28296,21367450,"n"
2017,"Troms",1902,"Tromso",16378509.78624,24490150,"n"
2018,"Troms",1902,"Tromso",20176198.76448,17485742,"n"
2005,"Troms",1902,"Tromso",4015521.58216,4664052,"n"
2006,"Nordland",1850,"Tysfjord",1371265.28928,1011064,"n"
2007,"Nordland",1850,"Tysfjord",1967466.60408,2228814,"n"
2008,"Nordland",1850,"Tysfjord",3483216.5132,4702270,"n"
2009,"Nordland",1850,"Tysfjord",3316308.23808,4964387,"n"
2010,"Nordland",1850,"Tysfjord",3196017.89872,6593548,"n"
2011,"Nordland",1850,"Tysfjord",7851366.8404,11824354,"n"
2012,"Nordland",1850,"Tysfjord",11205436.74344,16996973,"n"
2013,"Nordland",1850,"Tysfjord",16801498.15848,17906533,"n"
2014,"Nordland",1850,"Tysfjord",17571288.17104,24198710,"n"
2015,"Nordland",1850,"Tysfjord",17170727.85248,24282013,"n"
2016,"Nordland",1850,"Tysfjord",13551617.57488,17259509,"n"
2017,"Nordland",1850,"Tysfjord",5881147.36984,7476301,"n"
2018,"Nordland",1850,"Tysfjord",17054111.15056,21543890,"n"
2005,"Nordland",1850,"Tysfjord",153419.89488,902635,"n"
2006,"Nordland",1865,"Vagan",7105063.7248,9030223,"n"
2007,"Nordland",1865,"Vagan",4908350.93576,6835143,"n"
2008,"Nordland",1865,"Vagan",11623693.2932,13981797,"n"
2009,"Nordland",1865,"Vagan",6859177.5224,7656938,"n"
2010,"Nordland",1865,"Vagan",13011588.61048,15767611,"n"
2011,"Nordland",1865,"Vagan",9713100.60696,11266952,"n"
2012,"Nordland",1865,"Vagan",12050596.6268,9134900,"n"
2013,"Nordland",1865,"Vagan",5480603.04048,7530128,"n"
2014,"Nordland",1865,"Vagan",8184426.77816,10201809,"n"
2015,"Nordland",1865,"Vagan",907446.14536,1247480,"n"
2016,"Nordland",1865,"Vagan",8352825.19496,8944166,"n"
2017,"Nordland",1865,"Vagan",6545597.54552,7286959,"n"
2018,"Nordland",1865,"Vagan",850722.06408,969566,"n"
2005,"Nordland",1865,"Vagan",7040704.78304,12689536,"n"
2006,"Nordland",1824,"Vefsn",1515523.44768,2491000,"n"
2007,"Nordland",1824,"Vefsn",1069062.99616,1528000,"n"
2008,"Nordland",1824,"Vefsn",2159381.77136,3250500,"n"
2009,"Nordland",1824,"Vefsn",1221135.86688,1350000,"n"
2010,"Nordland",1824,"Vefsn",2387768.23912,3496500,"n"
2011,"Nordland",1824,"Vefsn",808260.99568,1003000,"n"
2012,"Nordland",1824,"Vefsn",2873721.30936,4229750,"n"
2013,"Nordland",1824,"Vefsn",1212841.25832,1592750,"n"
2014,"Nordland",1824,"Vefsn",2366568.42312,3576999,"n"
2015,"Nordland",1824,"Vefsn",1556436.4584,1819499,"n"
2016,"Nordland",1824,"Vefsn",2081056.2916,3094240,"n"
2017,"Nordland",1824,"Vefsn",2169724.5032,2790407,"n"
2018,"Nordland",1824,"Vefsn",1025037.59864,1385867,"n"
2005,"Nordland",1824,"Vefsn",1595082.91008,1665500,"n"
2006,"Nordland",1815,"Vega",1501494.16824,2003500,"n"
2007,"Nordland",1815,"Vega",1027929.97368,1179000,"n"
2008,"Nordland",1815,"Vega",3316924.1028,4660000,"n"
2009,"Nordland",1815,"Vega",635181.33008,854000,"n"
2010,"Nordland",1815,"Vega",2403524.95592,3328000,"n"
2011,"Nordland",1815,"Vega",1231202.93688,1451236,"n"
2012,"Nordland",1815,"Vega",4694964.43592,6259611,"n"
2013,"Nordland",1815,"Vega",2969266.06152,3370264,"n"
2014,"Nordland",1815,"Vega",5748823.6528,8128364,"n"
2015,"Nordland",1815,"Vega",1904613.706,3993259,"n"
2016,"Nordland",1815,"Vega",5237995.55752,7870296,"n"
2017,"Nordland",1815,"Vega",5821231.19048,6588360,"n"
2018,"Nordland",1815,"Vega",4323362.30104,7078508,"n"
2005,"Nordland",1815,"Vega",630623.62664,712805,"n"
2006,"Nordland",1816,"Vevelstad",4176280.70592,5216731,"n"
2007,"Nordland",1816,"Vevelstad",4532255.43192,6804301,"n"
2008,"Nordland",1816,"Vevelstad",4131822.18496,5327425,"n"
2009,"Nordland",1816,"Vevelstad",4397495.99776,6282812,"n"
2010,"Nordland",1816,"Vevelstad",3076939.07416,4009000,"n"
2011,"Nordland",1816,"Vevelstad",5953062.0204,8077763,"n"
2012,"Nordland",1816,"Vevelstad",2893854.42632,3902322,"n"
2013,"Nordland",1816,"Vevelstad",6130110.24856,7903120,"n"
2014,"Nordland",1816,"Vevelstad",3481545.2408,5589771,"n"
2015,"Nordland",1816,"Vevelstad",6047307.44752,7380405,"n"
2016,"Nordland",1816,"Vevelstad",4033965.77848,6216392,"n"
2017,"Nordland",1816,"Vevelstad",4317012.97664,4892360,"n"
2018,"Nordland",1816,"Vevelstad",7453728.51912,10007870,"n"
2005,"Nordland",1816,"Vevelstad",1019308.49424,1661570,"n"
2016,"Finnmark",2028,"Batsfjord",774799.41752,1112188,"n"
2017,"Finnmark",2028,"Batsfjord",2907591.54224,4087230,"n"
2018,"Finnmark",2028,"Batsfjord",2907591.54224,109320,"y"
2005,"Troms",1929,"Berg",2821578.82752,4605120,"n"
2006,"Troms",1929,"Berg",2808754.85816,6568715,"n"
2007,"Troms",1929,"Berg",865085.61408,3258979,"n"
2008,"Troms",1929,"Berg",739872.48168,3218243,"n"
2009,"Troms",1929,"Berg",2023196.96148,5125708,"y"
2010,"Troms",1929,"Berg",3306521.44128,4460042,"n"
2011,"Troms",1929,"Berg",4310270.02864,5410500,"n"
2012,"Troms",1929,"Berg",3608814.61768,5045302,"n"
2013,"Troms",1929,"Berg",7973970.6384,8118693,"n"
2014,"Troms",1929,"Berg",2632820.25208,2714257,"n"
2015,"Troms",1929,"Berg",15347546.31256,15584330,"n"
2016,"Troms",1929,"Berg",5935698.01336,7196386,"n"
2017,"Troms",1929,"Berg",18654849.13864,19374527,"n"
2018,"Troms",1929,"Berg",5737237.44128,8621596,"n"
2005,"Nordland",1804,"Bodo",296382.60552,425852,"n"
2006,"Nordland",1804,"Bodo",1377272.75928,1739372,"n"
2007,"Nordland",1804,"Bodo",126641.7856,1615891,"n"
2008,"Nordland",1804,"Bodo",377608.25036,59185,"y"
2009,"Nordland",1804,"Bodo",628574.71512,344639,"n"
2010,"Nordland",1804,"Bodo",1708426.33104,2374241,"n"
2011,"Nordland",1804,"Bodo",1248783.59808,772045,"y"
2012,"Nordland",1804,"Bodo",789140.86512,817942,"n"
2013,"Nordland",1804,"Bodo",3093376.77776,3997971,"n"
2014,"Nordland",1804,"Bodo",1135513.08856,1517740,"n"
2015,"Nordland",1804,"Bodo",4110636.0448,5034743,"n"
2016,"Nordland",1804,"Bodo",5579443.08536,7995613,"n"
2017,"Nordland",1804,"Bodo",13032084.20056,13212554,"n"
2018,"Nordland",1804,"Bodo",15492066.37144,12916994,"n"
2005,"Troms",1919,"Gratangen",3304879.09552,4882763,"n"
2006,"Troms",1919,"Gratangen",1630754.93312,2712326,"n"
2007,"Troms",1919,"Gratangen",4321388.53376,5836552,"n"
2008,"Troms",1919,"Gratangen",2943260.39028,617259,"y"
2009,"Troms",1919,"Gratangen",1565132.2468,1811595,"n"
2010,"Troms",1919,"Gratangen",2405405.1032,3899171,"n"
2013,"Troms",1919,"Gratangen",1146993.9536,292112,"n"
2014,"Troms",1919,"Gratangen",1464947.52624,982174,"n"
2015,"Troms",1919,"Gratangen",3154773.38264,2048093,"n"
2016,"Troms",1919,"Gratangen",3958710.33536,1526714,"n"
2017,"Troms",1919,"Gratangen",2830911.71176,3070453,"n"
2018,"Troms",1919,"Gratangen",1446614.38832,1692640,"n"
2005,"Troms",1920,"Lavangen",441366.53616,627845,"n"
2006,"Troms",1920,"Lavangen",2453791.66208,2935542,"n"
2007,"Troms",1920,"Lavangen",3115601.40732,1052201,"y"
2008,"Troms",1920,"Lavangen",3777411.15256,4251077,"n"
2009,"Troms",1920,"Lavangen",4172614.18552,5256949,"n"
2010,"Troms",1920,"Lavangen",1047315.89424,1502048,"n"
2011,"Troms",1920,"Lavangen",2797161.40968,4218685,"n"
2012,"Troms",1920,"Lavangen",831622.09472,1688439,"n"
2013,"Troms",1920,"Lavangen",4316016.98176,5976917,"n"
2014,"Troms",1920,"Lavangen",181145.38552,1070921,"n"
2015,"Troms",1920,"Lavangen",1492700.56552,2005401,"n"
2016,"Troms",1920,"Lavangen",4153953.48392,5163760,"n"
2017,"Troms",1920,"Lavangen",4900574.11008,5708190,"n"
2018,"Troms",1920,"Lavangen",315222.97048,820387,"n"
2011,"Nordland",1822,"Leirfjord",146486.87776,310971,"n"
2012,"Nordland",1822,"Leirfjord",1092518.03096,1333500,"n"
2013,"Nordland",1822,"Leirfjord",579984.63584,490886,"y"
2015,"Nordland",1822,"Leirfjord",67451.24072,90692,"n"
2016,"Nordland",1822,"Leirfjord",3253135.90008,2789347,"n"
2017,"Nordland",1822,"Leirfjord",1043497.5892,1412521,"n"
2018,"Nordland",1822,"Leirfjord",1582597.78208,1775468,"n"
2005,"Finnmark",2027,"Nesseby",1414475.54864,2281297,"n"
2006,"Finnmark",2027,"Nesseby",719852.89636,130929,"y"
2007,"Finnmark",2027,"Nesseby",25230.24408,93519,"n"
2008,"Finnmark",2027,"Nesseby",1666988.79952,2029287,"n"
2009,"Finnmark",2027,"Nesseby",5167706.2712,7282220,"n"
2010,"Finnmark",2027,"Nesseby",3507336.19368,5279910,"n"
2011,"Finnmark",2027,"Nesseby",3336282.72376,4839639,"n"
2012,"Finnmark",2027,"Nesseby",7798229.92632,9716739,"n"
2013,"Finnmark",2027,"Nesseby",3473473.98288,5895820,"n"
2014,"Finnmark",2027,"Nesseby",1401610.1092,2060481,"n"
2015,"Finnmark",2027,"Nesseby",2770059.62304,5034907,"n"
2016,"Finnmark",2027,"Nesseby",4963318.83584,6608115,"n"
2017,"Finnmark",2027,"Nesseby",8608902.09224,10412762,"n"
2018,"Finnmark",2027,"Nesseby",4147851.51512,6902496,"n"
2005,"Troms",1923,"Salangen",2363306.79904,1580060,"n"
2006,"Troms",1923,"Salangen",450854.60112,975337,"n"
2007,"Troms",1923,"Salangen",1011809.914,1625758,"y"
2009,"Troms",1923,"Salangen",1572765.22688,1726212,"n"
2010,"Troms",1923,"Salangen",1107571.67312,2833205,"n"
2011,"Troms",1923,"Salangen",850901.59,3559,"n"
2012,"Troms",1923,"Salangen",3205591.34984,1902964,"n"
2013,"Troms",1923,"Salangen",6003602.68816,1652991,"n"
2014,"Troms",1923,"Salangen",4926609.28704,1879899,"n"
2015,"Troms",1923,"Salangen",5032827.90824,6505293,"n"
2016,"Troms",1923,"Salangen",590977.54672,999151,"n"
2017,"Troms",1923,"Salangen",1542561.30688,1902293,"n"
2018,"Troms",1923,"Salangen",3608982.89312,4364449,"n"
2005,"Finnmark",2030,"Sor-Varanger",293062.88,0,"n"
2006,"Finnmark",2030,"Sor-Varanger",695983.09176,761459,"n"
2007,"Finnmark",2030,"Sor-Varanger",1648974.80544,2228741,"n"
2008,"Finnmark",2030,"Sor-Varanger",2544205.34344,3787647,"n"
