"year","county","municip_number","municip","production_final","feed_kg","gapfilled"
2017,"Nordland",1827,"Donna",16873751.57392,19448516,"n"
2018,"Nordland",1827,"Donna",11884414.58096,15588438,"n"
2005,"Nordland",1827,"Donna",3811544.2216,4242586,"n"
2006,"Troms",1926,"Dyroy",2629478.7268,3826335,"n"
2007,"Troms",1926,"Dyroy",7185923.9024,10278064,"n"
2008,"Troms",1926,"Dyroy",7787451.34408,10971273,"n"
2009,"Troms",1926,"Dyroy",2681844.35024,4423919,"n"
2010,"Troms",1926,"Dyroy",6247515.2656,4671324,"n"
2011,"Troms",1926,"Dyroy",9720236.40016,9526488,"n"
2012,"Troms",1926,"Dyroy",6856204.07128,11722320,"n"
2013,"Troms",1926,"Dyroy",10418421.59688,10452883,"n"
2014,"Troms",1926,"Dyroy",14076423.02264,17150433,"n"
2015,"Troms",1926,"Dyroy",4382571.24376,6183404,"n"
2016,"Troms",1926,"Dyroy",16781826.49704,21401262,"n"
2017,"Troms",1926,"Dyroy",5990671.06744,7908432,"n"
2018,"Troms",1926,"Dyroy",13603577.19424,15798284,"n"
2005,"Troms",1926,"Dyroy",4526344.49784,6966975,"n"
2006,"Nordland",1841,"Fauske",2003911.38288,2441565,"n"
2007,"Nordland",1841,"Fauske",308501.53752,676000,"n"
2008,"Nordland",1841,"Fauske",1178487.14792,1326766,"n"
2009,"Nordland",1841,"Fauske",2580598.66592,3145000,"n"
2010,"Nordland",1841,"Fauske",807029.16664,1478940,"n"
2011,"Nordland",1841,"Fauske",3606718.00456,4600484,"n"
2012,"Nordland",1841,"Fauske",1578363.42928,2485070,"n"
2013,"Nordland",1841,"Fauske",1508990.36096,2053515,"n"
2014,"Nordland",1841,"Fauske",1587123.2916,2649500,"n"
2015,"Nordland",1841,"Fauske",1416172.44344,1429267,"n"
2016,"Nordland",1841,"Fauske",1747842.08656,2440364,"n"
2017,"Nordland",1841,"Fauske",1471768.2292,1598499,"n"
2018,"Nordland",1841,"Fauske",1737525.38728,2705949,"n"
2005,"Nordland",1841,"Fauske",1235085.2096,1551350,"n"
2006,"Nordland",1859,"Flakstad",2510282.7644,3249855,"n"
2007,"Nordland",1859,"Flakstad",2311103.79192,3006525,"n"
2008,"Nordland",1859,"Flakstad",3143915.31704,3667300,"n"
2009,"Nordland",1859,"Flakstad",1907738.54456,2324050,"n"
2010,"Nordland",1859,"Flakstad",2745118.31696,4311644,"n"
2011,"Nordland",1859,"Flakstad",2620348.35536,3737962,"n"
2012,"Nordland",1859,"Flakstad",3667298.16112,4615444,"n"
2013,"Nordland",1859,"Flakstad",969470.67392,1207938,"n"
2014,"Nordland",1859,"Flakstad",2324366.25608,3110485,"n"
2016,"Nordland",1859,"Flakstad",1308912.80576,1745743,"n"
2017,"Nordland",1859,"Flakstad",1717065.3944,2450400,"n"
2018,"Nordland",1859,"Flakstad",1328570.78176,1639138,"n"
2005,"Nordland",1859,"Flakstad",1407711.14472,2684500,"n"
2005,"Finnmark",2023,"Gamvik",681527.44,2287,"n"
2006,"Nordland",1838,"Gildeskal",7602980.71032,10928195,"n"
2007,"Nordland",1838,"Gildeskal",6160628.3,10580468,"n"
2008,"Nordland",1838,"Gildeskal",9678538.41096,13829634,"n"
2009,"Nordland",1838,"Gildeskal",8577768.62256,8012410,"n"
2010,"Nordland",1838,"Gildeskal",5256661.37176,9272947,"n"
2011,"Nordland",1838,"Gildeskal",7314582.98496,11315610,"n"
2012,"Nordland",1838,"Gildeskal",12329421.564,16435120,"n"
2013,"Nordland",1838,"Gildeskal",10242842.30568,16394493,"n"
2014,"Nordland",1838,"Gildeskal",18748688.78664,20107715,"n"
2015,"Nordland",1838,"Gildeskal",17411225.15592,19882733,"n"
2016,"Nordland",1838,"Gildeskal",17047408.83272,19013973,"n"
2017,"Nordland",1838,"Gildeskal",17193286.24144,15676559,"n"
2018,"Nordland",1838,"Gildeskal",12151644.52744,13237674,"n"
2005,"Nordland",1838,"Gildeskal",8064885.15704,10942564,"n"
2006,"Nordland",1866,"Hadsel",5134071.91472,7700290,"n"
2007,"Nordland",1866,"Hadsel",8867556.00336,12113287,"n"
2008,"Nordland",1866,"Hadsel",3472335.51736,5495530,"n"
2009,"Nordland",1866,"Hadsel",10987628.81968,13537831,"n"
2010,"Nordland",1866,"Hadsel",6309769.12128,8881964,"n"
2011,"Nordland",1866,"Hadsel",11773027.28976,15434448,"n"
2012,"Nordland",1866,"Hadsel",6177941.84856,8401465,"n"
2013,"Nordland",1866,"Hadsel",15984814.37096,20829754,"n"
2014,"Nordland",1866,"Hadsel",15176672.48856,17019033,"n"
2015,"Nordland",1866,"Hadsel",7772385.45416,12464457,"n"
2016,"Nordland",1866,"Hadsel",11855236.5796,15268118,"n"
2017,"Nordland",1866,"Hadsel",19345340.21112,17037120,"n"
2018,"Nordland",1866,"Hadsel",8185601.44592,9545892,"n"
2005,"Nordland",1866,"Hadsel",6492945.03688,9109763,"n"
2006,"Nordland",1849,"Hamaroy",707026.36224,1237825,"n"
2007,"Nordland",1849,"Hamaroy",4451170.27544,5454894,"n"
2008,"Nordland",1849,"Hamaroy",945057.228480001,1795462,"n"
2009,"Nordland",1849,"Hamaroy",1561687.44776,891525,"n"
2010,"Nordland",1849,"Hamaroy",4459896.34576,6221498,"n"
2011,"Nordland",1849,"Hamaroy",2088356.45616,2383250,"n"
2012,"Nordland",1849,"Hamaroy",3382714.54352,4710250,"n"
2013,"Nordland",1849,"Hamaroy",3065810.90856,3696250,"n"
2014,"Nordland",1849,"Hamaroy",2233269.11168,3365250,"n"
2015,"Nordland",1849,"Hamaroy",829013.784,936271,"n"
2016,"Nordland",1849,"Hamaroy",4716384.58272,6096840,"n"
2017,"Nordland",1849,"Hamaroy",1938310.9148,2541971,"n"
2018,"Nordland",1849,"Hamaroy",4439950.18856,5710298,"n"
2005,"Nordland",1849,"Hamaroy",2167298.61816,2916252,"n"
2006,"Finnmark",2004,"Hammerfest",996864.37184,1217960,"n"
2007,"Finnmark",2004,"Hammerfest",6142081.794,8145615,"n"
2008,"Finnmark",2004,"Hammerfest",10044884.0784,13034769,"n"
2009,"Finnmark",2004,"Hammerfest",10438756.76968,15294918,"n"
2010,"Finnmark",2004,"Hammerfest",8343460.7116,12852972,"n"
2011,"Finnmark",2004,"Hammerfest",15757610.48016,22537376,"n"
