Year,average_prop_locs_below_thr,Komnum_new,Kommune_new,replaced
2006,NA,1804,Bodo,0.9729967948717949
2007,NA,1804,Bodo,0.9729967948717949
2008,NA,1804,Bodo,0.9729967948717949
2009,NA,1804,Bodo,0.9729967948717949
2010,NA,1804,Bodo,0.9729967948717949
2011,NA,1804,Bodo,0.9729967948717949
2012,0.8830128205128205,1813,Bronnoy,0.8830128205128205
2013,0.7916666666666666,1813,Bronnoy,0.7916666666666666
2014,0.8766025641025641,1813,Bronnoy,0.8766025641025641
2015,0.9371069182389937,1813,Bronnoy,0.9371069182389937
2016,0.9310897435897436,1813,Bronnoy,0.9310897435897436
2017,0.9865384615384616,1813,Bronnoy,0.9865384615384616
2018,0.9581043956043956,1813,Bronnoy,0.9581043956043956
2019,0.9615384615384616,1813,Bronnoy,0.9615384615384616
2004,NA,1813,Bronnoy,0.9157075039740135
2005,NA,1813,Bronnoy,0.9157075039740135
2006,NA,1813,Bronnoy,0.9157075039740135
2007,NA,1813,Bronnoy,0.9157075039740135
2008,NA,1813,Bronnoy,0.9157075039740135
2009,NA,1813,Bronnoy,0.9157075039740135
2010,NA,1813,Bronnoy,0.9157075039740135
2011,NA,1813,Bronnoy,0.9157075039740135
2012,0.8901515151515151,1827,Donna,0.8901515151515151
2013,0.9477124183006536,1827,Donna,0.9477124183006536
2014,0.9454248366013072,1827,Donna,0.9454248366013072
2015,0.965318957771788,1827,Donna,0.965318957771788
2016,0.9644230769230769,1827,Donna,0.9644230769230769
2017,0.9763431013431013,1827,Donna,0.9763431013431013
2018,0.9716117216117216,1827,Donna,0.9716117216117216
2019,1,1827,Donna,1
2004,NA,1827,Donna,0.9576232034628954
2005,NA,1827,Donna,0.9576232034628954
2006,NA,1827,Donna,0.9576232034628954
2007,NA,1827,Donna,0.9576232034628954
2008,NA,1827,Donna,0.9576232034628954
2009,NA,1827,Donna,0.9576232034628954
2010,NA,1827,Donna,0.9576232034628954
2011,NA,1827,Donna,0.9576232034628954
2012,0.8822463768115942,1926,Dyroy,0.8822463768115942
2013,0.9880952380952381,1926,Dyroy,0.9880952380952381
2014,0.967948717948718,1926,Dyroy,0.967948717948718
2015,0.9905660377358491,1926,Dyroy,0.9905660377358491
2016,0.9240384615384616,1926,Dyroy,0.9240384615384616
2017,0.9807692307692307,1926,Dyroy,0.9807692307692307
2018,0.9884615384615385,1926,Dyroy,0.9884615384615385
2019,0.923076923076923,1926,Dyroy,0.923076923076923
2004,NA,1926,Dyroy,0.9556503155546942
2005,NA,1926,Dyroy,0.9556503155546942
2006,NA,1926,Dyroy,0.9556503155546942
2007,NA,1926,Dyroy,0.9556503155546942
2008,NA,1926,Dyroy,0.9556503155546942
2009,NA,1926,Dyroy,0.9556503155546942
2010,NA,1926,Dyroy,0.9556503155546942
2011,NA,1926,Dyroy,0.9556503155546942
2015,0.9545454545454546,1853,Evenes,0.9545454545454546
2004,NA,1853,Evenes,0.9545454545454546
2005,NA,1853,Evenes,0.9545454545454546
2006,NA,1853,Evenes,0.9545454545454546
2007,NA,1853,Evenes,0.9545454545454546
2008,NA,1853,Evenes,0.9545454545454546
2009,NA,1853,Evenes,0.9545454545454546
2010,NA,1853,Evenes,0.9545454545454546
2011,NA,1853,Evenes,0.9545454545454546
2012,NA,1853,Evenes,0.9545454545454546
2013,NA,1853,Evenes,0.9545454545454546
2014,NA,1853,Evenes,0.9545454545454546
2016,NA,1853,Evenes,0.9545454545454546
2017,NA,1853,Evenes,0.9545454545454546
2018,NA,1853,Evenes,0.9545454545454546
2019,NA,1853,Evenes,0.9545454545454546
2012,1,1841,Fauske,1
2013,1,1841,Fauske,1
2014,1,1841,Fauske,1
2015,1,1841,Fauske,1
2016,1,1841,Fauske,1
2017,1,1841,Fauske,1
2018,1,1841,Fauske,1
2019,1,1841,Fauske,1
2004,NA,1841,Fauske,1
2005,NA,1841,Fauske,1
2006,NA,1841,Fauske,1
2007,NA,1841,Fauske,1
2008,NA,1841,Fauske,1
2009,NA,1841,Fauske,1
2010,NA,1841,Fauske,1
2011,NA,1841,Fauske,1
2012,0.6190476190476191,1859,Flakstad,0.6190476190476191
2013,1,1859,Flakstad,1
2014,0.5925925925925926,1859,Flakstad,0.5925925925925926
2016,1,1859,Flakstad,1
2017,0.975,1859,Flakstad,0.975
2018,1,1859,Flakstad,1
2019,1,1859,Flakstad,1
2004,NA,1859,Flakstad,0.8838057445200302
2005,NA,1859,Flakstad,0.8838057445200302
2006,NA,1859,Flakstad,0.8838057445200302
2007,NA,1859,Flakstad,0.8838057445200302
2008,NA,1859,Flakstad,0.8838057445200302
2009,NA,1859,Flakstad,0.8838057445200302
2010,NA,1859,Flakstad,0.8838057445200302
2011,NA,1859,Flakstad,0.8838057445200302
2015,NA,1859,Flakstad,0.8838057445200302
2012,0.8873168498168498,1838,Gildeskal,0.8873168498168498
2013,0.9194211017740429,1838,Gildeskal,0.9194211017740429
2014,0.8678952991452992,1838,Gildeskal,0.8678952991452992
2015,0.9662324049116502,1838,Gildeskal,0.9662324049116502
2016,0.8879731379731379,1838,Gildeskal,0.8879731379731379
2017,0.9668498168498169,1838,Gildeskal,0.9668498168498169
2018,0.9690934065934066,1838,Gildeskal,0.9690934065934066
2019,1,1838,Gildeskal,1
2004,NA,1838,Gildeskal,0.9330977521330255
2005,NA,1838,Gildeskal,0.9330977521330255
2006,NA,1838,Gildeskal,0.9330977521330255
