"","Year","Kommune.x","Komnum","examinations","Kommune.y","nlocs"
"98",2012,"Bodo",1804,1,"BODØ",16
"99",2012,"Bronnoy",1813,3,"BRØNNØY",21
"100",2012,"Donna",1827,2,"DØNNA",15
"101",2012,"Dyroy",1926,2,"DYRØY",16
"102",2012,"Gildeskal",1838,6,"GILDESKÅL",21
"103",2012,"Hadsel",1866,5,"HADSEL",24
"104",2012,"Hamaroy",1849,1,"HAMARØY",4
"105",2012,"Hammerfest",2004,1,"HAMMERFEST",11
"106",2012,"Heroy",1818,4,"HERØY I NORDLAND",33
"107",2012,"Ibestad",1917,4,"IBESTAD",17
"108",2012,"Kafjord",1940,1,"GAIVUOTNA-KÅFJORD",5
"109",2012,"Karlsoy",1936,2,"KARLSØY",17
"110",2012,"Kvaefjord",1911,2,"KVÆFJORD",6
"111",2012,"Kvaenangen",1943,1,"KVÆNANGEN",20
"112",2012,"Kvalsund",2017,3,"KVALSUND",14
"113",2012,"Lavangen",1920,1,"LAVANGEN",6
"114",2012,"Lebesby",2022,1,"LEBESBY",15
"115",2012,"Lenvik",1931,3,"LENVIK",8
"116",2012,"Lodingen",1851,4,"LØDINGEN",12
"117",2012,"Loppa",2014,3,"LOPPA",16
"118",2012,"Luroy",1834,5,"LURØY",37
"119",2012,"Masoy",2018,1,"MÅSØY",14
"120",2012,"Meloy",1837,2,"MELØY",25
"121",2012,"Nesna",1828,1,"NESNA",8
"122",2012,"Nesseby",2027,1,"UNJARGGA-NESSEBY",8
"123",2012,"Nordkapp",2019,2,"NORDKAPP",8
"124",2012,"Nordreisa",1942,1,"NORDREISA",16
"125",2012,"Oksnes",1868,6,"ØKSNES",29
"126",2012,"Rodoy",1836,10,"RØDØY",17
"127",2012,"Saltdal",1840,2,"SALTDAL",6
"128",2012,"Skanland",1913,2,"SKÅNLAND",11
"129",2012,"Skjervoy",1941,3,"SKJERVØY",21
"130",2012,"Somna",1812,2,"SØMNA",11
"131",2012,"Sor-Varanger",2030,3,"SØR-VARANGER",13
"132",2012,"Sorfold",1845,4,"SØRFOLD",10
"133",2012,"Sortland",1870,2,"SORTLAND",9
"134",2012,"Steigen",1848,6,"STEIGEN",7
"135",2012,"Torsken",1928,2,"TORSKEN",21
"136",2012,"Tranoy",1927,2,"TRANØY",18
"137",2012,"Tysfjord",1850,4,"TYSFJORD",12
"138",2012,"Vagan",1865,3,"VÅGAN",23
"139",2012,"Vega",1815,1,"VEGA",8
"140",2012,"Vestvagoy",1860,3,"VESTVÅGØY",27
"141",2012,"Vevelstad",1816,1,"VEVELSTAD",10
"142",2013,"Alstahaug",1820,2,"ALSTAHAUG",18
"143",2013,"Alta",2012,8,"ALTA",27
"144",2013,"Berg",1929,1,"BERG",9
"145",2013,"Bo",1867,6,"BØ I NORDLAND",9
"146",2013,"Bodo",1804,1,"BODØ",16
"147",2013,"Bronnoy",1813,3,"BRØNNØY",19
"148",2013,"Donna",1827,6,"DØNNA",12
"149",2013,"Dyroy",1926,1,"DYRØY",12
"150",2013,"Fauske",1841,1,"FAUSKE",6
"151",2013,"Gildeskal",1838,4,"GILDESKÅL",23
"152",2013,"Gratangen",1919,1,"GRATANGEN",15
"153",2013,"Hadsel",1866,8,"HADSEL",33
"154",2013,"Hamaroy",1849,2,"HAMARØY",12
"155",2013,"Hammerfest",2004,7,"HAMMERFEST",9
"156",2013,"Heroy",1818,4,"HERØY I NORDLAND",31
"157",2013,"Ibestad",1917,3,"IBESTAD",16
"158",2013,"Kafjord",1940,1,"GAIVUOTNA-KÅFJORD",5
"159",2013,"Karlsoy",1936,3,"KARLSØY",16
"160",2013,"Kvaefjord",1911,3,"KVÆFJORD",6
"161",2013,"Kvaenangen",1943,4,"KVÆNANGEN",19
"162",2013,"Kvalsund",2017,3,"KVALSUND",12
"163",2013,"Lavangen",1920,1,"LAVANGEN",6
"164",2013,"Lebesby",2022,3,"LEBESBY",15
"165",2013,"Lenvik",1931,4,"LENVIK",8
"166",2013,"Lodingen",1851,3,"LØDINGEN",12
"167",2013,"Loppa",2014,7,"LOPPA",17
"168",2013,"Luroy",1834,4,"LURØY",29
"169",2013,"Lyngen",1938,1,"LYNGEN",6
"170",2013,"Masoy",2018,1,"MÅSØY",14
"171",2013,"Meloy",1837,2,"MELØY",26
"172",2013,"Nesna",1828,1,"NESNA",8
"173",2013,"Nesseby",2027,2,"UNJARGGA-NESSEBY",9
"174",2013,"Nordkapp",2019,4,"NORDKAPP",5
"175",2013,"Nordreisa",1942,3,"NORDREISA",15
"176",2013,"Oksnes",1868,6,"ØKSNES",27
"177",2013,"Rodoy",1836,7,"RØDØY",16
"178",2013,"Salangen",1923,1,"SALANGEN",9
"179",2013,"Saltdal",1840,1,"SALTDAL",6
"180",2013,"Skanland",1913,1,"SKÅNLAND",8
"181",2013,"Skjervoy",1941,3,"SKJERVØY",16
"182",2013,"Somna",1812,2,"SØMNA",11
"183",2013,"Sor-Varanger",2030,3,"SØR-VARANGER",13
"184",2013,"Sorfold",1845,1,"SØRFOLD",10
"185",2013,"Sortland",1870,3,"SORTLAND",9
"186",2013,"Steigen",1848,6,"STEIGEN",17
"187",2013,"Torsken",1928,3,"TORSKEN",20
"188",2013,"Traena",1835,1,"TRÆNA",6
"189",2013,"Tranoy",1927,2,"TRANØY",20
"190",2013,"Tromso",1902,7,"TROMSØ",34
"191",2013,"Tysfjord",1850,5,"TYSFJORD",10
"192",2013,"Vagan",1865,5,"VÅGAN",40
"193",2013,"Vestvagoy",1860,3,"VESTVÅGØY",27
"194",2014,"Alstahaug",1820,1,"ALSTAHAUG",22
"195",2014,"Alta",2012,9,"ALTA",30
"196",2014,"Ballangen",1854,1,"BALLANGEN",6
"197",2014,"Batsfjord",2028,1,"BÅTSFJORD",11
"198",2014,"Berg",1929,2,"BERG",9
"199",2014,"Bindal",1811,3,"BINDAL",22
"200",2014,"Bo",1867,4,"BØ I NORDLAND",10
"201",2014,"Bodo",1804,1,"BODØ",13
"202",2014,"Bronnoy",1813,3,"BRØNNØY",21
"203",2014,"Donna",1827,1,"DØNNA",13
"204",2014,"Dyroy",1926,3,"DYRØY",20
"205",2014,"Gildeskal",1838,6,"GILDESKÅL",22
"206",2014,"Gratangen",1919,2,"GRATANGEN",17
"207",2014,"Hadsel",1866,8,"HADSEL",34
"208",2014,"Hamaroy",1849,2,"HAMARØY",18
"209",2014,"Hammerfest",2004,2,"HAMMERFEST",8
"210",2014,"Harstad",1903,4,"HARSTAD",21
"211",2014,"Heroy",1818,3,"HERØY I NORDLAND",32
"212",2014,"Ibestad",1917,4,"IBESTAD",15
"213",2014,"Kafjord",1940,1,"GAIVUOTNA-KÅFJORD",5
"214",2014,"Karlsoy",1936,2,"KARLSØY",22
"215",2014,"Kvaefjord",1911,2,"KVÆFJORD",15
"216",2014,"Kvaenangen",1943,2,"KVÆNANGEN",21
"217",2014,"Kvalsund",2017,3,"KVALSUND",11
"218",2014,"Lavangen",1920,2,"LAVANGEN",6
"219",2014,"Lebesby",2022,3,"LEBESBY",16
"220",2014,"Leirfjord",1822,1,"LEIRFJORD",6
"221",2014,"Lenvik",1931,2,"LENVIK",8
"222",2014,"Lodingen",1851,3,"LØDINGEN",11
"223",2014,"Loppa",2014,4,"LOPPA",16
"224",2014,"Luroy",1834,3,"LURØY",30
"225",2014,"Masoy",2018,3,"MÅSØY",15
