"","Week","Year","Municip_number","Municip_name","locs_above_thr_count","locs_below_thr_count","locs_active","locs_above_thr_prop","locs_below_thr_prop"
"110",1,2014,1818,"Heroy",0,5,5,0,1
"111",1,2014,1820,"Alstahaug",0,2,2,0,1
"112",1,2014,1824,"Vefsn",0,1,1,0,1
"113",1,2014,1827,"Donna",0,3,3,0,1
"114",1,2014,1828,"Nesna",0,3,3,0,1
"115",1,2014,1833,"Rana",1,0,1,1,0
"116",1,2014,1834,"Luroy",0,5,5,0,1
"117",1,2014,1835,"Traena",0,1,1,0,1
"118",1,2014,1836,"Rodoy",1,4,5,0.2,0.8
"119",1,2014,1837,"Meloy",0,3,3,0,1
"120",1,2014,1838,"Gildeskal",2,3,5,0.4,0.6
"121",1,2014,1840,"Saltdal",0,1,1,0,1
"122",1,2014,1845,"Sorfold",0,3,3,0,1
"123",1,2014,1850,"Tysfjord",0,5,5,0,1
"124",1,2014,1854,"Ballangen",0,2,2,0,1
"125",1,2014,1859,"Flakstad",0,1,1,0,1
"126",1,2014,1860,"Vestvagoy",0,2,2,0,1
"127",1,2014,1866,"Hadsel",0,6,6,0,1
"128",1,2014,1867,"Bo",1,2,3,0.333333333333333,0.666666666666667
"129",1,2014,1868,"Oksnes",0,4,4,0,1
"130",1,2014,1870,"Sortland",0,3,3,0,1
"131",1,2014,1902,"Tromso",0,4,4,0,1
"132",1,2014,1903,"Harstad",0,3,3,0,1
"133",1,2014,1913,"Skanland",0,1,1,0,1
"134",1,2014,1917,"Ibestad",0,5,5,0,1
"135",1,2014,1919,"Gratangen",0,1,1,0,1
"136",1,2014,1920,"Lavangen",0,1,1,0,1
"137",1,2014,1925,"Sorreisa",0,1,1,0,1
"138",1,2014,1926,"Dyroy",0,3,3,0,1
"139",1,2014,1927,"Tranoy",0,5,5,0,1
"140",1,2014,1928,"Torsken",1,4,5,0.2,0.8
"141",1,2014,1929,"Berg",0,3,3,0,1
"142",1,2014,1931,"Lenvik",0,3,3,0,1
"143",1,2014,1936,"Karlsoy",0,3,3,0,1
"144",1,2014,1938,"Lyngen",0,2,2,0,1
"145",1,2014,1940,"Kafjord",0,1,1,0,1
"146",1,2014,1941,"Skjervoy",0,4,4,0,1
"147",1,2014,1943,"Kvaenangen",0,3,3,0,1
"148",1,2014,2004,"Hammerfest",0,5,5,0,1
"149",1,2014,2012,"Alta",0,8,8,0,1
"150",1,2014,2014,"Loppa",0,4,4,0,1
"151",1,2014,2017,"Kvalsund",0,3,3,0,1
"152",1,2014,2018,"Masoy",0,2,2,0,1
"153",1,2014,2019,"Nordkapp",0,3,3,0,1
"154",1,2014,2022,"Lebesby",0,2,2,0,1
"155",1,2014,2027,"Nesseby",0,1,1,0,1
"156",1,2014,2030,"Sor-Varanger",0,2,2,0,1
"157",1,2015,1804,"Bodo",0,2,2,0,1
"158",1,2015,1805,"Narvik",0,1,1,0,1
"159",1,2015,1811,"Bindal",0,3,3,0,1
"160",1,2015,1813,"Bronnoy",0,4,4,0,1
"161",1,2015,1815,"Vega",0,1,1,0,1
"162",1,2015,1816,"Vevelstad",0,2,2,0,1
"163",1,2015,1818,"Heroy",0,2,2,0,1
"164",1,2015,1820,"Alstahaug",0,3,3,0,1
"165",1,2015,1827,"Donna",0,6,6,0,1
"166",1,2015,1828,"Nesna",0,2,2,0,1
"167",1,2015,1834,"Luroy",0,7,7,0,1
"168",1,2015,1836,"Rodoy",0,6,6,0,1
"169",1,2015,1837,"Meloy",1,3,4,0.25,0.75
"170",1,2015,1838,"Gildeskal",0,9,9,0,1
"171",1,2015,1845,"Sorfold",0,4,4,0,1
"172",1,2015,1848,"Steigen",0,5,5,0,1
"173",1,2015,1849,"Hamaroy",0,1,1,0,1
"174",1,2015,1850,"Tysfjord",0,4,4,0,1
"175",1,2015,1851,"Lodingen",0,2,2,0,1
"176",1,2015,1854,"Ballangen",0,1,1,0,1
"177",1,2015,1860,"Vestvagoy",0,2,2,0,1
"178",1,2015,1865,"Vagan",0,1,1,0,1
"179",1,2015,1866,"Hadsel",0,5,5,0,1
"180",1,2015,1867,"Bo",0,3,3,0,1
"181",1,2015,1868,"Oksnes",0,4,4,0,1
"182",1,2015,1870,"Sortland",0,5,5,0,1
"183",1,2015,1874,"Moskenes",0,1,1,0,1
"184",1,2015,1902,"Tromso",0,5,5,0,1
"185",1,2015,1903,"Harstad",0,6,6,0,1
"186",1,2015,1911,"Kvaefjord",0,2,2,0,1
"187",1,2015,1913,"Skanland",0,3,3,0,1
"188",1,2015,1917,"Ibestad",0,4,4,0,1
"189",1,2015,1919,"Gratangen",0,1,1,0,1
"190",1,2015,1923,"Salangen",0,1,1,0,1
"191",1,2015,1926,"Dyroy",1,1,2,0.5,0.5
"192",1,2015,1927,"Tranoy",0,2,2,0,1
"193",1,2015,1928,"Torsken",1,4,5,0.2,0.8
"194",1,2015,1929,"Berg",0,1,1,0,1
"195",1,2015,1931,"Lenvik",0,5,5,0,1
"196",1,2015,1936,"Karlsoy",0,4,4,0,1
"197",1,2015,1938,"Lyngen",0,1,1,0,1
"198",1,2015,1940,"Kafjord",0,1,1,0,1
"199",1,2015,1941,"Skjervoy",0,1,1,0,1
"200",1,2015,1942,"Nordreisa",0,2,2,0,1
"201",1,2015,1943,"Kvaenangen",0,4,4,0,1
"202",1,2015,2004,"Hammerfest",0,4,4,0,1
