What,Farmname,Municipality,Location,Latlon,Temperature,Sitting_lice,Moving_lice,Adult_females,Year,Month,Date
Fishfarm:,,1941,10720,"(-999.0,-999.0)",6.8,,3,0.4,2006,12,1
Fishfarm:,,1941,10720,"(-999.0,-999.0)",6.3,,3.5,0.4,2007,1,1
Fishfarm:,,1941,10720,"(-999.0,-999.0)",5.1,,3.9,0.4,2007,2,1
Fishfarm:,,1941,10720,"(-999.0,-999.0)",4.1,,0.15,0.8,2007,3,1
Fishfarm:,,1941,10720,"(-999.0,-999.0)",3.8,,0.15,0.8,2007,4,1
Fishfarm:,,1941,10720,"(-999.0,-999.0)",4.1,,0,0,2007,5,1
Fishfarm:,,1941,10720,"(-999.0,-999.0)",5.2,,0,0,2007,6,1
Fishfarm:,,1941,10720,"(-999.0,-999.0)",10.8,,0,0,2007,9,1
Fishfarm:,,1941,10720,"(-999.0,-999.0)",10,,0.25,0,2007,10,1
Fishfarm:,,1941,10720,"(-999.0,-999.0)",8.8,,1,0.2,2007,11,1
Fishfarm:,,1941,10720,"(-999.0,-999.0)",6.7,,0.2,1,2007,12,1
Fishfarm:,,1941,10720,"(-999.0,-999.0)",6.4,,0.35,0.05,2008,1,1
Fishfarm:,,1941,10720,"(-999.0,-999.0)",4.8,,0.35,0.05,2008,2,1
Fishfarm:,,1941,10720,"(-999.0,-999.0)",3.6,,0,0,2008,3,1
Fishfarm:,,1941,10720,"(-999.0,-999.0)",3.3,,0,0,2008,4,1
Fishfarm:,,1941,10720,"(-999.0,-999.0)",3.5,,0,0,2008,5,1
Fishfarm:,,1941,10720,"(-999.0,-999.0)",4.3,,0,0,2008,6,1
Fishfarm:,,1941,10720,"(-999.0,-999.0)",7.5,,0,0,2008,7,1
Fishfarm:,,1941,10720,"(-999.0,-999.0)",8.4,,0,0,2008,10,1
Fishfarm:,,1941,10720,"(-999.0,-999.0)",8,,0,0,2008,11,1
Fishfarm:,,1941,10720,"(-999.0,-999.0)",7,,0,0,2008,12,1
Fishfarm:,,1941,10720,"(-999.0,-999.0)",6.2,,0,0,2009,1,1
Fishfarm:,,1941,10720,"(-999.0,-999.0)",4.5,,0,0,2009,2,1
Fishfarm:,,1941,10720,"(-999.0,-999.0)",3.4,,0,0,2009,3,1
Fishfarm:,,1941,10720,"(-999.0,-999.0)",3.3,,0,0,2009,4,1
Fishfarm:,,1941,10720,"(-999.0,-999.0)",3.5,,0,0,2009,5,1
Fishfarm:,,1941,10720,"(-999.0,-999.0)",6.2,,0,0,2009,6,1
Fishfarm:,,1941,10720,"(-999.0,-999.0)",7,,0,0,2009,7,1
Fishfarm:,,2012,10812,"(-999.0,-999.0)",4.4,,0.2,0,2005,2,1
Fishfarm:,,2012,10812,"(-999.0,-999.0)",3.6,,1,1,2005,3,1
Fishfarm:,,2012,10812,"(-999.0,-999.0)",2.82,,1,1,2005,4,1
Fishfarm:,,2012,10812,"(-999.0,-999.0)",,,,,2005,5,1
Fishfarm:,,2012,10812,"(-999.0,-999.0)",4.55,,0,1,2005,6,1
Fishfarm:,,2012,10812,"(-999.0,-999.0)",8.47,,0,0,2005,7,1
Fishfarm:,,2012,10812,"(-999.0,-999.0)",11.65,,0.05,0,2005,8,1
Fishfarm:,,2012,10812,"(-999.0,-999.0)",11.14,,1,0,2005,9,1
Fishfarm:,,2012,10812,"(-999.0,-999.0)",9.21,,1.5,0,2005,10,1
Fishfarm:,,2012,10812,"(-999.0,-999.0)",7.97,,0,0.06,2005,11,1
Fishfarm:,,2012,10812,"(-999.0,-999.0)",6.09,,0,0,2005,12,1
Fishfarm:,,2012,10812,"(-999.0,-999.0)",6.19,,0.1,0.1,2006,1,1
Fishfarm:,,2012,10812,"(-999.0,-999.0)",5.19,,0.2,0.2,2006,2,1
Fishfarm:,,2012,10812,"(-999.0,-999.0)",4.43,,0.1,0.12,2006,3,1
Fishfarm:,,2012,10812,"(-999.0,-999.0)",3.35,,0.2,0.2,2006,4,1
Fishfarm:,,2012,10812,"(-999.0,-999.0)",2.16,,0,0,2006,5,1
Fishfarm:,,2012,10815,"(-999.0,-999.0)",4.5,,0.1,0.1,2005,2,1
Fishfarm:,,2012,10815,"(-999.0,-999.0)",3.4,,0.5,0,2005,3,1
Fishfarm:,,2012,10815,"(-999.0,-999.0)",,,,,2005,4,1
Fishfarm:,,2012,10815,"(-999.0,-999.0)",2.99,,0,0,2005,5,1
Fishfarm:,,2012,10815,"(-999.0,-999.0)",4.54,,0.2,0.3,2005,6,1
Fishfarm:,,2012,10815,"(-999.0,-999.0)",6.73,,0,0,2005,7,1
Fishfarm:,,2012,10815,"(-999.0,-999.0)",4.29,,0,0,2007,5,1
Fishfarm:,,2012,10815,"(-999.0,-999.0)",5.04,,0,0,2007,6,1
Fishfarm:,,2012,10815,"(-999.0,-999.0)",9.24,,0,0,2007,7,1
Fishfarm:,,2012,10815,"(-999.0,-999.0)",9.53,,0,0,2007,8,1
Fishfarm:,,2012,10815,"(-999.0,-999.0)",11.77,,0.05,0,2007,9,1
Fishfarm:,,2012,10815,"(-999.0,-999.0)",9.98,,0,0,2007,10,1
Fishfarm:,,2012,10815,"(-999.0,-999.0)",8.99,,0,0,2007,11,1
Fishfarm:,,2012,10815,"(-999.0,-999.0)",7.74,,0,0,2007,12,1
Fishfarm:,,2012,10815,"(-999.0,-999.0)",6.23,,0,0,2008,1,1
Fishfarm:,,2012,10815,"(-999.0,-999.0)",5.16,,0,0,2008,2,1
Fishfarm:,,2012,10815,"(-999.0,-999.0)",4.11,,0,0,2008,3,1
Fishfarm:,,2012,10815,"(-999.0,-999.0)",4.3,,0,0,2008,4,1
Fishfarm:,,2012,10815,"(-999.0,-999.0)",,,,,2008,5,1
Fishfarm:,,2012,10815,"(-999.0,-999.0)",5.02,,0,0,2008,6,1
Fishfarm:,,2012,10815,"(-999.0,-999.0)",8.13,,0,0,2008,7,1
Fishfarm:,,2012,10815,"(-999.0,-999.0)",11.44,,0,0,2008,8,1
Fishfarm:,,2012,10815,"(-999.0,-999.0)",10.46,,0,0,2008,9,1
Fishfarm:,,2012,10815,"(-999.0,-999.0)",8.89,,0,0,2008,10,1
Fishfarm:,,2012,10815,"(-999.0,-999.0)",8.66,,0,0,2008,11,1
Fishfarm:,,2012,10815,"(-999.0,-999.0)",2.62,,0,0,2009,6,1
Fishfarm:,,2012,10815,"(-999.0,-999.0)",8.52,,0,0,2009,7,1
Fishfarm:,,2012,10815,"(-999.0,-999.0)",10.34,,0,0,2009,8,1
Fishfarm:,,2012,10815,"(-999.0,-999.0)",12.68,,0,0,2009,9,1
Fishfarm:,,2012,10815,"(-999.0,-999.0)",9.25,,0.25,0,2009,10,1
Fishfarm:,,2012,10815,"(-999.0,-999.0)",8.36,,0,0,2009,11,1
Fishfarm:,,2012,10815,"(-999.0,-999.0)",7.68,,0,0,2009,12,1
Fishfarm:,,2012,10815,"(-999.0,-999.0)",6.21,,0,0,2010,1,1
Fishfarm:,,2012,10815,"(-999.0,-999.0)",4.3,,0,0,2010,2,1
Fishfarm:,,2012,10815,"(-999.0,-999.0)",,,,,2010,3,1
Fishfarm:,,2012,10815,"(-999.0,-999.0)",,,,,2010,4,1
Fishfarm:,,2012,10815,"(-999.0,-999.0)",,,,,2010,5,1
Fishfarm:,,2012,10815,"(-999.0,-999.0)",4.89,,0,0,2010,6,1
Fishfarm:,,2012,10815,"(-999.0,-999.0)",8.31,,0,0,2010,7,1
Fishfarm:,,2012,10815,"(-999.0,-999.0)",9.13,,0.1,0,2010,8,1
Fishfarm:,,2012,10815,"(-999.0,-999.0)",11.92,,0.25,0.05,2010,9,1
Fishfarm:,,2012,10815,"(-999.0,-999.0)",8.7,,0.2,0.05,2010,10,1
Fishfarm:,,2012,10815,"(-999.0,-999.0)",7.83,,0.2,0.2,2010,11,1
Fishfarm:,,2012,10815,"(-999.0,-999.0)",6.74,,0.4,0.15,2010,12,1
Fishfarm:,,2004,10834,"(-999.0,-999.0)",5.43,,0,0,2005,2,1
Fishfarm:,,2004,10834,"(-999.0,-999.0)",4.9,,0,0,2005,3,1
Fishfarm:,,2004,10834,"(-999.0,-999.0)",4.23,,2,1,2005,4,1
Fishfarm:,,2004,10834,"(-999.0,-999.0)",4.31,,2,1,2005,5,1
Fishfarm:,,2004,10834,"(-999.0,-999.0)",5.29,,0,0,2005,6,1
Fishfarm:,,2004,10834,"(-999.0,-999.0)",7.63,,1,1,2005,7,1
Fishfarm:,,2004,10834,"(-999.0,-999.0)",10.4,,5,0,2005,8,1
Fishfarm:,,2004,10834,"(-999.0,-999.0)",10.7,,3,2,2005,9,1
Fishfarm:,,2004,10834,"(-999.0,-999.0)",10.6,,4,1,2005,10,1
Fishfarm:,,2004,10834,"(-999.0,-999.0)",5.39,,0,0,2007,6,1
Fishfarm:,,2004,10834,"(-999.0,-999.0)",7.64,,0.8,0,2007,7,1
Fishfarm:,,2004,10834,"(-999.0,-999.0)",9.3,,0,0,2007,8,1
Fishfarm:,,2004,10834,"(-999.0,-999.0)",10.69,,0,0,2007,9,1
Fishfarm:,,2004,10834,"(-999.0,-999.0)",9.82,,0.5,0.5,2007,10,1
Fishfarm:,,2004,10834,"(-999.0,-999.0)",8.7,,2,0,2007,11,1
