"year","county","municip_number","municip","production_final","feed_kg","efcr_municip"
2007,"Nordland",1811,"Bindal",3797631.63912,4797859,1.26338188005822
2007,"Nordland",1812,"Somna",2294003.38832,3415278,1.48878507215334
2007,"Nordland",1813,"Bronnoy",4108736.32864,5345480,1.30100341624243
2007,"Nordland",1815,"Vega",1027929.97368,1179000,1.14696528964825
2007,"Nordland",1816,"Vevelstad",4532255.43192,6804301,1.50130571901979
2007,"Nordland",1818,"Heroy",2800050.1004,3981401,1.42190348645235
2007,"Nordland",1820,"Alstahaug",3014414.87464,4419500,1.46612201166497
2007,"Nordland",1824,"Vefsn",1069062.99616,1528000,1.42928901803586
2007,"Nordland",1827,"Donna",3687510.16064,4907730,1.33090616329264
2007,"Nordland",1828,"Nesna",1162891.31872,1505050,1.29423100488584
2007,"Nordland",1833,"Rana",2541162.90824,3528000,1.38834074295673
2007,"Nordland",1834,"Luroy",11962957.73784,14395368,1.20332850081599
2007,"Nordland",1835,"Traena",1736422.89128,2171500,1.25055941781514
2007,"Nordland",1836,"Rodoy",8313294.31728,10459464,1.25816115739569
2007,"Nordland",1837,"Meloy",6986564.37264,9441737,1.35141344105762
2007,"Nordland",1838,"Gildeskal",6160628.3,10580468,1.71743326894109
2007,"Nordland",1840,"Saltdal",2929813.57304,2692144,0.918878943279182
2007,"Nordland",1841,"Fauske",308501.53752,676000,2.19123705325512
2007,"Nordland",1845,"Sorfold",5625091.53928,6888438,1.22459127143053
2007,"Nordland",1848,"Steigen",9499445.07912,12903835,1.35837776759854
2007,"Nordland",1849,"Hamaroy",4451170.27544,5454894,1.22549659133424
2007,"Nordland",1850,"Tysfjord",1967466.60408,2228814,1.13283447626406
2007,"Nordland",1851,"Lodingen",2824248.02528,4112353,1.45608776679318
2007,"Nordland",1854,"Ballangen",652390.91464,923130,1.41499518047304
2007,"Nordland",1859,"Flakstad",2311103.79192,3006525,1.30090436029369
2007,"Nordland",1860,"Vestvagoy",2139616.66792,4150800,1.93997367015987
2007,"Nordland",1865,"Vagan",4908350.93576,6835143,1.39255385147836
2007,"Nordland",1866,"Hadsel",8867556.00336,12113287,1.36602317430081
2007,"Nordland",1867,"Bo",2464226.4652,3868423,1.56983258423289
2007,"Nordland",1868,"Oksnes",7296587.88864,11477917,1.57305266176124
2007,"Nordland",1870,"Sortland",3025872.83648,4096920,1.35396304517739
2008,"Finnmark",2004,"Hammerfest",10044884.0784,13034769,1.29765250631705
2008,"Finnmark",2012,"Alta",7552190.02464,11850434,1.56913874801037
2008,"Finnmark",2014,"Loppa",5626973.3904,8978921,1.5956928133548
2008,"Finnmark",2017,"Kvalsund",1368693.0252,2578180,1.88368023547374
2008,"Finnmark",2019,"Nordkapp",2933190.83656,3824147,1.30374981141183
2008,"Finnmark",2027,"Nesseby",1666988.79952,2029287,1.21733691347196
2008,"Finnmark",2030,"Sor-Varanger",2544205.34344,3787647,1.48873478698019
2008,"Troms",1902,"Tromso",5349495.41944,7405534,1.38434252566857
2008,"Troms",1903,"Harstad",4732608.3964,7273457,1.53688122717544
2008,"Troms",1911,"Kvaefjord",4981052.88144,7996891,1.60546197567935
2008,"Troms",1913,"Skanland",3276819.2468,4606944,1.40591947648591
2008,"Troms",1917,"Ibestad",5149808.54552,7472909,1.45110423697226
2008,"Troms",1919,"Gratangen",-1108969.58568,617259,NA
2008,"Troms",1920,"Lavangen",3777411.15256,4251077,1.12539430533502
2008,"Troms",1926,"Dyroy",7787451.34408,10971273,1.40884000621594
2008,"Troms",1927,"Tranoy",2381553.884,3859978,1.62078129994559
2008,"Troms",1928,"Torsken",8524685.78096,9442350,1.10764786440453
2008,"Troms",1929,"Berg",739872.48168,3218243,4.34972658084601
2008,"Troms",1931,"Lenvik",6343303.92608,6117555,0.964411459909425
2008,"Troms",1936,"Karlsoy",6605109.0504,9703917,1.46915318520174
2008,"Troms",1938,"Lyngen",935957.79632,1367821,1.46141311646529
2008,"Troms",1940,"Kafjord",1346630.05696,1584598,1.17671367263048
2008,"Troms",1941,"Skjervoy",7408804.99072,9297623,1.25494233032802
2008,"Troms",1942,"Nordreisa",4631584.74416,6873456,1.48403977896913
2008,"Troms",1943,"Kvaenangen",6530944.10016,7864161,1.20413846442314
2008,"Nordland",1804,"Bodo",-45423.6,59185,NA
2008,"Nordland",1811,"Bindal",6585595.70256,5964456,0.90568207788423
2008,"Nordland",1812,"Somna",5772980.51776,5954146,1.03138162023632
2008,"Nordland",1813,"Bronnoy",4517490.37224,6000699,1.32832579718915
2008,"Nordland",1815,"Vega",3316924.1028,4660000,1.4049160775389
2008,"Nordland",1816,"Vevelstad",4131822.18496,5327425,1.28936453736853
2008,"Nordland",1818,"Heroy",5230036.25976,6969246,1.33254257788259
2008,"Nordland",1820,"Alstahaug",6669238.76624,6619678,0.992568752150414
2008,"Nordland",1824,"Vefsn",2159381.77136,3250500,1.50529195120176
2008,"Nordland",1827,"Donna",2208572.66392,3032825,1.37320589426161
2008,"Nordland",1828,"Nesna",955166.16368,1373650,1.43812673881547
2008,"Nordland",1833,"Rana",144967.07656,195635,1.34951331462513
2008,"Nordland",1834,"Luroy",9053767.09432,12073795,1.33356589298334
2008,"Nordland",1835,"Traena",1410598.9056,1702700,1.20707594004247
2008,"Nordland",1836,"Rodoy",11068686.02672,17302653,1.56320749890557
2008,"Nordland",1837,"Meloy",5084721.9008,6406677,1.25998572291476
2008,"Nordland",1838,"Gildeskal",9678538.41096,13829634,1.4288969483594
2008,"Nordland",1840,"Saltdal",2173963.56848,4169200,1.91778742774196
2008,"Nordland",1841,"Fauske",1178487.14792,1326766,1.12582135693351
2008,"Nordland",1845,"Sorfold",9224739.55328,11642144,1.26205666108594
2008,"Nordland",1848,"Steigen",13415292.4544,16507492,1.23049810923696
2008,"Nordland",1849,"Hamaroy",945057.228480001,1795462,1.89984473521012
2008,"Nordland",1850,"Tysfjord",3483216.5132,4702270,1.34997924538434
2008,"Nordland",1851,"Lodingen",8944448.06016,11309462,1.26441138949357
2008,"Nordland",1854,"Ballangen",952725.1256,1338536,1.40495507469379
2008,"Nordland",1859,"Flakstad",3143915.31704,3667300,1.1664754391199
2008,"Nordland",1860,"Vestvagoy",4433974.9564,4934450,1.11287277184045
2008,"Nordland",1865,"Vagan",11623693.2932,13981797,1.20287043432052
2008,"Nordland",1866,"Hadsel",3472335.51736,5495530,1.58266099935476
2008,"Nordland",1867,"Bo",6273250.22216,7198597,1.14750675408598
2008,"Nordland",1868,"Oksnes",8688305.84432,12166894,1.40037588662399
2008,"Nordland",1870,"Sortland",1896898.03792,2302037,1.21357972541542
2009,"Finnmark",2004,"Hammerfest",10438756.76968,15294918,1.46520494130345
2009,"Finnmark",2012,"Alta",12985565.20688,16360587,1.25990565211069
2009,"Finnmark",2014,"Loppa",9933567.90928,14762235,1.4860959460708
2009,"Finnmark",2017,"Kvalsund",1098162.73784,1886000,1.71741394514042
2009,"Finnmark",2019,"Nordkapp",4028537.062,7145946,1.77383151501958
2009,"Finnmark",2022,"Lebesby",213434.25544,341332,1.59923719506194
2009,"Finnmark",2027,"Nesseby",5167706.2712,7282220,1.40917838937254
2009,"Finnmark",2030,"Sor-Varanger",4290786.1376,6258162,1.45851175036667
2009,"Troms",1902,"Tromso",6956121.56112,9575754,1.3765938268707
2009,"Troms",1903,"Harstad",8142516.6704,10802234,1.32664561059712
2009,"Troms",1911,"Kvaefjord",10547070.69176,15762545,1.49449505560958
2009,"Troms",1913,"Skanland",1764429.412,2248663,1.2744420290813
2009,"Troms",1917,"Ibestad",4870427.87792,7714524,1.58395200449917
2009,"Troms",1919,"Gratangen",1565132.2468,1811595,1.15747088062616
2009,"Troms",1920,"Lavangen",4172614.18552,5256949,1.25986941669395
2009,"Troms",1923,"Salangen",1572765.22688,1726212,1.09756495788275
2009,"Troms",1926,"Dyroy",2681844.35024,4423919,1.64958081911208
2009,"Troms",1927,"Tranoy",10627669.41552,14730275,1.38603059843853
2009,"Troms",1928,"Torsken",7808163.23264,8461468,1.08366945565751
2009,"Troms",1929,"Berg",-568254.9504,5125708,NA
2009,"Troms",1931,"Lenvik",4955299.48888,5794339,1.1693216551296
2009,"Troms",1936,"Karlsoy",5759982.01232,7691306,1.33530035051309
2009,"Troms",1938,"Lyngen",3879807.0344,5379085,1.38643106533567
2009,"Troms",1940,"Kafjord",3183898.02896,4811655,1.51124657769636
2009,"Troms",1941,"Skjervoy",6035612.05256,6236358,1.03326024696283
2009,"Troms",1942,"Nordreisa",4932062.916,7031097,1.42558947842911
2009,"Troms",1943,"Kvaenangen",7192775.1968,7590092,1.05523831794114
2009,"Nordland",1804,"Bodo",628574.71512,344639,0.548286451411278
2009,"Nordland",1811,"Bindal",7269568.17808,6486560,0.89228958874875
2009,"Nordland",1812,"Somna",9068757.4484,10336393,1.13978051114639
2009,"Nordland",1813,"Bronnoy",5606838.72056,7230474,1.2895812346958
2009,"Nordland",1815,"Vega",635181.33008,854000,1.34449795602846
2009,"Nordland",1816,"Vevelstad",4397495.99776,6282812,1.42872489325751
2009,"Nordland",1818,"Heroy",4369376.64744,5630120,1.28854078150911
2009,"Nordland",1820,"Alstahaug",6387968.73048,10947412,1.7137547883985
2009,"Nordland",1824,"Vefsn",1221135.86688,1350000,1.10552808791805
2009,"Nordland",1827,"Donna",6456436.1996,7831030,1.21290287054725
2009,"Nordland",1828,"Nesna",1296653.62808,1466500,1.13098823636617
2009,"Nordland",1833,"Rana",2862531.0428,3569432,1.24694962137722
2009,"Nordland",1834,"Luroy",12994627.19968,15830238,1.21821409392875
2009,"Nordland",1835,"Traena",1344212.5,1834000,1.36436761300762
2009,"Nordland",1836,"Rodoy",8120992.34352,10137821,1.24834756285533
2009,"Nordland",1837,"Meloy",10454189.55256,13328628,1.27495564653657
2009,"Nordland",1838,"Gildeskal",8577768.62256,8012410,0.934090245676122
2009,"Nordland",1840,"Saltdal",1121870.67408,1678200,1.49589434751579
2009,"Nordland",1841,"Fauske",2580598.66592,3145000,1.21870945743467
2009,"Nordland",1845,"Sorfold",12174776.30136,13623828,1.11902080685278
2009,"Nordland",1848,"Steigen",13498758.73984,18790675,1.39202984230998
2009,"Nordland",1849,"Hamaroy",1561687.44776,891525,0.570872872980285
2009,"Nordland",1850,"Tysfjord",3316308.23808,4964387,1.49696187555659
2009,"Nordland",1851,"Lodingen",6729154.24992,9094282,1.35147474143695
2009,"Nordland",1854,"Ballangen",1046053.4228,1404559,1.34272205356432
2009,"Nordland",1859,"Flakstad",1907738.54456,2324050,1.21822248998802
2009,"Nordland",1860,"Vestvagoy",5580552.3152,6505100,1.16567315071696
2009,"Nordland",1865,"Vagan",6859177.5224,7656938,1.11630555922992
2009,"Nordland",1866,"Hadsel",10987628.81968,13537831,1.23209759104278
2009,"Nordland",1867,"Bo",5745747.02456,7835431,1.36369230432661
2009,"Nordland",1868,"Oksnes",9323243.63176,12746870,1.36721408379561
2009,"Nordland",1870,"Sortland",3860749.09032,5295257,1.37156206635565
