"","Municip_number","Municip_name","Year","average_locs_above_thr","average_prop_locs_above_thr"
"103",1833,"Rana",2014,0.458333333333333,0.458333333333333
"104",1833,"Rana",2015,0.0384615384615385,0.0384615384615385
"105",1833,"Rana",2016,0.0857142857142857,0.0857142857142857
"106",1833,"Rana",2017,0,0
"107",1833,"Rana",2018,0,0
"108",1833,"Rana",2019,0,0
"109",1834,"Luroy",2012,1.09615384615385,0.152701465201465
"110",1834,"Luroy",2013,0.326923076923077,0.0464285714285714
"111",1834,"Luroy",2014,0.384615384615385,0.0549450549450549
"112",1834,"Luroy",2015,0.528301886792453,0.0923854447439353
"113",1834,"Luroy",2016,0.173076923076923,0.023046398046398
"114",1834,"Luroy",2017,0.346153846153846,0.0488400488400488
"115",1834,"Luroy",2018,0.211538461538462,0.0301816239316239
"116",1834,"Luroy",2019,0.0714285714285714,0.00892857142857143
"117",1835,"Traena",2012,0.176470588235294,0.161764705882353
"118",1835,"Traena",2013,0,0
"119",1835,"Traena",2014,0.0208333333333333,0.0208333333333333
"120",1835,"Traena",2015,0,0
"121",1835,"Traena",2016,0,0
"122",1835,"Traena",2017,0,0
"123",1835,"Traena",2018,0,0
"124",1835,"Traena",2019,0,0
"125",1836,"Rodoy",2012,0.730769230769231,0.113820207570208
"126",1836,"Rodoy",2013,0.384615384615385,0.052457264957265
"127",1836,"Rodoy",2014,0.480769230769231,0.0661935286935287
"128",1836,"Rodoy",2015,0.528301886792453,0.0574423480083857
"129",1836,"Rodoy",2016,0.192307692307692,0.035485347985348
"130",1836,"Rodoy",2017,0.134615384615385,0.029296398046398
"131",1836,"Rodoy",2018,0.25,0.0279380341880342
"132",1836,"Rodoy",2019,0,0
"133",1837,"Meloy",2012,0.25,0.0895833333333333
"134",1837,"Meloy",2013,0.186046511627907,0.102713178294574
"135",1837,"Meloy",2014,0.163265306122449,0.041156462585034
"136",1837,"Meloy",2015,0.25,0.0586538461538462
"137",1837,"Meloy",2016,0.153846153846154,0.0269230769230769
"138",1837,"Meloy",2017,0.423076923076923,0.0948717948717949
"139",1837,"Meloy",2018,0.0961538461538462,0.0166666666666667
"140",1837,"Meloy",2019,0,0
"141",1838,"Gildeskal",2012,0.711538461538462,0.11268315018315
"142",1838,"Gildeskal",2013,0.490196078431373,0.080578898225957
"143",1838,"Gildeskal",2014,0.846153846153846,0.132104700854701
"144",1838,"Gildeskal",2015,0.264150943396226,0.0337675950883498
"145",1838,"Gildeskal",2016,0.826923076923077,0.112026862026862
"146",1838,"Gildeskal",2017,0.211538461538462,0.0331501831501832
"147",1838,"Gildeskal",2018,0.192307692307692,0.0309065934065934
"148",1838,"Gildeskal",2019,0,0
"149",1840,"Saltdal",2012,0,0
"150",1840,"Saltdal",2013,0,0
"151",1840,"Saltdal",2014,0,0
"152",1840,"Saltdal",2015,0,0
"153",1840,"Saltdal",2016,0,0
"154",1840,"Saltdal",2017,0,0
"155",1840,"Saltdal",2018,0.0588235294117647,0.0294117647058824
"156",1840,"Saltdal",2019,0,0
"157",1841,"Fauske",2012,0,0
"158",1841,"Fauske",2013,0,0
"159",1841,"Fauske",2014,0,0
"160",1841,"Fauske",2015,0,0
"161",1841,"Fauske",2016,0,0
"162",1841,"Fauske",2017,0,0
"163",1841,"Fauske",2018,0,0
"164",1841,"Fauske",2019,0,0
"165",1845,"Sorfold",2012,0.288461538461538,0.0692307692307692
"166",1845,"Sorfold",2013,0.403846153846154,0.116987179487179
"167",1845,"Sorfold",2014,0.692307692307692,0.138782051282051
"168",1845,"Sorfold",2015,0.0754716981132075,0.0160377358490566
"169",1845,"Sorfold",2016,0.0192307692307692,0.00480769230769231
"170",1845,"Sorfold",2017,0.0961538461538462,0.0288461538461538
"171",1845,"Sorfold",2018,0.115384615384615,0.0326923076923077
"172",1845,"Sorfold",2019,0,0
"173",1848,"Steigen",2012,0.163265306122449,0.0285714285714286
"174",1848,"Steigen",2013,0.1,0.0159047619047619
"175",1848,"Steigen",2014,0.142857142857143,0.0258503401360544
"176",1848,"Steigen",2015,0.528301886792453,0.0903638814016172
"177",1848,"Steigen",2016,0.423076923076923,0.0612408424908425
"178",1848,"Steigen",2017,0.576923076923077,0.079739010989011
"179",1848,"Steigen",2018,0.346153846153846,0.049793956043956
"180",1848,"Steigen",2019,0,0
"181",1849,"Hamaroy",2012,0,0
"182",1849,"Hamaroy",2013,0,0
"183",1849,"Hamaroy",2014,0,0
"184",1849,"Hamaroy",2015,0,0
"185",1849,"Hamaroy",2016,0.0392156862745098,0.0196078431372549
"186",1849,"Hamaroy",2017,0,0
"187",1849,"Hamaroy",2018,0,0
"188",1849,"Hamaroy",2019,0,0
"189",1850,"Tysfjord",2012,0.0930232558139535,0.0209302325581395
"190",1850,"Tysfjord",2013,0.145833333333333,0.0302083333333333
"191",1850,"Tysfjord",2014,0.173076923076923,0.0293956043956044
"192",1850,"Tysfjord",2015,0.679245283018868,0.116554357592093
"193",1850,"Tysfjord",2016,0.365384615384615,0.0894230769230769
"194",1850,"Tysfjord",2017,0.0666666666666667,0.0333333333333333
"195",1850,"Tysfjord",2018,0.0384615384615385,0.00641025641025641
"196",1850,"Tysfjord",2019,0,0
"197",1851,"Lodingen",2012,0.238095238095238,0.111111111111111
"198",1851,"Lodingen",2013,0.0731707317073171,0.0284552845528455
"199",1851,"Lodingen",2014,0,0
"200",1851,"Lodingen",2015,0.0188679245283019,0.00628930817610063
"201",1851,"Lodingen",2016,0.02,0.00666666666666667
"202",1851,"Lodingen",2017,0.0784313725490196,0.0212418300653595
"203",1851,"Lodingen",2018,0,0
"204",1851,"Lodingen",2019,0,0
"205",1852,"Tjeldsund",2016,0,0
"206",1852,"Tjeldsund",2017,0.075,0.075
"207",1852,"Tjeldsund",2018,0,0
