"","year","county","municip_number","municip","seaarea","lice_score","momb_score","prr_score","escapees_score","sustainability","production_searea","production_max","aquaculture_score"
"48",2011,"Nordland",1811,"Bindal",641.29,0.982024246563647,1,0.999579124579124,NA,0.993832350537552,16031.791384553,138621.566114261,11.4938197292513
"49",2012,"Nordland",1811,"Bindal",641.29,0.907407407407407,1,0.999579124579124,NA,0.96799511569381,20340.4261036349,143049.209439033,13.7640978210656
"50",2013,"Nordland",1811,"Bindal",641.29,0.852272727272727,0.895068566376776,0.999579124579124,NA,0.913588641623072,13290.4292036364,213892.924204099,5.67666518559153
"51",2014,"Nordland",1811,"Bindal",641.29,0.942307692307692,1,0.999579124579124,NA,0.980249519332731,17273.3506042508,128643.610679612,13.1620945164952
"52",2015,"Nordland",1811,"Bindal",641.29,0.987421383647799,0.821542383683875,0.999579124579124,NA,0.93250226029351,24119.1718692011,153175.221263016,14.6833032777659
"53",2016,"Nordland",1811,"Bindal",641.29,1,0.895068566376776,0.999579124579124,NA,0.963587507824621,28816.5067707278,206784.422546882,13.4281033365178
"54",2017,"Nordland",1811,"Bindal",641.29,0.980392156862745,0.653800448200004,0.999579124579124,NA,0.862092909781758,38104.4565344852,242862.37313563,13.526007090082
"55",2018,"Nordland",1811,"Bindal",641.29,1,0.895068566376776,0.604206662069666,0.844988344988345,0.822191785533437,6520.2513683357,143135.447262345,3.74533158430915
"56",2005,"Nordland",1811,"Bindal",641.29,0.982024246563647,0.895068566376776,0.818492217826084,NA,0.896047481749991,2766.29042242979,59747.5723235912,4.14866658243889
"57",2006,"Nordland",1867,"Bo",1579.07,1,0.568069087538397,0.891258338564541,NA,0.797018228832208,2393.27380483449,121604.867684256,1.56859086758964
"58",2007,"Nordland",1867,"Bo",1579.07,1,0.568069087538397,0.932517344368229,NA,0.809131964951922,1691.30647469713,149998.637316471,0.912335042297968
"59",2008,"Nordland",1867,"Bo",1579.07,1,0.568069087538397,0.964829695199757,NA,0.818371706625283,4525.91386512314,178392.406948684,2.07625420677535
"60",2009,"Nordland",1867,"Bo",1579.07,1,0.568069087538397,0.99336267025935,NA,0.826360717760028,4149.63851317548,206786.176580898,1.65828215255521
"61",2010,"Nordland",1867,"Bo",1579.07,0.975,0.568069087538397,0.958087035111709,NA,0.809599526223381,4315.44135788787,100384.652468928,3.48039186555157
"62",2011,"Nordland",1867,"Bo",1579.07,0.977272727272727,0.685714285714286,0.911820277520083,NA,0.848573387423303,4664.82135054178,138621.566114261,2.85557533803288
"63",2012,"Nordland",1867,"Bo",1579.07,0.792857142857143,0.638371290545204,0.870817422006354,NA,0.761024198746891,4474.6641086209,143049.209439033,2.38052882730263
"64",2013,"Nordland",1867,"Bo",1579.07,0.903565891472868,0.592619656558275,0.869396505633219,NA,0.775028947391314,3481.37922638008,213892.924204099,1.26145812786061
"65",2014,"Nordland",1867,"Bo",1579.07,0.988372093023256,0.50690537084399,0.821139068470347,NA,0.74374037934936,1473.78096474507,128643.610679612,0.852051965897662
"66",2015,"Nordland",1867,"Bo",1579.07,0.905901116427432,0.476470588235294,0.915654904925324,NA,0.733865108132031,3577.27312088761,153175.221263016,1.71387767814627
"67",2016,"Nordland",1867,"Bo",1579.07,0.989583333333333,0.568069087538397,0.939236698570237,NA,0.808244691488048,2429.77497957659,206784.422546882,0.949710188303964
"68",2017,"Nordland",1867,"Bo",1579.07,0.814540272361971,0.508333333333333,0.974682457532802,NA,0.738994886628612,4800.17104751531,242862.37313563,1.46062225006567
