Year,Municip_number,Municip_name_new,Species,Spp_year,SSB,Bmsy,SSB.Bmsy,Blim,Total_catch_new,Blim.Bmsy,stock_score
1994,1832,Hemnes,Haddock,Haddock_1994,163487,8e4,2.0435875,5e4,0.6552,0.625,1
1994,1832,Hemnes,Saithe,Saithe_1994,147107,22e4,0.6686681818181818,136e3,0.3552,0.6181818181818182,0.08166911764705878
1994,1833,Rana,Cod,Cod_1994,592309,46e4,1.2876282608695653,22e4,2.412,0.4782608695652174,1
1994,1833,Rana,Saithe,Saithe_1994,147107,22e4,0.6686681818181818,136e3,1.0488,0.6181818181818182,0.08166911764705878
1994,1834,Luroy,Cod,Cod_1994,592309,46e4,1.2876282608695653,22e4,3917.5842,0.4782608695652174,1
1994,1834,Luroy,Haddock,Haddock_1994,163487,8e4,2.0435875,5e4,121.8831,0.625,1
1994,1834,Luroy,Saithe,Saithe_1994,147107,22e4,0.6686681818181818,136e3,362.1642,0.6181818181818182,0.08166911764705878
1994,1835,Traena,Cod,Cod_1994,592309,46e4,1.2876282608695653,22e4,19110.2754,0.4782608695652174,1
1994,1835,Traena,Herring,Herring_1994,3431e3,3184e3,1.077575376884422,25e5,9507.61,0.785175879396985,1
1994,1835,Traena,Haddock,Haddock_1994,163487,8e4,2.0435875,5e4,479.7342,0.625,1
1994,1835,Traena,Saithe,Saithe_1994,147107,22e4,0.6686681818181818,136e3,1772.3514,0.6181818181818182,0.08166911764705878
1994,1836,Rodoy,Cod,Cod_1994,592309,46e4,1.2876282608695653,22e4,5718.375,0.4782608695652174,1
1994,1836,Rodoy,Herring,Herring_1994,3431e3,3184e3,1.077575376884422,25e5,274.78499999999997,0.785175879396985,1
1994,1836,Rodoy,Haddock,Haddock_1994,163487,8e4,2.0435875,5e4,232.659,0.625,1
1994,1836,Rodoy,Saithe,Saithe_1994,147107,22e4,0.6686681818181818,136e3,484.125,0.6181818181818182,0.08166911764705878
1994,1837,Meloy,Cod,Cod_1994,592309,46e4,1.2876282608695653,22e4,4270.9482,0.4782608695652174,1
1994,1837,Meloy,Haddock,Haddock_1994,163487,8e4,2.0435875,5e4,1075.3884,0.625,1
1994,1837,Meloy,Saithe,Saithe_1994,147107,22e4,0.6686681818181818,136e3,342.6206,0.6181818181818182,0.08166911764705878
1994,1838,Gildeskal,Cod,Cod_1994,592309,46e4,1.2876282608695653,22e4,1181.0574,0.4782608695652174,1
1994,1838,Gildeskal,Herring,Herring_1994,3431e3,3184e3,1.077575376884422,25e5,125.97,0.785175879396985,1
1994,1838,Gildeskal,Haddock,Haddock_1994,163487,8e4,2.0435875,5e4,137.361,0.625,1
1994,1838,Gildeskal,Saithe,Saithe_1994,147107,22e4,0.6686681818181818,136e3,283.7216,0.6181818181818182,0.08166911764705878
1994,1840,Saltdal,Cod,Cod_1994,592309,46e4,1.2876282608695653,22e4,211.5858,0.4782608695652174,1
1994,1840,Saltdal,Haddock,Haddock_1994,163487,8e4,2.0435875,5e4,8.862,0.625,1
1994,1840,Saltdal,Saithe,Saithe_1994,147107,22e4,0.6686681818181818,136e3,2.8558,0.6181818181818182,0.08166911764705878
