Year,Municip_number,Municip_name_new,Species,Spp_year,SSB,Bmsy,SSB.Bmsy,Blim,Total_catch_new,Blim.Bmsy,stock_score,total_tons,catch_prop,catch_weighted_score
1994,1804,Bodo,Cod,Cod_1994,592309,46e4,1.2876282608695653,22e4,2300.3034,0.4782608695652174,1,273566.54480000003,0.008408569847901956,0.008408569847901956
1994,1804,Bodo,Herring,Herring_1994,3431e3,3184e3,1.077575376884422,25e5,270613.075,0.785175879396985,1,273566.54480000003,0.9892038341085923,0.9892038341085923
1994,1804,Bodo,Haddock,Haddock_1994,163487,8e4,2.0435875,5e4,320.8962,0.625,1,273566.54480000003,0.0011730096610848447,0.0011730096610848447
1994,1804,Bodo,Saithe,Saithe_1994,147107,22e4,0.6686681818181818,136e3,332.2702,0.6181818181818182,0.08166911764705878,273566.54480000003,0.0012145863824208373,9.919419815844289e-5
1994,1805,Narvik,Cod,Cod_1994,592309,46e4,1.2876282608695653,22e4,30.033,0.4782608695652174,1,32589.339,9.215590411330528e-4,9.215590411330528e-4
1994,1805,Narvik,Herring,Herring_1994,3431e3,3184e3,1.077575376884422,25e5,32549.7,0.785175879396985,1,32589.339,0.9987836819887633,0.9987836819887633
1994,1805,Narvik,Haddock,Haddock_1994,163487,8e4,2.0435875,5e4,1.4322,0.625,1,32589.339,4.39468870479392e-5,4.39468870479392e-5
1994,1805,Narvik,Saithe,Saithe_1994,147107,22e4,0.6686681818181818,136e3,8.1738,0.6181818181818182,0.08166911764705878,32589.339,2.508120830557502e-4,2.048360151838394e-5
1994,1811,Bindal,Cod,Cod_1994,592309,46e4,1.2876282608695653,22e4,184.3026,0.4782608695652174,1,233.5,0.7893044967880086,0.7893044967880086
1994,1811,Bindal,Haddock,Haddock_1994,163487,8e4,2.0435875,5e4,10.71,0.625,1,233.5,0.04586723768736617,0.04586723768736617
1994,1811,Bindal,Saithe,Saithe_1994,147107,22e4,0.6686681818181818,136e3,38.4874,0.6181818181818182,0.08166911764705878,233.5,0.16482826552462526,0.013461379008691264
1994,1812,Somna,Cod,Cod_1994,592309,46e4,1.2876282608695653,22e4,8.595,0.4782608695652174,1,8.898000000000001,0.9659474039109911,0.9659474039109911
