Year,Municip_number,Municip_name_new,fish_score
1995,2012,Alta,98.76618768076146
1995,2014,Loppa,93.7561358001911
1995,2015,Hasvik,95.89783073081146
1995,2017,Kvalsund,98.3252600477509
1995,2018,Masoy,97.51750122091035
1995,2019,Nordkapp,97.18358419009934
1995,2020,Porsanger,99.1004532719001
1995,2022,Lebesby,98.55545581907485
1995,2023,Gamvik,99.24119105227226
1995,2024,Berlevag,98.29932796981929
1995,2025,Tana,99.99513915701932
1995,2027,Nesseby,90.48648423286842
1995,2028,Batsfjord,97.46613875008235
1995,2030,Sor-Varanger,99.15514174104632
1996,1804,Bodo,100
1996,1805,Narvik,100
1996,1811,Bindal,100
1996,1812,Somna,99.99999999999999
1996,1813,Bronnoy,100
1996,1815,Vega,99.99999999999999
1996,1816,Vevelstad,100.00000000000003
1996,1818,Heroy,100
1996,1820,Alstahaug,100
1996,1822,Leirfjord,100
1996,1827,Donna,100
1996,1828,Nesna,99.99999999999999
1996,1832,Hemnes,100
1996,1833,Rana,100
1996,1834,Luroy,100
1996,1835,Traena,99.99999999999999
1996,1836,Rodoy,100
1996,1837,Meloy,100
1996,1838,Gildeskal,100
1996,1840,Saltdal,100
1996,1841,Fauske,99.99999999999999
1996,1842,Bodo,99.99999999999999
1996,1845,Sorfold,100
1996,1848,Steigen,100
1996,1849,Hamaroy,100
1996,1850,Tysfjord,100
1996,1851,Lodingen,99.99999999999999
1996,1852,Tjeldsund,99.99999999999999
1996,1853,Evenes,100
1996,1854,Ballangen,100
1996,1856,Rost,99.99999999999999
1996,1857,Vaeroy,100
1996,1859,Flakstad,100
1996,1860,Vestvagoy,100
1996,1865,Vagan,99.99999999999999
1996,1866,Hadsel,100
1996,1867,Bo,99.99999999999999
1996,1868,Oksnes,100
1996,1870,Sortland,99.99999999999999
1996,1871,Andoy,99.99999999999999
1996,1874,Moskenes,100
1996,1901,Harstad,100
1996,1902,Tromso,99.99999999999999
1996,1911,Kvaefjord,100
1996,1915,Harstad,100
1996,1917,Ibestad,100
1996,1919,Gratangen,100
1996,1920,Lavangen,100
1996,1924,Malselv,100
1996,1925,Sorreisa,100
1996,1926,Dyroy,99.99999999999999
1996,1927,Tranoy,100
1996,1928,Torsken,100
1996,1929,Berg,99.99999999999999
1996,1931,Lenvik,100
1996,1933,Balsfjord,100
1996,1936,Karlsoy,100
1996,1938,Lyngen,100
1996,1939,Storfjord,100
1996,1940,Kafjord,99.99999999999999
1996,1941,Skjervoy,100
1996,1942,Nordreisa,100
1996,1943,Kvaenangen,100
1996,2002,Vardo,100
1996,2003,Vadso,99.99999999999999
1996,2004,Hammerfest,100
1996,2012,Alta,100
1996,2014,Loppa,100
1996,2015,Hasvik,100
1996,2017,Kvalsund,99.99999999999999
1996,2018,Masoy,100
1996,2019,Nordkapp,99.99999999999999
1996,2020,Porsanger,99.99999999999999
1996,2022,Lebesby,100
1996,2023,Gamvik,100
1996,2024,Berlevag,100
1996,2025,Tana,99.99999999999999
1996,2028,Batsfjord,100
1996,2030,Sor-Varanger,100
1997,1804,Bodo,100
1997,1805,Narvik,100
1997,1811,Bindal,99.99999999999999
1997,1812,Somna,100
1997,1813,Bronnoy,100.00000000000003
1997,1815,Vega,100
1997,1816,Vevelstad,100
1997,1818,Heroy,100
1997,1820,Alstahaug,99.99999999999999
1997,1822,Leirfjord,99.99999999999999
1997,1827,Donna,99.99999999999999
1997,1828,Nesna,100
1997,1832,Hemnes,100
1997,1833,Rana,100
1997,1834,Luroy,100
1997,1835,Traena,100
1997,1836,Rodoy,100
1997,1837,Meloy,100
1997,1838,Gildeskal,100
1997,1840,Saltdal,100
1997,1841,Fauske,99.99999999999999
1997,1842,Bodo,100
1997,1845,Sorfold,100
1997,1848,Steigen,99.99999999999999
1997,1849,Hamaroy,100
1997,1850,Tysfjord,100
1997,1851,Lodingen,100
1997,1852,Tjeldsund,100
1997,1853,Evenes,99.99999999999999
1997,1854,Ballangen,100
1997,1856,Rost,100
1997,1857,Vaeroy,100
1997,1859,Flakstad,100
1997,1860,Vestvagoy,100
1997,1865,Vagan,100
1997,1866,Hadsel,100
1997,1867,Bo,100
1997,1868,Oksnes,100
1997,1870,Sortland,100
1997,1871,Andoy,99.99999999999999
1997,1874,Moskenes,100
1997,1901,Harstad,100
1997,1902,Tromso,100
1997,1911,Kvaefjord,100
1997,1915,Harstad,100
1997,1919,Gratangen,100
1997,1920,Lavangen,100
1997,1924,Malselv,100
1997,1925,Sorreisa,100
1997,1926,Dyroy,100
1997,1927,Tranoy,100
1997,1928,Torsken,100
1997,1929,Berg,100
1997,1931,Lenvik,100.00000000000003
1997,1933,Balsfjord,100
1997,1936,Karlsoy,100
1997,1938,Lyngen,100
1997,1939,Storfjord,99.99999999999999
1997,1940,Kafjord,99.99999999999999
1997,1941,Skjervoy,99.99999999999999
1997,1942,Nordreisa,100
1997,1943,Kvaenangen,100
1997,2002,Vardo,100
1997,2003,Vadso,100
1997,2004,Hammerfest,99.99999999999999
1997,2012,Alta,99.99999999999999
1997,2014,Loppa,100
1997,2015,Hasvik,100
1997,2017,Kvalsund,99.99999999999999
1997,2018,Masoy,100
1997,2019,Nordkapp,100
1997,2020,Porsanger,99.99999999999999
1997,2022,Lebesby,100
1997,2023,Gamvik,100
1997,2024,Berlevag,100
1997,2025,Tana,100
1997,2028,Batsfjord,100
1997,2030,Sor-Varanger,100
1998,1804,Bodo,99.92639101970144
1998,1805,Narvik,99.97422398427109
1998,1811,Bindal,76.97442627958412
1998,1812,Somna,81.47303030303028
