"","landing_municip_numb","landing_municip","landing_county","year","local_landings_NOK","local_landings_tonnes","total_landings_NOK","total_landings_tonnes","proportion_local_NOK","proportion_local_tonnes","mean_NOK_per_tonnes","fishing_industry_yes_no"
"52",2020,"Porsanger","Finnmark","2019",10395.25579,214.28559,53855.11064,515.1718,19.3022642911054,41.5949766660365,104.53815725162,1
"53",1833,"Rana","Nordland","2019",5.85,0.08775,76.2235,1.45314,7.67479845454486,6.03864734299517,52.4543402562726,0
"54",1836,"Rodoy","Nordland","2019",11136.0332,949.81475,16942.89786,1302.78746,65.7268508139374,72.9063472870701,13.0051127909997,1
"55",1856,"Rost","Nordland","2019",57314.02949,3398.03573,279293.77143,14811.02898,20.5210553735405,22.94260401886,18.8571483998271,1
"56",1923,"Salangen","Troms","2019",0,0,0,0,0,0,0,0
"57",1840,"Saltdal","Nordland","2019",0,0,0,0,0,0,0,0
"58",1913,"Skanland","Troms","2019",0,0,0,0,0,0,0,0
"59",1941,"Skjervoy","Troms","2019",30698.37696,1728.52004,78505.98656,6077.5584,39.1032306008129,28.4410272388333,12.917356180403,1
"60",1812,"Somna","Nordland","2019",0,0,0,0,0,0,0,0
"61",2030,"Sor-Varanger","Finnmark","2019",10444.14334,195.83401,367274.43318,22292.15439,2.84368918619537,0.878488487805597,16.4755019525953,1
"62",1845,"Sorfold","Nordland","2019",1427.41865,180.2369,1497.03398,188.33152,95.3497829087353,95.7019302982316,7.94892952597632,1
"63",1925,"Sorreisa","Troms","2019",0,0,0,0,0,0,0,0
"64",1870,"Sortland","Nordland","2019",162437.20063,10812.17187,462046.54905,30768.32814,35.1560250723617,35.1405894425046,15.0169533732098,1
"65",1848,"Steigen","Nordland","2019",5789.84907,478.19055,8798.0334,669.62569,65.8084461238804,71.4116195273213,13.1387333720724,1
"66",1939,"Storfjord","Troms","2019",0,0,0,0,0,0,0,0
"67",2025,"Tana","Finnmark","2019",6414.66472,78.3917,8654.58322,120.7599,74.1187016975729,64.9153402743792,71.6676911789427,1
"68",1852,"Tjeldsund","Nordland","2019",0,0,0,0,0,0,0,0
"69",1928,"Torsken","Troms","2019",14763.11562,733.8396,44729.23432,2307.24373,33.0055183023754,31.8058985471812,19.3864366119656,1
"70",1835,"Traena","Nordland","2019",17128.85021,1391.5286,174821.96182,35875.1103,9.79788238941981,3.87881344019171,4.87307106119197,1
