"","county","municip_name","municip_numb","year","age","main_occupation","part_time_occupation"
"98","Finnmark","Alta",2012,"1995","20-29",34,9
"99","Finnmark","Alta",2012,"1995","30-39",25,17
"100","Finnmark","Alta",2012,"1995","40-49",33,18
"101","Finnmark","Alta",2012,"1995","50-59",27,16
"102","Finnmark","Alta",2012,"1995","60-66",13,24
"103","Finnmark","Alta",2012,"1995","67-69",3,11
"104","Finnmark","Alta",2012,"1995","70 OG OVER",0,46
"105","Finnmark","Alta",2012,"1996","<20",2,2
"106","Finnmark","Alta",2012,"1996","20-29",36,7
"107","Finnmark","Alta",2012,"1996","30-39",25,13
"108","Finnmark","Alta",2012,"1996","40-49",26,15
"109","Finnmark","Alta",2012,"1996","50-59",34,17
"110","Finnmark","Alta",2012,"1996","60-66",9,24
"111","Finnmark","Alta",2012,"1996","67-69",4,11
"112","Finnmark","Alta",2012,"1996","70 OG OVER",0,47
"113","Finnmark","Alta",2012,"1997","<20",2,0
"114","Finnmark","Alta",2012,"1997","20-29",26,7
"115","Finnmark","Alta",2012,"1997","30-39",31,13
"116","Finnmark","Alta",2012,"1997","40-49",22,19
"117","Finnmark","Alta",2012,"1997","50-59",32,20
"118","Finnmark","Alta",2012,"1997","60-66",11,19
"119","Finnmark","Alta",2012,"1997","67-69",3,15
"120","Finnmark","Alta",2012,"1997","70 OG OVER",0,43
"121","Finnmark","Alta",2012,"1998","<20",3,0
"122","Finnmark","Alta",2012,"1998","20-29",18,5
"123","Finnmark","Alta",2012,"1998","30-39",23,8
"124","Finnmark","Alta",2012,"1998","40-49",22,14
"125","Finnmark","Alta",2012,"1998","50-59",33,27
"126","Finnmark","Alta",2012,"1998","60-66",12,14
"127","Finnmark","Alta",2012,"1998","67-69",3,14
"128","Finnmark","Alta",2012,"1998","70 OG OVER",0,44
"129","Finnmark","Alta",2012,"1999","<20",6,0
"130","Finnmark","Alta",2012,"1999","20-29",13,7
"131","Finnmark","Alta",2012,"1999","30-39",27,10
"132","Finnmark","Alta",2012,"1999","40-49",19,17
"133","Finnmark","Alta",2012,"1999","50-59",30,26
"134","Finnmark","Alta",2012,"1999","60-66",13,10
"135","Finnmark","Alta",2012,"1999","67-69",4,16
"136","Finnmark","Alta",2012,"1999","70 OG OVER",1,41
"137","Finnmark","Alta",2012,"2000","<20",3,0
"138","Finnmark","Alta",2012,"2000","20-29",15,6
"139","Finnmark","Alta",2012,"2000","30-39",25,11
"140","Finnmark","Alta",2012,"2000","40-49",22,20
"141","Finnmark","Alta",2012,"2000","50-59",36,29
"142","Finnmark","Alta",2012,"2000","60-66",15,9
"143","Finnmark","Alta",2012,"2000","67-69",2,12
"144","Finnmark","Alta",2012,"2000","70 OG OVER",0,47
"145","Finnmark","Alta",2012,"2001","<20",2,0
"146","Finnmark","Alta",2012,"2001","20-29",9,2
"147","Finnmark","Alta",2012,"2001","30-39",19,7
"148","Finnmark","Alta",2012,"2001","40-49",16,16
"149","Finnmark","Alta",2012,"2001","50-59",37,14
"150","Finnmark","Alta",2012,"2001","60-66",9,10
"151","Finnmark","Alta",2012,"2001","67-69",4,9
"152","Finnmark","Alta",2012,"2001","70 OG OVER",0,22
"153","Finnmark","Alta",2012,"2002","<20",1,0
"154","Finnmark","Alta",2012,"2002","20-29",12,1
"155","Finnmark","Alta",2012,"2002","30-39",25,8
"156","Finnmark","Alta",2012,"2002","40-49",15,10
"157","Finnmark","Alta",2012,"2002","50-59",35,13
"158","Finnmark","Alta",2012,"2002","60-66",11,11
"159","Finnmark","Alta",2012,"2002","67-69",3,6
"160","Finnmark","Alta",2012,"2002","70 OG OVER",2,20
"161","Finnmark","Alta",2012,"2003","<20",1,0
"162","Finnmark","Alta",2012,"2003","20-29",13,0
"163","Finnmark","Alta",2012,"2003","30-39",22,8
"164","Finnmark","Alta",2012,"2003","40-49",16,12
"165","Finnmark","Alta",2012,"2003","50-59",35,12
"166","Finnmark","Alta",2012,"2003","60-66",13,11
"167","Finnmark","Alta",2012,"2003","67-69",3,7
"168","Finnmark","Alta",2012,"2003","70 OG OVER",0,22
"169","Finnmark","Alta",2012,"2004","<20",0,1
"170","Finnmark","Alta",2012,"2004","20-29",13,1
"171","Finnmark","Alta",2012,"2004","30-39",25,4
"172","Finnmark","Alta",2012,"2004","40-49",17,9
"173","Finnmark","Alta",2012,"2004","50-59",31,7
"174","Finnmark","Alta",2012,"2004","60-66",14,13
"175","Finnmark","Alta",2012,"2004","67-69",5,2
"176","Finnmark","Alta",2012,"2004","70 OG OVER",0,18
"177","Finnmark","Alta",2012,"2005","<20",1,1
"178","Finnmark","Alta",2012,"2005","20-29",14,2
"179","Finnmark","Alta",2012,"2005","30-39",17,6
"180","Finnmark","Alta",2012,"2005","40-49",15,7
"181","Finnmark","Alta",2012,"2005","50-59",28,7
"182","Finnmark","Alta",2012,"2005","60-66",17,9
"183","Finnmark","Alta",2012,"2005","67-69",3,3
"184","Finnmark","Alta",2012,"2005","70 OG OVER",0,16
"185","Finnmark","Alta",2012,"2006","<20",3,0
"186","Finnmark","Alta",2012,"2006","20-29",11,3
"187","Finnmark","Alta",2012,"2006","30-39",21,6
"188","Finnmark","Alta",2012,"2006","40-49",16,5
