Year,smfleets_count_new,Kommunenr_new,allfleets_count_new,small_fleet_prop
2002,2,2025,55,0.03636363636363636
2002,2,2027,51,0.0392156862745098
2002,12,2028,62,0.1935483870967742
2002,0,2030,57,0
2003,7,1903,75,0.09333333333333334
2003,1,1805,10,0.1
2003,0,1811,14,0
2003,0,1812,15,0
2003,10,1813,73,0.136986301369863
2003,1,1815,54,0.018518518518518517
2003,1,1816,20,0.05
2003,4,1818,79,0.05063291139240506
2003,4,1820,37,0.10810810810810811
2003,3,1822,15,0.2
2003,1,1824,9,0.1111111111111111
2003,1,1827,40,0.025
2003,1,1828,5,0.2
2003,0,1832,2,0
2003,0,1833,8,0
2003,12,1834,85,0.1411764705882353
2003,6,1835,52,0.11538461538461539
2003,6,1836,83,0.07228915662650602
2003,6,1837,135,0.044444444444444446
2003,7,1838,44,0.1590909090909091
2003,2,1840,11,0.18181818181818182
2003,0,1841,13,0
2003,1,1845,18,0.05555555555555555
2003,3,1848,77,0.03896103896103896
2003,2,1849,16,0.125
2003,4,1850,22,0.18181818181818182
2003,1,1851,32,0.03125
2003,1,1852,12,0.08333333333333333
2003,0,1853,2,0
2003,1,1854,6,0.16666666666666666
2003,17,1856,75,0.22666666666666666
2003,16,1857,83,0.1927710843373494
2003,24,1859,138,0.17391304347826086
2003,27,1860,206,0.13106796116504854
2003,24,1865,228,0.10526315789473684
2003,5,1866,72,0.06944444444444445
2003,10,1867,115,0.08695652173913043
2003,20,1868,149,0.1342281879194631
2003,5,1870,52,0.09615384615384616
2003,9,1871,120,0.075
2003,17,1874,172,0.09883720930232558
2003,22,1902,438,0.0502283105022831
2003,1,1911,24,0.041666666666666664
2003,0,1913,7,0
2003,4,1917,25,0.16
2003,1,1919,8,0.125
2003,3,1920,7,0.42857142857142855
2003,0,1923,1,0
2003,0,1924,6,0
2003,1,1925,7,0.14285714285714285
2003,0,1926,12,0
2003,2,1927,34,0.058823529411764705
2003,9,1928,88,0.10227272727272728
2003,2,1929,63,0.031746031746031744
2003,21,1931,184,0.11413043478260869
2003,3,1933,42,0.07142857142857142
2003,15,1936,231,0.06493506493506493
2003,9,1938,62,0.14516129032258066
2003,1,1939,13,0.07692307692307693
2003,2,1940,53,0.03773584905660377
2003,10,1941,181,0.055248618784530384
2003,0,1942,64,0
2003,3,1943,81,0.037037037037037035
2003,12,1804,127,0.09448818897637795
2003,16,2002,64,0.25
2003,6,2003,50,0.12
2003,15,2004,131,0.11450381679389313
2003,5,2012,141,0.03546099290780142
2003,10,2014,119,0.08403361344537816
2003,6,2015,77,0.07792207792207792
2003,1,2017,34,0.029411764705882353
2003,14,2018,162,0.08641975308641975
2003,21,2019,167,0.12574850299401197
2003,3,2020,33,0.09090909090909091
2003,10,2022,83,0.12048192771084337
2003,12,2023,82,0.14634146341463414
2003,14,2024,57,0.24561403508771928
2003,2,2025,34,0.058823529411764705
2003,2,2027,30,0.06666666666666667
2003,13,2028,65,0.2
2003,0,2030,39,0
2004,7,1903,56,0.125
2004,1,1805,7,0.14285714285714285
2004,0,1811,12,0
2004,0,1812,13,0
2004,11,1813,62,0.1774193548387097
2004,1,1815,52,0.019230769230769232
2004,1,1816,19,0.05263157894736842
2004,3,1818,54,0.05555555555555555
2004,3,1820,33,0.09090909090909091
2004,3,1822,13,0.23076923076923078
2004,0,1824,3,0
2004,1,1827,32,0.03125
2004,1,1828,4,0.25
2004,0,1832,2,0
2004,0,1833,2,0
2004,11,1834,73,0.1506849315068493
2004,6,1835,46,0.13043478260869565
2004,6,1836,64,0.09375
2004,9,1837,104,0.08653846153846154
2004,6,1838,29,0.20689655172413793
2004,1,1840,5,0.2
2004,0,1841,8,0
2004,1,1845,18,0.05555555555555555
2004,3,1848,62,0.04838709677419355
2004,3,1849,14,0.21428571428571427
2004,4,1850,18,0.2222222222222222
2004,1,1851,28,0.03571428571428571
2004,1,1852,10,0.1
2004,0,1853,2,0
2004,1,1854,6,0.16666666666666666
2004,17,1856,62,0.27419354838709675
2004,16,1857,69,0.2318840579710145
2004,23,1859,121,0.19008264462809918
2004,30,1860,195,0.15384615384615385
2004,22,1865,201,0.10945273631840796
2004,5,1866,61,0.08196721311475409
2004,8,1867,88,0.09090909090909091
2004,17,1868,135,0.1259259259259259
2004,4,1870,42,0.09523809523809523
2004,10,1871,106,0.09433962264150944
2004,16,1874,142,0.11267605633802817
2004,21,1902,363,0.05785123966942149
2004,1,1911,18,0.05555555555555555
2004,0,1913,7,0
2004,4,1917,23,0.17391304347826086
2004,1,1919,7,0.14285714285714285
2004,3,1920,6,0.5
2004,0,1923,2,0
2004,0,1924,3,0
2004,1,1925,7,0.14285714285714285
2004,0,1926,7,0
2004,2,1927,29,0.06896551724137931
2004,6,1928,67,0.08955223880597014
2004,2,1929,56,0.03571428571428571
2004,21,1931,168,0.125
2004,1,1933,32,0.03125
2004,18,1936,197,0.09137055837563451
2004,9,1938,52,0.17307692307692307
2004,2,1939,11,0.18181818181818182
2004,1,1940,36,0.027777777777777776
2004,9,1941,140,0.06428571428571428
2004,0,1942,44,0
2004,3,1943,60,0.05
2004,12,1804,110,0.10909090909090909
2004,14,2002,63,0.2222222222222222
2004,7,2003,44,0.1590909090909091
2004,15,2004,117,0.1282051282051282
2004,5,2012,124,0.04032258064516129
2004,10,2014,100,0.1
2004,6,2015,64,0.09375
2004,2,2017,31,0.06451612903225806
2004,13,2018,134,0.09701492537313433
2004,22,2019,148,0.14864864864864866
2004,2,2020,23,0.08695652173913043
2004,9,2022,66,0.13636363636363635
2004,10,2023,69,0.14492753623188406
2004,13,2024,36,0.3611111111111111
2004,2,2025,25,0.08
2004,2,2027,26,0.07692307692307693
2004,11,2028,56,0.19642857142857142
2004,0,2030,30,0
2005,7,1903,52,0.1346153846153846
2005,1,1805,6,0.16666666666666666
2005,0,1811,9,0
2005,0,1812,13,0
2005,7,1813,54,0.12962962962962962
2005,1,1815,48,0.020833333333333332
2005,2,1816,19,0.10526315789473684
2005,2,1818,54,0.037037037037037035
2005,4,1820,36,0.1111111111111111
2005,2,1822,10,0.2
2005,0,1824,3,0
2005,1,1827,32,0.03125
2005,1,1828,3,0.3333333333333333
2005,0,1832,2,0
2005,0,1833,1,0
2005,11,1834,80,0.1375
2005,6,1835,43,0.13953488372093023
2005,7,1836,57,0.12280701754385964
2005,10,1837,84,0.11904761904761904
2005,5,1838,25,0.2
2005,1,1840,4,0.25
2005,0,1841,5,0
2005,1,1845,16,0.0625
2005,3,1848,58,0.05172413793103448
2005,2,1849,14,0.14285714285714285
2005,5,1850,17,0.29411764705882354
2005,1,1851,28,0.03571428571428571
2005,1,1852,13,0.07692307692307693
2005,0,1853,2,0
2005,1,1854,6,0.16666666666666666
2005,18,1856,64,0.28125
2005,15,1857,71,0.2112676056338028
2005,20,1859,117,0.17094017094017094
2005,30,1860,192,0.15625
2005,27,1865,183,0.14754098360655737
2005,5,1866,55,0.09090909090909091
2005,9,1867,84,0.10714285714285714
2005,20,1868,122,0.16393442622950818
2005,2,1870,39,0.05128205128205128
2005,8,1871,100,0.08
2005,18,1874,138,0.13043478260869565
2005,21,1902,346,0.06069364161849711
2005,1,1911,17,0.058823529411764705
2005,0,1913,6,0
2005,4,1917,19,0.21052631578947367
2005,0,1919,4,0
2005,3,1920,4,0.75
2005,0,1923,2,0
2005,0,1924,2,0
2005,0,1925,7,0
2005,0,1926,4,0
2005,2,1927,21,0.09523809523809523
2005,7,1928,62,0.11290322580645161
2005,1,1929,53,0.018867924528301886
2005,22,1931,164,0.13414634146341464
2005,1,1933,31,0.03225806451612903
2005,24,1936,207,0.11594202898550725
2005,9,1938,45,0.2
2005,2,1939,10,0.2
2005,0,1940,30,0
2005,10,1941,125,0.08
2005,0,1942,37,0
2005,3,1943,53,0.05660377358490566
2005,14,1804,103,0.13592233009708737
2005,14,2002,65,0.2153846153846154
2005,8,2003,44,0.18181818181818182
