"water_entity_id","okologisk_tilstand","okologisk_palitelighetsgrad","kjemisk_tilstand","kjemisk_palitelighetsgrad","num_status_eco","num_status_chem"
"kvernfjorden_0365020901-1-c","god","lav","ukjent","lav",75,NA
"jornfjorden-indre_0365020901-2-c","moderat","lav","ukjent","hoy",50,NA
"storoya-nord_0365020902-1-c","god","lav","ukjent","lav",75,NA
"jornfjorden-ytre_0365020902-2-c","god","lav","ukjent","lav",75,NA
"straumsnes_0365020902-3-c","god","lav","ukjent","lav",75,NA
"pollen_0365020902-4-c","god","lav","ukjent","lav",75,NA
"guvag_0365020902-5-c","god","lav","ukjent","lav",75,NA
"prestfjorden_0365030100-1-c","god","lav","ukjent","lav",75,NA
"steinlandsfjorden_0365030200-c","udefinert","lav","ukjent","lav",NA,NA
"romsetfjorden_0365030300-c","god","lav","ukjent","lav",75,NA
"breistrand_0365030400-1-c","god","lav","ukjent","lav",75,NA
"borroyfjorden_0365030400-2-c","god","lav","ukjent","lav",75,NA
"teistpollen_0365030500-1-c","god","lav","ukjent","lav",75,NA
"annfjorden_0365030500-2-c","god","lav","ukjent","lav",75,NA
"sandsetfjorden_0365030500-3-c","god","lav","ukjent","lav",75,NA
"skjerfjorden_0365030600-c","god","lav","ukjent","lav",75,NA
"vinjesundet_-_skallflaget_0365030700-c","god","lav","ukjent","lav",75,NA
"moklandsfjorden_0365030800-c","god","lav","ukjent","lav",75,NA
"sundsstraumen_0365030901-c","god","lav","ukjent","lav",75,NA
"malnesfjorden_0365030902-c","moderat","lav","ukjent","lav",50,NA
"eidspollen_0365031000-1-c","god","lav","ukjent","lav",75,NA
"eidspollen_0365031000-2-c","god","lav","ukjent","lav",75,NA
"straumfjorden_0365031100-c","god","lav","ukjent","lav",75,NA
"andenes_-_midt_andfjorden_0401000030-1-c","svaert_god","lav","darlig","lav",100,0
"midt_andfjorden_-_kasodden_0401000030-2-c","svaert_god","lav","darlig","lav",100,0
"dverberg_havn_0401010100-1-c","god","lav","ukjent","lav",75,NA
"skrollsvik_0401010100-3-c","god","lav","darlig","lav",75,0
"andfjorden_-_vest_0401010100-5-c","god","middels","darlig","lav",75,0
"andfjorden_-_ost_0401010100-6-c","svaert_god","lav","darlig","lav",100,0
"kvaefjorden_-_vest_0401010200-1-c","svaert_god","lav","ukjent","lav",100,NA
"kvaefjorden_-_ost_0401010200-2-c","svaert_god","lav","ukjent","lav",100,NA
"godfjorden-indre_0401010300-1-c","god","lav","ukjent","lav",75,NA
"godfjorden-ytre_0401010300-2-c","god","lav","ukjent","lav",75,NA
"gullesfjorden-midtre_0401010401-1-c","god","lav","ukjent","lav",75,NA
"foroysundet_0401010401-3-c","god","lav","ukjent","lav",75,NA
"gullesfjorden-indre_0401010401-4-c","god","lav","ukjent","lav",75,NA
"austerfjorden_0401010402-c","god","lav","ukjent","lav",75,NA
"kvaefjorden_indre_0401010403-1-c","god","middels","ukjent","lav",75,NA
"gullesfjorden-ytre_0401010403-2-c","god","middels","ukjent","lav",75,NA
"straumen_indre_kvaefjord_0401010501-1-c","god","lav","ukjent","lav",75,NA
"straumsbotnen_0401010501-2-c","svaert_god","lav","ukjent","lav",100,NA
"straumen_ytre_kvaefjord_0401010502-2-c","god","lav","ukjent","lav",75,NA
"bygdesundet_ytre_0401010502-3-c","god","middels","ukjent","lav",75,NA
"oysundet_0401010502-5-c","god","lav","ukjent","lav",75,NA
"bygdesundet_indre_0401010502-6-c","moderat","middels","ukjent","lav",50,NA
"kasfjorden_0401010600-c","god","lav","ukjent","lav",75,NA
"indre_selfjorden_0401010701-c","svaert_god","lav","ukjent","lav",100,NA
"selfjorden-midtre_0401010702-c","svaert_god","lav","ukjent","lav",100,NA
"selfjorden-ytre_0401010703-c","svaert_god","middels","god","lav",100,100
"veidemannsfjorden_0401010800-1-c","svaert_god","lav","ukjent","lav",100,NA
"sifjorden_0401010800-2-c","svaert_god","lav","ukjent","lav",100,NA
"grunnfarsnesbotnen_0401010900-c","god","lav","ukjent","lav",75,NA
"torskenfjorden_0401011000-c","god","lav","ukjent","lav",75,NA
"gryllefjorden_0401011100-c","svaert_god","lav","ukjent","lav",100,NA
"straumsbotn_0401011201-c","svaert_god","lav","ukjent","lav",100,NA
"lavollkjosen_0401011202-1-c","svaert_god","lav","ukjent","lav",100,NA
"lavollsfjorden_0401011202-2-c","svaert_god","lav","ukjent","lav",100,NA
"bergsbotn_i_bergsfjorden_0401011300-c","moderat","middels","darlig","middels",50,0
"bergsfjorden_0401011400-c","god","lav","god","lav",75,100
"steinfjorden_0401011500-c","svaert_god","lav","ukjent","lav",100,NA
"ersfjorden_0401011600-c","svaert_god","lav","ukjent","lav",100,NA
"mefjorden_0401011700-2-c","svaert_god","middels","darlig","lav",100,0
"breivik_-_kilbotn_0401020100-1-c","god","hoy","darlig","lav",75,0
"stangnes_0401020100-3-c","god","lav","god","lav",75,100
"vagsfjorden_0401020100-4-c","svaert_god","hoy","darlig","lav",100,0
"kvaernsundet_0401020200-c","svaert_god","middels","darlig","lav",100,0
"sandoysundet_0401020300-c","god","middels","god","lav",75,100
"bergsvagen_indre_0401020400-1-c","god","lav","darlig","lav",75,0
"bergsvagen_0401020400-3-c","god","hoy","darlig","lav",75,0
"toppsundet_0401020400-4-c","svaert_god","middels","darlig","lav",100,0
"harstadbassenget_russevika_-_brurvika_0401020500-1-c","moderat","middels","darlig","lav",50,0
"hamnvik_havn_ibestad_0401020600-1-c","udefinert","lav","ukjent","lav",NA,NA
"astafjorden_0401020600-2-c","svaert_god","middels","darlig","lav",100,0
"grov_indre_0401020701-1-c","god","lav","ukjent","lav",75,NA
"grovfjorden-indre_0401020701-2-c","moderat","hoy","ukjent","lav",50,NA
"grov_ytre_0401020702-1-c","god","lav","darlig","lav",75,0
"grov_havn_0401020702-3-c","moderat","middels","darlig","lav",50,0
"grovfjorden-ytre_0401020702-4-c","moderat","lav","darlig","lav",50,0
"gratangsbotnen_0401020801-c","god","lav","ukjent","lav",75,NA
"gratangen_0401020802-c","god","lav","ukjent","lav",75,NA
"lavangen_0401020900-c","svaert_god","middels","god","lav",100,100
"salangen_0401021000-c","svaert_god","hoy","darlig","hoy",100,0
"sagfjorden-indre_0401021101-c","god","lav","ukjent","lav",75,NA
"sagfjorden-ytre_0401021102-c","god","lav","ukjent","lav",75,NA
"mjosundet_0401021200-c","god","lav","ukjent","lav",75,NA
"bygda_0401021300-c","god","lav","darlig","lav",75,0
"straumbotn_0401021400-c","god","lav","ukjent","lav",75,NA
"hofsoybotnen_0401021500-c","svaert_god","lav","ukjent","lav",100,NA
"eidepollen_0401021600-c","god","lav","ukjent","lav",75,NA
"gisundet_finnsnes_-_gibostad_0401030100-3-c","god","lav","ukjent","lav",75,NA
"gisundet_nordlig_del_0401030100-5-c","svaert_god","lav","ukjent","lav",100,NA
"gisundet_ved_gibostad_0401030100-6-c","god","lav","ukjent","lav",75,NA
"gisundet_smabathavn_finnsnes_0401030100-7-c","moderat","middels","darlig","lav",50,0
"gisundet_ved_finnsnes_0401030100-8-c","god","lav","ukjent","lav",75,NA
"lysbotnvannet_0401030201-c","god","lav","ukjent","lav",75,NA
"lysbotn_0401030202-c","god","lav","ukjent","lav",75,NA
"solbergfjorden_0401030300-1-c","svaert_god","lav","ukjent","lav",100,NA
"finnfjorden-ytre_0401030300-2-c","svaert_god","lav","darlig","lav",100,0
"finnfjorden-indre_0401030400-c","svaert_god","lav","darlig","lav",100,0
"reisafjorden_0401030500-1-c","god","lav","ukjent","lav",75,NA
"tranoyfjord_0401030600-c","svaert_god","middels","darlig","lav",100,0
"dyroysundet_0401030700-1-c","svaert_god","middels","darlig","lav",100,0
"dyroysundet_dyreoysundbrua_0401030700-2-c","god","lav","ukjent","lav",75,NA
"valvagen_0401030800-c","svaert_god","lav","ukjent","lav",100,NA
"tranoybotn_0401030900-c","god","lav","ukjent","lav",75,NA
"laksfjorden_0401031000-c","god","lav","ukjent","lav",75,NA
"rossholmdjupta_0402000030-c","svaert_god","lav","ukjent","lav",100,NA
"hajafjorden_-_fugloysveet_0402000031-c","svaert_god","lav","ukjent","lav",100,NA
"ornfjorden_0402010101-c","god","lav","ukjent","lav",75,NA
"oyfjorden-indre_0402010102-c","god","middels","ukjent","lav",75,NA
"oyfjorden-ytre_0402010103-c","svaert_god","lav","ukjent","lav",100,NA
"baltsfjorden_0402010200-c","god","lav","ukjent","lav",75,NA
"malangen-indre_0402010300-1-c","god","middels","ukjent","lav",75,NA
"malangen-ytre_0402010300-3-c","svaert_god","middels","ukjent","lav",100,NA
"litlestrand_-_brensholmen_0402010300-4-c","god","lav","ukjent","lav",75,NA
"stonnesbotnen-indre_0402010401-c","god","lav","ukjent","lav",75,NA
"stonnesbotnen-ytre_0402010402-c","god","lav","ukjent","lav",75,NA
"malangen_-_rossfjorden_0402010500-c","god","lav","ukjent","lav",75,NA
"rossfjordstraumen_0402010600-1-c","svaert_god","lav","ukjent","lav",100,NA
"rossfjordvatnet_0402010600-2-c","darlig","lav","ukjent","lav",0,NA
"malselvfjorden_0402010700-c","god","lav","ukjent","lav",75,NA
"aursfjorden_0402010800-c","god","lav","ukjent","lav",75,NA
"nordfjordbotn_0402010900-1-c","moderat","middels","ukjent","lav",50,NA
