"water_entity_id","okologisk_tilstand","okologisk_palitelighetsgrad","kjemisk_tilstand","kjemisk_palitelighetsgrad","num_status_eco","num_status_chem"
"store_kufjorden_0420031200-c","god","middels","ukjent","lav",75,NA
"store_lerresfjorden_0420031300-c","god","lav","ukjent","lav",75,NA
"vargsundet_0420031400-c","god","lav","god","lav",75,100
"kvalsundet_/_beritsfjord_deponi_0420031500-2-c","god","lav","ukjent","lav",75,NA
"kvalsundet_0420031500-4-c","god","middels","darlig","lav",75,0
"rypefjorden_0420031600-2-c","god","lav","darlig","lav",75,0
"grotnes_avfallsdeponi_0420031600-3-c","udefinert","lav","ukjent","lav",NA,NA
"straumen_0420031600-6-c","god","lav","darlig","lav",75,0
"breivikbotn_0420040100-1-c","god","middels","darlig","hoy",75,0
"breivikfjorden_0420040100-2-c","god","lav","ukjent","lav",75,NA
"markeila_0420040200-c","moderat","middels","darlig","hoy",50,0
"sandfjorden_0420040300-c","god","lav","ukjent","lav",75,NA
"ofjorden_0420040400-c","god","lav","ukjent","lav",75,NA
