"","Year","Municip_number","Municip_name_new","Species","Spp_year","SSB","Bmsy","SSB.Bmsy","Blim","Seaarea","Total_catch_new","Blim.Bmsy","stock_score"
"49",1994,1833,"Rana","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,128.29,1.0488,0.618181818181818,0.0816691176470588
"50",1994,1834,"Luroy","Cod","Cod_1994",592309,460000,1.28762826086957,220000,1072.51,3917.5842,0.478260869565217,1
"51",1994,1834,"Luroy","Haddock","Haddock_1994",163487,80000,2.0435875,50000,1072.51,121.8831,0.625,1
"52",1994,1834,"Luroy","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,1072.51,362.1642,0.618181818181818,0.0816691176470588
"53",1994,1835,"Traena","Cod","Cod_1994",592309,460000,1.28762826086957,220000,1777.3,19110.2754,0.478260869565217,1
"54",1994,1835,"Traena","Herring","Herring_1994",3431000,3184000,1.07757537688442,2500000,1777.3,9507.61,0.785175879396985,1
"55",1994,1835,"Traena","Haddock","Haddock_1994",163487,80000,2.0435875,50000,1777.3,479.7342,0.625,1
"56",1994,1835,"Traena","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,1777.3,1772.3514,0.618181818181818,0.0816691176470588
"57",1994,1836,"Rodoy","Cod","Cod_1994",592309,460000,1.28762826086957,220000,2391.77,5718.375,0.478260869565217,1
"58",1994,1836,"Rodoy","Herring","Herring_1994",3431000,3184000,1.07757537688442,2500000,2391.77,274.785,0.785175879396985,1
"59",1994,1836,"Rodoy","Haddock","Haddock_1994",163487,80000,2.0435875,50000,2391.77,232.659,0.625,1
"60",1994,1836,"Rodoy","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,2391.77,484.125,0.618181818181818,0.0816691176470588
"61",1994,1837,"Meloy","Cod","Cod_1994",592309,460000,1.28762826086957,220000,1872.46,4270.9482,0.478260869565217,1
"62",1994,1837,"Meloy","Haddock","Haddock_1994",163487,80000,2.0435875,50000,1872.46,1075.3884,0.625,1
"63",1994,1837,"Meloy","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,1872.46,342.6206,0.618181818181818,0.0816691176470588
"64",1994,1838,"Gildeskal","Cod","Cod_1994",592309,460000,1.28762826086957,220000,837.6,1181.0574,0.478260869565217,1
"65",1994,1838,"Gildeskal","Herring","Herring_1994",3431000,3184000,1.07757537688442,2500000,837.6,125.97,0.785175879396985,1
"66",1994,1838,"Gildeskal","Haddock","Haddock_1994",163487,80000,2.0435875,50000,837.6,137.361,0.625,1
"67",1994,1838,"Gildeskal","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,837.6,283.7216,0.618181818181818,0.0816691176470588
"68",1994,1840,"Saltdal","Cod","Cod_1994",592309,460000,1.28762826086957,220000,29.77,211.5858,0.478260869565217,1
"69",1994,1840,"Saltdal","Haddock","Haddock_1994",163487,80000,2.0435875,50000,29.77,8.862,0.625,1
"70",1994,1840,"Saltdal","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,29.77,2.8558,0.618181818181818,0.0816691176470588
"71",1994,1841,"Fauske","Cod","Cod_1994",592309,460000,1.28762826086957,220000,84.29,49.113,0.478260869565217,1
"72",1994,1841,"Fauske","Haddock","Haddock_1994",163487,80000,2.0435875,50000,84.29,0.3318,0.625,1
"73",1994,1841,"Fauske","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,84.29,24.2874,0.618181818181818,0.0816691176470588
"74",1994,1842,"Bodo","Cod","Cod_1994",592309,460000,1.28762826086957,220000,NA,2300.3034,0.478260869565217,1
"75",1994,1842,"Bodo","Haddock","Haddock_1994",163487,80000,2.0435875,50000,NA,320.8962,0.625,1
"76",1994,1842,"Bodo","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,NA,332.2702,0.618181818181818,0.0816691176470588
"77",1994,1845,"Sorfold","Cod","Cod_1994",592309,460000,1.28762826086957,220000,192.04,489.825,0.478260869565217,1
"78",1994,1845,"Sorfold","Haddock","Haddock_1994",163487,80000,2.0435875,50000,192.04,69.279,0.625,1
"79",1994,1845,"Sorfold","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,192.04,114.9974,0.618181818181818,0.0816691176470588
"80",1994,1848,"Steigen","Cod","Cod_1994",592309,460000,1.28762826086957,220000,2475.41,6376.407,0.478260869565217,1
"81",1994,1848,"Steigen","Herring","Herring_1994",3431000,3184000,1.07757537688442,2500000,2475.41,10675.16,0.785175879396985,1
"82",1994,1848,"Steigen","Haddock","Haddock_1994",163487,80000,2.0435875,50000,2475.41,422.457,0.625,1
"83",1994,1848,"Steigen","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,2475.41,718.8764,0.618181818181818,0.0816691176470588
"84",1994,1849,"Hamaroy","Herring","Herring_1994",3431000,3184000,1.07757537688442,2500000,528.96,1226.54,0.785175879396985,1
"85",1994,1850,"Tysfjord","Cod","Cod_1994",592309,460000,1.28762826086957,220000,465.3,3295.305,0.478260869565217,1
"86",1994,1850,"Tysfjord","Herring","Herring_1994",3431000,3184000,1.07757537688442,2500000,465.3,42650.45,0.785175879396985,1
"87",1994,1850,"Tysfjord","Haddock","Haddock_1994",163487,80000,2.0435875,50000,465.3,16.1532,0.625,1
"88",1994,1850,"Tysfjord","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,465.3,572.1022,0.618181818181818,0.0816691176470588
"89",1994,1851,"Lodingen","Cod","Cod_1994",592309,460000,1.28762826086957,220000,516.46,6590.2068,0.478260869565217,1
