"Year","Municip_number","Municip_name_new","fish_score"
1995,"1939","Storfjord",2.08466844531024
1995,"1940","Kafjord",0.410890288999392
1995,"1941","Skjervoy",43.0452184407527
1995,"1942","Nordreisa",55.0028200409927
1995,"1943","Kvaenangen",45.1510140556103
1995,"2002","Vardo",53.1946230349644
1995,"2003","Vadso",36.0652895653745
1995,"2004","Hammerfest",18.0247888303108
1995,"2012","Alta",4.6906645413998
1995,"2014","Loppa",6.68681945560734
1995,"2015","Hasvik",21.2127496674922
1995,"2017","Kvalsund",29.0866215666359
1995,"2018","Masoy",25.1837105904041
1995,"2019","Nordkapp",38.5781052157991
1995,"2020","Porsanger",2.99213776023333
1995,"2022","Lebesby",24.7341291728822
1995,"2023","Gamvik",47.1493677113941
1995,"2024","Berlevag",53.0766117283692
1995,"2025","Tana",38.9926358176189
1995,"2027","Nesseby",0.569251537992456
1995,"2028","Batsfjord",64.481410999099
1995,"2030","Sor-Varanger",22.3660782261639
1996,"1804","Bodo",87.3078000422865
1996,"1805","Narvik",87.9290538432408
1996,"1811","Bindal",0.656344566839238
1996,"1812","Somna",0.0309940504222243
1996,"1813","Bronnoy",3.73295321108309
1996,"1815","Vega",2.47894146595089
1996,"1816","Vevelstad",0.069184384118471
1996,"1818","Heroy",9.79791373843616
1996,"1820","Alstahaug",2.1189102651856
1996,"1822","Leirfjord",10.2692953158398
1996,"1827","Donna",9.0786112708206
1996,"1828","Nesna",2.10667401151035
1996,"1832","Hemnes",0.140578725092939
1996,"1833","Rana",0.86084456423124
1996,"1834","Luroy",10.1560458424406
1996,"1835","Traena",19.408562728211
1996,"1836","Rodoy",8.02541763859165
1996,"1837","Meloy",7.60656647923476
1996,"1838","Gildeskal",6.65780100487176
1996,"1840","Saltdal",8.37724740258533
1996,"1841","Fauske",2.58616810507861
1996,"1845","Sorfold",13.0057407384442
1996,"1848","Steigen",6.74128000740388
1996,"1849","Hamaroy",18.2020127605666
1996,"1850","Tysfjord",83.4741916289508
1996,"1851","Lodingen",37.2179919173172
1996,"1852","Tjeldsund",32.8822565624805
1996,"1853","Evenes",71.1047209557415
1996,"1854","Ballangen",57.3984375509895
1996,"1856","Rost",19.4531590922351
1996,"1857","Vaeroy",27.9448003077396
1996,"1859","Flakstad",55.6026894319664
1996,"1860","Vestvagoy",52.7403966808004
1996,"1865","Vagan",53.7379584850164
1996,"1866","Hadsel",74.0949106379247
1996,"1867","Bo",32.7249608134337
1996,"1868","Oksnes",54.0093969631853
1996,"1870","Sortland",88.0130176464661
1996,"1871","Andoy",39.5781284348542
1996,"1874","Moskenes",51.0365183225614
1996,"1902","Tromso",69.6150715846635
1996,"1903","Harstad",52.9888553858664
1996,"1911","Kvaefjord",13.7435443433602
1996,"1913","Skanland",61.9745630653613
1996,"1917","Ibestad",99.7186121501632
1996,"1919","Gratangen",1.04078697220188
1996,"1920","Lavangen",1.66978904619953
1996,"1924","Malselv",0.377437355447941
1996,"1925","Sorreisa",2.07713139419712
1996,"1926","Dyroy",14.9465311656873
1996,"1927","Tranoy",3.70284218163371
1996,"1928","Torsken",38.7302264234814
1996,"1929","Berg",55.4604211947153
1996,"1931","Lenvik",62.0838410936245
1996,"1933","Balsfjord",4.64697362255863
1996,"1936","Karlsoy",17.4764122265679
1996,"1938","Lyngen",48.1733333499898
1996,"1939","Storfjord",8.20546182918591
1996,"1940","Kafjord",0.366417849850526
1996,"1941","Skjervoy",49.7343599098673
1996,"1942","Nordreisa",62.9710113014777
1996,"1943","Kvaenangen",51.6367538516539
1996,"2002","Vardo",54.6939465837515
1996,"2003","Vadso",33.3623921660425
1996,"2004","Hammerfest",31.8416958080014
1996,"2012","Alta",4.56249906662798
1996,"2014","Loppa",7.9068545770735
1996,"2015","Hasvik",20.1992092396798
1996,"2017","Kvalsund",23.1620055451251
1996,"2018","Masoy",21.5116573404358
1996,"2019","Nordkapp",43.9161757377224
1996,"2020","Porsanger",2.82812954278201
1996,"2022","Lebesby",26.7065693817112
1996,"2023","Gamvik",44.6068607737171
1996,"2024","Berlevag",49.6636476755758
1996,"2025","Tana",24.0063617070398
1996,"2028","Batsfjord",65.4955733664161
1996,"2030","Sor-Varanger",36.0581080592607
1997,"1804","Bodo",85.6914845771973
1997,"1805","Narvik",19.0111385108667
1997,"1811","Bindal",0.488305070824833
1997,"1812","Somna",0.0237994531259138
1997,"1813","Bronnoy",2.6456437276429
1997,"1815","Vega",1.54942256892221
1997,"1816","Vevelstad",0.087732146140359
1997,"1818","Heroy",7.780358903348
1997,"1820","Alstahaug",1.28076284607065
1997,"1822","Leirfjord",7.75486892167514
1997,"1827","Donna",7.73087395861689
1997,"1828","Nesna",0.670805070435724
1997,"1832","Hemnes",0.20588749782265
1997,"1833","Rana",1.55148034776264
1997,"1834","Luroy",10.5954115449609
1997,"1835","Traena",25.7494016743437
1997,"1836","Rodoy",7.54219251402291
1997,"1837","Meloy",7.46932768464929
1997,"1838","Gildeskal",3.75417147365118
1997,"1840","Saltdal",4.34622025114902
1997,"1841","Fauske",3.02195931593362
1997,"1845","Sorfold",14.8611736339844
1997,"1848","Steigen",6.64112816959738
1997,"1849","Hamaroy",78.3106671029229
1997,"1850","Tysfjord",81.1916058381755
1997,"1851","Lodingen",50.5641686613346
1997,"1852","Tjeldsund",0.230576291902776
1997,"1853","Evenes",44.7799610871383
1997,"1854","Ballangen",79.6868571254241
1997,"1856","Rost",18.4071582857767
1997,"1857","Vaeroy",27.5204202952181
1997,"1859","Flakstad",55.2669282934685
1997,"1860","Vestvagoy",51.3142045755276
1997,"1865","Vagan",56.2848459357873
1997,"1866","Hadsel",69.8300828867267
1997,"1867","Bo",37.0415147365175
1997,"1868","Oksnes",53.3138651272163
1997,"1870","Sortland",86.1685612048571
1997,"1871","Andoy",48.4328792511386
1997,"1874","Moskenes",47.8725872761704
1997,"1902","Tromso",79.4883159721941
1997,"1903","Harstad",39.7506925629873
1997,"1911","Kvaefjord",83.0170252603938
1997,"1913","Skanland",44.0852428148793
1997,"1917","Ibestad",100
1997,"1919","Gratangen",1.05837655699676
1997,"1920","Lavangen",0.175489105874665
1997,"1924","Malselv",0.129706046036199
1997,"1925","Sorreisa",1.69454358235728
1997,"1926","Dyroy",41.5247112534635
1997,"1927","Tranoy",2.07829762749382
1997,"1928","Torsken",48.0246636535109
1997,"1929","Berg",46.052167179588
1997,"1931","Lenvik",64.035592015575
1997,"1933","Balsfjord",5.67020083188004
1997,"1936","Karlsoy",20.9650562979404
1997,"1938","Lyngen",68.6144326891263
1997,"1939","Storfjord",7.87414570873043
1997,"1940","Kafjord",0.334203380093395
1997,"1941","Skjervoy",63.1155142895744
1997,"1942","Nordreisa",63.9528195992292
1997,"1943","Kvaenangen",38.3735659422174
1997,"2002","Vardo",57.8774234110716
1997,"2003","Vadso",32.9988644710407
1997,"2004","Hammerfest",48.5211841059245
1997,"2012","Alta",3.2977084593095
1997,"2014","Loppa",10.6289051595604
1997,"2015","Hasvik",22.2904695163299
1997,"2017","Kvalsund",24.4550764114596
1997,"2018","Masoy",23.5914581684434
1997,"2019","Nordkapp",47.0273768466655
1997,"2020","Porsanger",3.22289487463667
1997,"2022","Lebesby",33.4797938434921
1997,"2023","Gamvik",48.089479217496
1997,"2024","Berlevag",50.257349197292
1997,"2025","Tana",24.0225853491317
1997,"2028","Batsfjord",67.0846067351299
1997,"2030","Sor-Varanger",45.7168452360086
1998,"1804","Bodo",87.142634170445
1998,"1805","Narvik",57.560804750072
