"","Year","Municip_number","Municip_name_new","fish_score"
"119",1996,"1903","Harstad",69.4353245947328
"120",1996,"1911","Kvaefjord",85.7085961066718
"121",1996,"1917","Ibestad",0.0306554945069383
"122",1996,"1919","Gratangen",2.42175522792846
"123",1996,"1920","Lavangen",1.69880441855098
"124",1996,"1924","Malselv",1.40378556257112
"125",1996,"1926","Dyroy",94.6980066091264
"126",1996,"1927","Tranoy",8.45166763484841
"127",1996,"1928","Torsken",78.4055680697804
"128",1996,"1929","Berg",100
"129",1996,"1931","Lenvik",95.4667742949117
"130",1996,"1933","Balsfjord",0.285311810167223
"131",1996,"1936","Karlsoy",63.9523729789793
"132",1996,"1938","Lyngen",27.0168911674884
"133",1996,"1939","Storfjord",31.0614596044037
"134",1996,"1940","Kafjord",0.862220325677168
"135",1996,"1941","Skjervoy",100
"136",1996,"1942","Nordreisa",99.6254492103175
"137",1996,"1943","Kvaenangen",98.4910095841905
"138",1996,"2002","Vardo",98.0252158209526
"139",1996,"2003","Vadso",67.4537478069783
"140",1996,"2004","Hammerfest",99.3853242612474
"141",1996,"2012","Alta",20.7650205773176
"142",1996,"2014","Loppa",22.3515223768662
"143",1996,"2015","Hasvik",60.5516167085044
"144",1996,"2017","Kvalsund",95.4060464664976
"145",1996,"2018","Masoy",78.1360916456069
"146",1996,"2019","Nordkapp",100
"147",1996,"2020","Porsanger",12.1511339598762
"148",1996,"2022","Lebesby",80.4624193875901
"149",1996,"2023","Gamvik",66.3599711392169
"150",1996,"2024","Berlevag",90.1704742861362
"151",1996,"2025","Tana",54.1547161080354
"152",1996,"2028","Batsfjord",100
"153",1996,"2030","Sor-Varanger",11.9961663047755
"154",1997,"1804","Bodo",99.0785218266293
"155",1997,"1805","Narvik",99.8012190017386
"156",1997,"1811","Bindal",1.87057053682497
"157",1997,"1812","Somna",0.0566871441949287
"158",1997,"1813","Bronnoy",6.55994477246691
"159",1997,"1815","Vega",4.19224705687192
"160",1997,"1816","Vevelstad",0.186237957906106
"161",1997,"1818","Heroy",15.9608640075575
"162",1997,"1820","Alstahaug",3.40647841437043
"163",1997,"1822","Leirfjord",0.335603451283182
"164",1997,"1827","Donna",23.804627416027
"165",1997,"1828","Nesna",2.40666105512305
"166",1997,"1832","Hemnes",0.724368944017749
"167",1997,"1833","Rana",3.61411132765903
"168",1997,"1834","Luroy",26.7045593088141
"169",1997,"1835","Traena",48.7834894933015
"170",1997,"1836","Rodoy",12.8991515117171
"171",1997,"1837","Meloy",19.0432534425654
"172",1997,"1838","Gildeskal",9.17307741303467
"173",1997,"1840","Saltdal",17.1847655768089
"174",1997,"1841","Fauske",11.5402855668067
"175",1997,"1845","Sorfold",39.5198994504053
"176",1997,"1848","Steigen",14.0628218555456
"177",1997,"1849","Hamaroy",77.968377477819
"178",1997,"1850","Tysfjord",96.9030184257259
"179",1997,"1851","Lodingen",92.1118568808218
"180",1997,"1852","Tjeldsund",55.6983933433157
"181",1997,"1853","Evenes",99.933058255834
"182",1997,"1854","Ballangen",100
"183",1997,"1856","Rost",69.3766757679202
"184",1997,"1857","Vaeroy",72.9065415071758
"185",1997,"1859","Flakstad",98.4350340032779
"186",1997,"1860","Vestvagoy",97.0418764172031
"187",1997,"1865","Vagan",97.728125738068
"188",1997,"1866","Hadsel",89.6372894743706
"189",1997,"1867","Bo",70.0208999526243
"190",1997,"1868","Oksnes",89.3848805574385
"191",1997,"1870","Sortland",99.9705250402617
"192",1997,"1871","Andoy",97.9489986119578
"193",1997,"1874","Moskenes",99.2415626974443
"194",1997,"1902","Tromso",100
"195",1997,"1903","Harstad",83.0546839650036
"196",1997,"1911","Kvaefjord",45.9429804730495
"197",1997,"1919","Gratangen",2.33837561498959
"198",1997,"1920","Lavangen",0.733161861266719
"199",1997,"1924","Malselv",0.226552248950064
"200",1997,"1925","Sorreisa",3.76486259569624
"201",1997,"1926","Dyroy",75.3659822151671
"202",1997,"1927","Tranoy",7.01183078858761
"203",1997,"1928","Torsken",77.7125483962363
"204",1997,"1929","Berg",79.3605466832548
"205",1997,"1931","Lenvik",95.4065404753877
"206",1997,"1933","Balsfjord",19.4182505009082
"207",1997,"1936","Karlsoy",66.5361690004178
"208",1997,"1938","Lyngen",10.7994141072582
"209",1997,"1939","Storfjord",29.1699622930735
"210",1997,"1940","Kafjord",0.891099833815661
"211",1997,"1941","Skjervoy",100
"212",1997,"1942","Nordreisa",99.0191997520854
"213",1997,"1943","Kvaenangen",78.6861921953349
"214",1997,"2002","Vardo",98.1096530994298
"215",1997,"2003","Vadso",57.8980115370489
"216",1997,"2004","Hammerfest",100
"217",1997,"2012","Alta",9.56965976795305
"218",1997,"2014","Loppa",29.2781412326768
"219",1997,"2015","Hasvik",61.8676607913188
"220",1997,"2017","Kvalsund",96.20296632545
"221",1997,"2018","Masoy",81.945073768529
"222",1997,"2019","Nordkapp",100
"223",1997,"2020","Porsanger",12.8468628687662
"224",1997,"2022","Lebesby",80.4999519004453
"225",1997,"2023","Gamvik",64.4291254852231
"226",1997,"2024","Berlevag",96.2897528941948
"227",1997,"2025","Tana",52.89296800736
"228",1997,"2028","Batsfjord",100
"229",1997,"2030","Sor-Varanger",19.7864405533887
"230",1998,"1804","Bodo",99.0187146768517
"231",1998,"1805","Narvik",0.716155682518588
"232",1998,"1811","Bindal",1.79182288837397
"233",1998,"1812","Somna",0.100828875172621
"234",1998,"1813","Bronnoy",5.73003876154151
"235",1998,"1815","Vega",4.38819096842115
"236",1998,"1816","Vevelstad",0.210270925426492
"237",1998,"1818","Heroy",9.90714316767052
"238",1998,"1820","Alstahaug",2.10729952103918
"239",1998,"1822","Leirfjord",0.313845267094201
"240",1998,"1827","Donna",23.1036177983826
"241",1998,"1828","Nesna",1.21032632016287
"242",1998,"1832","Hemnes",0.582844579703712
"243",1998,"1833","Rana",2.98521648433244
"244",1998,"1834","Luroy",23.471885283143
"245",1998,"1835","Traena",57.1489836646758
"246",1998,"1836","Rodoy",12.3034459388494
"247",1998,"1837","Meloy",14.6533550570708
"248",1998,"1838","Gildeskal",5.43283806231637
"249",1998,"1840","Saltdal",1.34599472082267
"250",1998,"1841","Fauske",10.6204316333352
"251",1998,"1845","Sorfold",47.8338595945323
"252",1998,"1848","Steigen",14.1807883322958
"253",1998,"1850","Tysfjord",79.9738428935993
"254",1998,"1851","Lodingen",62.6656754182858
"255",1998,"1852","Tjeldsund",0.428291386238207
"256",1998,"1854","Ballangen",60.6323243389033
"257",1998,"1856","Rost",38.0849235158909
"258",1998,"1857","Vaeroy",55.9320625591354
"259",1998,"1859","Flakstad",77.3268151716812
"260",1998,"1860","Vestvagoy",77.3557858652899
"261",1998,"1865","Vagan",78.9799474194416
"262",1998,"1866","Hadsel",73.4191461520759
"263",1998,"1867","Bo",49.5048197583564
"264",1998,"1868","Oksnes",72.408738298389
"265",1998,"1870","Sortland",99.6915460542773
"266",1998,"1871","Andoy",82.5788380889786
"267",1998,"1874","Moskenes",79.2549588374282
"268",1998,"1902","Tromso",96.5520577874476
"269",1998,"1903","Harstad",72.5863991200741
"270",1998,"1911","Kvaefjord",40.3976094753055
"271",1998,"1913","Skanland",0.101043998458717
"272",1998,"1919","Gratangen",1.78099986606698
"273",1998,"1920","Lavangen",0.334191859963407
"274",1998,"1927","Tranoy",4.66845546679485
"275",1998,"1928","Torsken",66.2724169359787
"276",1998,"1929","Berg",68.9474117457557
"277",1998,"1931","Lenvik",82.5732199294631
"278",1998,"1936","Karlsoy",62.9822580044551
"279",1998,"1938","Lyngen",19.5661002410698
"280",1998,"1939","Storfjord",20.6836639783608
"281",1998,"1940","Kafjord",58.2525597054478
"282",1998,"1941","Skjervoy",84.454675996046
"283",1998,"1942","Nordreisa",82.644323573244
"284",1998,"1943","Kvaenangen",68.989768743329
"285",1998,"2002","Vardo",79.8046848203846
"286",1998,"2003","Vadso",44.2935817875184
"287",1998,"2004","Hammerfest",82.2933434394985
"288",1998,"2012","Alta",5.44714046382818
"289",1998,"2014","Loppa",33.1989117082552
"290",1998,"2015","Hasvik",47.9457186930429
"291",1998,"2017","Kvalsund",67.9101237879677
"292",1998,"2018","Masoy",72.2573428069571
"293",1998,"2019","Nordkapp",80.2163140269064
"294",1998,"2020","Porsanger",9.94427363719072
"295",1998,"2022","Lebesby",64.8082834579696
"296",1998,"2023","Gamvik",56.6736700990506
"297",1998,"2024","Berlevag",84.1736833136014
"298",1998,"2025","Tana",45.184419337093
"299",1998,"2028","Batsfjord",85.9618019642967
"300",1998,"2030","Sor-Varanger",23.1757508906168
"301",1999,"1804","Bodo",98.6619560313801
"302",1999,"1805","Narvik",0.560551349057321
"303",1999,"1811","Bindal",1.23943882736957
"304",1999,"1813","Bronnoy",7.396066819575
"305",1999,"1815","Vega",4.54926227417511
"306",1999,"1816","Vevelstad",3.55507254127009
"307",1999,"1818","Heroy",10.4726518521022
"308",1999,"1820","Alstahaug",0.142531062519585
"309",1999,"1822","Leirfjord",4.4272491928643
"310",1999,"1827","Donna",25.6895599052301
"311",1999,"1828","Nesna",0.420168558623239
"312",1999,"1832","Hemnes",0.51357444325314
"313",1999,"1833","Rana",2.58974312701285
"314",1999,"1834","Luroy",24.2961005175318
"315",1999,"1835","Traena",71.3390840674297
"316",1999,"1836","Rodoy",14.3333752173405
"317",1999,"1837","Meloy",14.2033339565296
"318",1999,"1838","Gildeskal",5.57613551344271
"319",1999,"1840","Saltdal",0.958077656489637
"320",1999,"1841","Fauske",4.0704940929246
"321",1999,"1845","Sorfold",42.5815251068143
"322",1999,"1848","Steigen",13.2963382866589
"323",1999,"1850","Tysfjord",38.6119209495548
"324",1999,"1851","Lodingen",71.1012905611171
"325",1999,"1853","Evenes",0.551336391855856
"326",1999,"1856","Rost",20.8109589998084
"327",1999,"1857","Vaeroy",31.7376014460107
"328",1999,"1859","Flakstad",45.3714625427939
"329",1999,"1860","Vestvagoy",49.0684355053099
"330",1999,"1865","Vagan",57.1164644640561
"331",1999,"1866","Hadsel",54.6905736797648
"332",1999,"1867","Bo",42.7963179344645
"333",1999,"1868","Oksnes",55.9189510879783
"334",1999,"1870","Sortland",99.5395238438511
"335",1999,"1871","Andoy",59.9517587577982
"336",1999,"1874","Moskenes",54.4789666278783
"337",1999,"1902","Tromso",93.1925073224527
"338",1999,"1903","Harstad",57.1074515299171
"339",1999,"1911","Kvaefjord",21.683975999264
"340",1999,"1917","Ibestad",0.00724128195801299
"341",1999,"1927","Tranoy",6.44793213744221
"342",1999,"1928","Torsken",51.8456353552521
"343",1999,"1929","Berg",77.0379716895856
"344",1999,"1931","Lenvik",57.9394118559401
"345",1999,"1936","Karlsoy",57.6327256176167
"346",1999,"1938","Lyngen",15.4441553289437
"347",1999,"1940","Kafjord",6.42894053472723
