"Year","Municip_number","Species","SSB","Stock","Flim","Blim","Fmsy","MSYBtrigger","F","b_score","f_score","stock_score","Total_catch_new","Municip_name_new","Seaarea","catch_per_area","max_catch_area","weighted_catch","weighted_catch_score"
1994,"1816","Haddock",165211,"had.27.1-2",0.77,50000,0.35,80000,0.348,1,1,1,0.0784,"Vevelstad",122.2,0.000641571194762684,69976.1695760599,0.00000000916842403134592,0.00000000916842403134592
1994,"1816","Saithe",147869,"pok.27.1-2",0.58,136000,NA,220000,0.477,0.141297619047619,NA,0.141297619047619,0.2525,"Vevelstad",122.2,0.00206628477905074,103707.501604621,0.0000000199241592660126,0.00000000281523626581314
1994,"1818","Atlantic cod",591364,"cod.27.1-2",0.74,220000,0.4,460000,0.797,1,0,0.5,1451.655,"Heroy",2197.73,0.660524723237158,244232.387275353,0.00000270449276038263,0.00000135224638019131
1994,"1818","Haddock",165211,"had.27.1-2",0.77,50000,0.35,80000,0.348,1,1,1,114.7356,"Heroy",2197.73,0.0522064129806664,69976.1695760599,0.000000746059884342786,0.000000746059884342786
1994,"1818","Saithe",147869,"pok.27.1-2",0.58,136000,NA,220000,0.477,0.141297619047619,NA,0.141297619047619,415.9108,"Heroy",2197.73,0.189245630718969,103707.501604621,0.00000182480175291906,0.000000257840142921385
1994,"1818","Shrimp",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,73.137,"Heroy",2197.73,0.0332784281963662,80462.0896380397,0.000000413591398708012,0.000000413591398708012
1994,"1820","Atlantic cod",591364,"cod.27.1-2",0.74,220000,0.4,460000,0.797,1,0,0.5,100.0358,"Alstahaug",397.61,0.25159276678152,244232.387275353,0.00000103013678729622,0.000000515068393648112
1994,"1820","Haddock",165211,"had.27.1-2",0.77,50000,0.35,80000,0.348,1,1,1,17.7744,"Alstahaug",397.61,0.0447031010286462,69976.1695760599,0.000000638833209926654,0.000000638833209926654
1994,"1820","Saithe",147869,"pok.27.1-2",0.58,136000,NA,220000,0.477,0.141297619047619,NA,0.141297619047619,10.1888,"Alstahaug",397.61,0.0256251100324439,103707.501604621,0.000000247090226222381,0.00000003491326065516
1994,"1822","Atlantic cod",591364,"cod.27.1-2",0.74,220000,0.4,460000,0.797,1,0,0.5,2.0235,"Leirfjord",130.95,0.0154524627720504,244232.387275353,0.0000000632695071461958,0.0000000316347535730979
1994,"1822","Haddock",165211,"had.27.1-2",0.77,50000,0.35,80000,0.348,1,1,1,0.5247,"Leirfjord",130.95,0.00400687285223368,69976.1695760599,0.0000000572605342148437,0.0000000572605342148437
1994,"1822","Saithe",147869,"pok.27.1-2",0.58,136000,NA,220000,0.477,0.141297619047619,NA,0.141297619047619,1.1152,"Leirfjord",130.95,0.00851622756777396,103707.501604621,0.0000000821177584649717,0.000000011603043752628
1994,"1822","Shrimp",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2.372,"Leirfjord",130.95,0.0181137838869798,80462.0896380397,0.000000225121966984265,0.000000225121966984265
1994,"1824","Atlantic cod",591364,"cod.27.1-2",0.74,220000,0.4,460000,0.797,1,0,0.5,0.3405,"Vefsn",101.49,0.00335501034584688,244232.387275353,0.0000000137369592267236,0.00000000686847961336178
1994,"1824","Haddock",165211,"had.27.1-2",0.77,50000,0.35,80000,0.348,1,1,1,0.0532,"Vefsn",101.49,0.000524189575327618,69976.1695760599,0.00000000749097269117962,0.00000000749097269117962
1994,"1824","Saithe",147869,"pok.27.1-2",0.58,136000,NA,220000,0.477,0.141297619047619,NA,0.141297619047619,0.2984,"Vefsn",101.49,0.00294019115183762,103707.501604621,0.0000000283508049692193,0.0000000040059012402341
1994,"1827","Atlantic cod",591364,"cod.27.1-2",0.74,220000,0.4,460000,0.797,1,0,0.5,472.1903,"Donna",567.37,0.832244038281897,244232.387275353,0.00000340759080958254,0.00000170379540479127
1994,"1827","Atlantic herring",3452000,"her.27.1-24a514a",0.291,2500000,0.157,3184000,0.126,1,1,1,149.371,"Donna",567.37,0.263269118917109,18466.5279014832,0.0000142565576117839,0.0000142565576117839
1994,"1827","Haddock",165211,"had.27.1-2",0.77,50000,0.35,80000,0.348,1,1,1,31.521,"Donna",567.37,0.0555563388970161,69976.1695760599,0.000000793932266278589,0.000000793932266278589
1994,"1827","Saithe",147869,"pok.27.1-2",0.58,136000,NA,220000,0.477,0.141297619047619,NA,0.141297619047619,178.1495,"Donna",567.37,0.313991751414421,103707.501604621,0.00000302766672184907,0.000000427802099066983
1994,"1828","Atlantic cod",591364,"cod.27.1-2",0.74,220000,0.4,460000,0.797,1,0,0.5,42.594,"Nesna",219.63,0.193935254746619,244232.387275353,0.000000794060349285177,0.000000397030174642588
1994,"1828","Atlantic herring",3452000,"her.27.1-24a514a",0.291,2500000,0.157,3184000,0.126,1,1,1,22.32,"Nesna",219.63,0.101625461002595,18466.5279014832,0.00000550322516202047,0.00000550322516202047
1994,"1828","Haddock",165211,"had.27.1-2",0.77,50000,0.35,80000,0.348,1,1,1,8.1771,"Nesna",219.63,0.0372312525611255,69976.1695760599,0.000000532056166930621,0.000000532056166930621
1994,"1828","Saithe",147869,"pok.27.1-2",0.58,136000,NA,220000,0.477,0.141297619047619,NA,0.141297619047619,26.547,"Nesna",219.63,0.12087146564677,103707.501604621,0.00000116550359208907,0.000000164682882553634
1994,"1828","Shrimp",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.38,"Nesna",219.63,0.00173018257979329,80462.0896380397,0.0000000215030778789931,0.0000000215030778789931
1994,"1832","Atlantic cod",591364,"cod.27.1-2",0.74,220000,0.4,460000,0.797,1,0,0.5,1.4709,"Hemnes",64.42,0.0228329711269792,244232.387275353,0.0000000934887112299189,0.0000000467443556149595
1994,"1832","Haddock",165211,"had.27.1-2",0.77,50000,0.35,80000,0.348,1,1,1,0.2184,"Hemnes",64.42,0.0033902514746973,69976.1695760599,0.000000048448657524935,0.000000048448657524935
1994,"1832","Saithe",147869,"pok.27.1-2",0.58,136000,NA,220000,0.477,0.141297619047619,NA,0.141297619047619,0.1776,"Hemnes",64.42,0.00275690779261099,103707.501604621,0.0000000265834944430687,0.00000000375618447077122
1994,"1832","Shrimp",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.62,"Hemnes",64.42,0.00962434026699783,80462.0896380397,0.000000119613352204661,0.000000119613352204661
1994,"1833","Atlantic cod",591364,"cod.27.1-2",0.74,220000,0.4,460000,0.797,1,0,0.5,0.402,"Rana",128.29,0.0031335256060488,244232.387275353,0.000000012830098583592,0.00000000641504929179599
1994,"1833","Saithe",147869,"pok.27.1-2",0.58,136000,NA,220000,0.477,0.141297619047619,NA,0.141297619047619,0.5244,"Rana",128.29,0.00408761399953231,103707.501604621,0.0000000394148343782892,0.0000000055692222528085
1994,"1834","Atlantic cod",591364,"cod.27.1-2",0.74,220000,0.4,460000,0.797,1,0,0.5,652.9307,"Luroy",1072.51,0.608787517132707,244232.387275353,0.00000249265678448431,0.00000124632839224215
1994,"1834","Haddock",165211,"had.27.1-2",0.77,50000,0.35,80000,0.348,1,1,1,40.6277,"Luroy",1072.51,0.0378809521589542,69976.1695760599,0.000000541340750550513,0.000000541340750550513
1994,"1834","Saithe",147869,"pok.27.1-2",0.58,136000,NA,220000,0.477,0.141297619047619,NA,0.141297619047619,181.0821,"Luroy",1072.51,0.168839544619631,103707.501604621,0.00000162803598589542,0.000000230037608530866
1994,"1835","Atlantic cod",591364,"cod.27.1-2",0.74,220000,0.4,460000,0.797,1,0,0.5,3185.0459,"Traena",1777.3,1.79206993754572,244232.387275353,0.0000073375605812889,0.00000366878029064445
1994,"1835","Atlantic herring",3452000,"her.27.1-24a514a",0.291,2500000,0.157,3184000,0.126,1,1,1,1901.522,"Traena",1777.3,1.06989365892083,18466.5279014832,0.000057936915083799,0.000057936915083799
1994,"1835","Haddock",165211,"had.27.1-2",0.77,50000,0.35,80000,0.348,1,1,1,159.9114,"Traena",1777.3,0.0899743431047094,69976.1695760599,0.00000128578548454146,0.00000128578548454146
1994,"1835","Saithe",147869,"pok.27.1-2",0.58,136000,NA,220000,0.477,0.141297619047619,NA,0.141297619047619,886.1757,"Traena",1777.3,0.498607832104878,103707.501604621,0.00000480782802005771,0.000000679334652024583
